这些名字，一个比一个酷！: 酷!酷!名字酷!
原创歌手王源今日正式官宣了自己时隔两年半再度举办的线下个人演唱会！以去年11月发行、创下逾24万张实体销量和超7000万实体销售额记录的全新创作专辑《客厅狂欢》为主题，这个春天起会开展多地巡演。今天的曝光的第一组湿身大片中，王源将纯真少年感与轻熟性感完美融合，让人愈发期待这即将到来的巡演舞台[送花花]王源@王源: 王源官宣线下个人演唱会,新歌《客厅狂欢》为主题,湿身大片展现王源纯真少年感与性感融合,期待巡演。
一起来回顾下文文在2020时代少年团按时长大一周年演唱会带来的《让一让》！共同期待今年小炸们的线下演唱会！时代少年团@时代少年团时代少年团刘耀文@时代少年团刘耀文: 回顾2020时代少年团演唱会,刘耀文演唱《让一让》。期待今年小炸们的线下演唱会。
听张卫健翻唱哥哥的《明星》，能感觉到张卫健不同于他人的怀念之情。张国荣为了带携张卫健甚至一度谎称两人是表兄弟，并引发了热议。善良温柔的哥哥，你走了，我们还活着。我们老了，你还依然年轻: 张卫健翻唱《明星》怀念张国荣,引发热议。
一些粤语歌分享，尊的好听: 分享粤语歌,尊好听。
想见你想见你想见你！！完整版！（换个视角北斗星空歪歪: 完整版《北斗星空》发布
我的愿望达成！很高兴和兄弟们一起开了演唱会，这两天是我很珍贵的记忆，已经开始期待下一场舞台了: 期待演唱会,期待舞台。
那一年，他说一部分音乐，做给未来，于是，未启航，朝银河进发！2023年4月1日广州站，已经是未的第20场，在未为坐标的约期里，时间走得忽快忽慢，一切不确定中，只有爱确幸无疑！彼此照曜的人生长路上，我们各自努力发光，然后思念，然后期待，然后终于重逢！在未现场，我们再一次坠入曾幻想无数次的蔚蓝星河！祝张杰@张杰未曜北斗巡回演唱会圆满成功！我们今晚见（现在可以说今晚见了[哇]）！: 张杰广州演唱会圆满成功,在未为坐标的约期里,只有爱确幸无疑。
南宁站真的好开心！薛之谦为南宁改编的特别版《你还要我怎样》，真的会让歌迷记很久很久呜呜呜: 薛之谦为南宁站改编的特别版《你还要我怎样》
《喜欢你》是多少人歌单里循环次数最多的粤语歌呢[举手]蔡徐坤@蔡徐坤翻唱的版本完全是心动的感觉，坤坤和粤语歌也太搭配了！蔡徐坤《喜欢你》: 蔡徐坤翻唱《喜欢你》
那不屈的灵魂，不能被任何人收服，就一条路走到底，直到我头着地。张杰杨和苏《逆战》张杰@张杰: 张杰杨和苏新歌《逆战》
张杰演唱会真的太震撼了吧，广州首场35万人，那个感觉回来了啊[哇]，第一场演唱会广州站上，首唱《蕾拉》，而且还编了舞蹈，还重温了各种好听的音乐: 张杰广州演唱会震撼,首唱《蕾拉》。编舞蹈、舞蹈,重温好听的音乐。
《龙吟》高清打碎你的不相信张杰@张杰: 张杰新歌《龙吟》打碎疑虑
演唱会安可册 个人招新: 个人演唱会安可册
刘耀文原创新歌《耀眼的你》上线！好好听好治愈！自由耀眼的去做自己所热爱的事时代少年团刘耀文@时代少年团刘耀文: 刘耀文新歌《耀眼的你》上线
《听》高清直拍地老天荒！你们唱！张杰@张杰: 张杰演唱《听》高清直拍
永远的永远的永远的坂本龙一音乐@音乐: 坂本龙一的音乐作品
五月天诺亚方舟复刻限定版演唱会: 五月天诺亚方舟演唱会
精神状态不太好，听听蔡徐坤的歌开心一下（是真的开心，不是阴阳怪气蔡徐坤的《情人》真的很好听！[哇][哇]瓦特: 蔡徐坤新歌《情人》好听
今天晚上一起来听玖少年团肖战@玖少年团肖战《夜空中最亮的星》，晚安好梦！国际在线文娱: 玖少年团肖战分享《夜空中最亮的星》
广州张杰演唱会《蕾拉》首唱太太太好听啦！: 张杰演唱会《蕾拉》首唱太太好听
张杰演唱会首唱新歌蕾拉: 张杰首唱新歌蕾拉
可能我经常发泰剧推荐和泰国音乐分享，刚才上海某电台采访我，主持人说我是国内为数不多研究（泰国音乐）的自媒体人，搞得我很不好意思，我向主持人推荐了10位泰国音乐人和10首泰语歌。: 主持人推荐10位泰国音乐人和10首泰语歌。
昨天好热好热可是真的太爽啦！！！！！我爱音乐节我爱你们[送花花][送花花]: 爽热爽爽,我爱音乐节送花花
刘耀文原创新歌耀眼的你: 刘耀文新歌亮相
张杰@张杰在今年的第一场演唱会广州站上，首唱《蕾拉》，而且还编了舞蹈，在现场教了粉丝跳，大家有没有学会呢？: 张杰广州演唱会首唱《蕾拉》,编舞蹈教粉丝跳。
《生活倒影》一路西行，取到的还是无字经。电影《宇宙探索编辑部》片尾曲生活倒影（4月1日，全国上映）: 电影《生活倒影》上映
好听的歌曲，科幻的舞美，还有四万人大合唱的难忘回忆，薛之谦@薛之谦多开两场演唱会，我看不够[哇]薛之谦小紫话筒: 薛之谦多开演唱会,歌曲科幻舞美,四万人大合唱。
散人乐队救命这啥歌找了两天么找出来散人乐队@散人乐队: 散人乐队发布新歌
1999起真我5价格揭晓元起首销价首销价首销价2599元: 真我5价格揭晓
我真的是被这个跨品牌一键换机弄无语了，想把的数据传小米，首先要装个小米换机，打开的小米换机，提示有互传联盟，提示去互传授权，然后搞笑的地方就开了，小米换机拉起互传的时候，互传闪退[笑][笑][笑]，不得行，换不了，我又想着把的数据传到90，试试90传给小米行不行，结果90一样。最后我寻思再试试小米能不能换到上，小米上装互传，互传提示有换机联盟，去小米换机授权，完美拉起授权，完美换机[笑][笑]，微信聊天记录啥的随便换，这就很尴尬了，问题反正两家我都反馈了，等等看分析结果吧: 跨品牌一键换机引争议
这是谁的猛男粉啊，怎么这么这么好看啊哦！是我的[喵喵]: 猛男粉惊艳亮相
12在配合上第二代骁龙7的情况下，回到了1999的价位，四窄边屏幕的设计，颜值确实很高，碳纤黑的配色沉稳且高雅小米之家线下打卡送的哈利波特明信片纸袋，装手机也恰到好处: 小米手机性价比高,四窄边设计,颜值高,哈利波特明信片纸袋。
魅族20沉浸式开箱！你们要的视频来啦，建议戴耳机观看: 魅族20开箱视频建议戴耳机观看
找粉丝帮我试了下。我做的锤子图标包在6上运行正常。三星、一加、华为、目前都了。还缺小米和，哦，还有魅族。试完就发布。[收到]还好试了下，又修复了一下子。: 锤子图标包运行正常,缺小米和魅族。
回来了！都回来了好久没看到有这么多人来看魅族手机了今天魅族首家旗舰店开业了，人还挺多广州: 魅族手机首家旗舰店开业
问一下各位，你现在最高频使用的手机是哪个？: 你的手机是最高频使用的吗?
已经习以为常了苹果什么时候能修复好天气显示异常问题: 期待苹果修复好天气显示异常问题
给我的魅族20系列套上的壳子，兄弟们给提提建议，哪个好看？[送花花]: 魅族20系列套壳建议
魅族20绿色甄姬实拍，外观满分10分能打几分？: 魅族20绿色甄姬实拍
4价位旗舰影像横评 今年2000价位手机内卷激烈，但我们发现直播时大家对4000价位新机关注度也很高，所以就找出四款最有代表性的机型做个影像横评对比，供大家参考，它们分别是小米13、荣耀5、11、一加11。首先是最常用的主摄日间场景，在光线好的多数日间场景各家差别确实不大，但我挑出两组很有代表性的样张，图1和图2可以看出小米13是非常明显的冷色调四周暗角，确实能做到一眼徕卡，但好看与否就见仁见智了荣耀5是四款手机里最艳丽的，饱和度偏高，11次之，一加11影调最暖，对光影的层次还原最好。图3图5的人像部分，小米13的人像模式焦段更长，美颜很克制，更突出面部细节荣耀的面部锐化最多，美颜更偏暖白11延续蓝厂风格，对于面部的美颜最红润一加11虽然也是红润方向，但会更克制一些，是一种白皙粉嫩的风格逆光部分和一加对于太阳紫边的控制最好，两款的逆光使逆光场景也能还原好暗部色彩和面部细节日间超广角部分，一加11的整体色彩还原最好，4800万像素的518确实做到了主摄级的影调和色彩，这个好评主摄影调方面，夕阳下的绿植，小米和荣耀更凸显冷调和绿植的绿色，而和一加则更凸显暖调和光影，尤其一加11对于光影的呈现更立体夜景部分，多数场景依然区别不大，小米13依然压高光最狠但画面整体最暗，11色温最暖，荣耀5和一加11画面最亮极限暗光区别明显，细节部分和一加表现最好，小米和更倾向暖调，荣耀适中，一加更凸显墙砖的红色，放大看细节，你更喜欢哪款的风格呢？整体而言4000价位的这三款手机影像表现各有优势，小米13风格化最重，让人印象深刻荣耀5街拍最快，色彩最浓郁，一眼看过去观感很好11逆光很强，拍人最红润一加11色彩与影调表现最好，确实有大哥6那味了，没想到主打游戏和性能的手机，影像表现也很强，就我个人而言可能会最喜欢一加11一些，哈苏的成像风格我还是很心水的[666]: 推荐一加11和荣耀5的影像对比。
10万以内适合女生开的车性价比你谁，油价日益增长的时代，电车无疑成了很多人的第1选择，七八万的预算用于日常出行、家用代步，可以买到性价比不错的电动车，今天来细细分析下这四款，给准备入手新能源电车的小姐姐一些参考零跑03实用经济型小车，时尚的外观和内饰设计，户外出行很出片，超长续航403公里，来回两小时毫无压力，周边游没问题，甩掉电量焦虑，全系标配主副驾安全气囊，要知道上路安全是第1位，等红绿灯的时打开自动驻车解放双脚，电机功率80，同级算是相当大的，可带来时速110的动力，高速驾驶感受杠杠的五菱缤果实用性挺强的，五门四座车型适合简单家用，外形小巧配色复古、憨态可掬，蕞长续航333，车程15小时轻轻松松，但周边出行会差点意思，不是全系标配主副驾驶双安全气囊，宝子入手时还是要注意选择哦。电机功率50，时速100，正常通勤行驶足够，高速行驶速度会慢一点欧拉黑猫外观小巧呆萌有特点，内饰连屏蛮有科技感，提速快操控稳，续航405公里，想去远一点的地方玩得有地方充电，上下班通勤非常合适！车的防撞功能对女司机太友好了，接近障碍物就会发出警报，还有刹车辅助、倒车影像、蓝牙钥匙等非常适合新手的配置，乘坐空间还算不错，后备箱储物空间有限几何外观大气有活力，前脸光带做得很带感，内饰配色时尚温馨，配置有倒车好影像、定速巡航、上坡辅助、语音识别、车道偏离预警等实用，动力城市代步、接送孩子还是挺充足的，操控对于新手友好，方向盘轻适合女生，车身小巧停车也很方便，开车时车外噪音比较清晰: 推荐四款适合女生开的车,其中五菱缤果车型适合简单家用,外观小巧可爱,适合日常出行。建议入手新能源车。
哈哈哈哈为什么笑出了一种车是偷来的的感觉打算练科二了，提前感受一下但还是好害怕车坐进驾驶位就紧张: 体验车偷来的感觉
大家想看的最全的车牌墙来了，到现场的朋友一定能找到，别忘合影哈上海梅赛德斯奔驰文化中心: 车牌墙亮相,现场可找到合影
樱花树下过周末一秒心动爱车受邀试驾的一天体验了一把奔驰纯电版趁着樱花盛开穿梭在樱花树下好不自在对于选车颜值和性能我都要创新的弓形车身流畅大气内饰奢华感十足一整个心动！128英尺大中控搭配全景天窗不仅可以很好的操作还可以欣赏自然风景驾驶奔驰在周围转了一圈正是樱花盛开时节沉浸式体验了一波舒适的驾驶体验搭配舒适的天气心情都愉悦了许多还在现场边下午茶边了解奔驰体验了做香薰最后还去了光延光影展感受了光影的魅力度过了一个美好的下午: 体验奔驰纯电版,感受樱花盛开时的愉悦体验。
抽到了比亚迪汉冠军版冰川蓝，这是我最喜欢的一款颜色，系好安全带，准备出发啦惠州惠州龙门富力希尔顿度假酒店: 购买比亚迪汉冠军版冰川蓝,准备出发啦。
这位朋友您是山东的吗？[哆啦梦害怕]: 山东朋友是谁?哆啦梦害怕。
兰博基尼全新大牛采用全新插电混系统，整车干重1772，12发动机、八速双离合变速箱、三台电动机，最大输出功率1015匹，百公里加速25秒，秒内，极速350，同时他也是史上性能最强的大牛济南: 兰博基尼全新大牛性能强大
杨玉环银翎春语新皮肤: 杨玉环银翎春语新皮肤
新发型[作揖]家人们怎么评价: 发型引争议
是我们的长矛，也是我们的后盾。狼队王者荣耀: 狼队王者荣耀
嗯电视剧爱情而已@电视剧爱情而已星痕: 电视剧爱情而已
这叫什么事啊？这说明了一个强大的赛训组，给他几个好苗子，就能打造出第二支强大的队伍[哆啦梦害怕][哆啦梦害怕]太亏贼了: 赛训组强大,哆啦梦害怕。
常规赛第八周最佳选手最佳阵容 第八周最佳阵容东方无畏月色妖刀一笙第八周最佳选手一笙: 第八周最佳选手阵容和阵容
擦，等了三周终于官宣了，什么时候上线啊: 三周官宣,期待上线
兄弟们一定会变得越来越好，相信我们电视剧爱情而已@电视剧爱情而已傲寒: 兄弟们相信电视剧爱情
换一个水电子竞技俱乐部: 水电竞技俱乐部
想个办法把创了下把我上: 解决创难问题
2023春季赛常规赛第二轮首发阵容 402（周日）1500南京久竞武汉对抗路南京东方@南京东方打野南京无畏@南京无畏中路南京星痕@南京星痕发育路南京傲寒@南京傲寒游走南京久酷@南京久酷: 2023春季赛第二轮首发阵容确定
紫幻试训[哆啦梦害怕]: 哆啦梦试训,害怕害怕
2023春季赛季后赛: 2023赛季后赛程
2023春季赛常规赛第二轮赛事预告 武汉南京久竞谷有溪流直下，水声空灵，星弋取竹于谷而吹之，竹声悠扬婉转，引得行者闻声而立。相逢一曲敬朝阳，风起正是扬帆时。: 2023春季赛第二轮赛事预告
早上好我们亲爱的狼宝宝们新的一周开始了希望这一周的我们狼宝宝也能和昨晚一样幸福捏狼队王者荣耀: 期待新一周,狼宝宝幸福捏王者荣耀。
活动预告 悠然轻露营联动主题活动一览活动期间首次分享活动即可获得50钻石！参与活动共可获得4笑意与舞台乙狩阿多尼斯（附带服装）、上级招募券（限时）*10 、钻石*670 、哨子(限时)*27 等奖励！活动时间4月8日月23日2400食材任务完成每日任务 和活动任务 可以收集到普通食材 和消消乐加成道具 食材可在奇趣野炊活动中制作料理获得奖励，加成道具可在消消乐活动关卡提供加成效果。森林探险通过每日登录即可获得探险通行证*12 ，活动期间每日首次进入活动还可额外获得探险通行证*2 ，制作人也可消耗50钻石兑换探险通行证*1 ，每日最多可消耗钻石兑换5次探险通行证，消耗探险通行证*1 即可参与消消乐活动关卡消耗探险通行证 通关消消乐活动关卡，可获得普通食材 和特殊食材 ，食材可在[奇趣野炊]活动中完成料理烹饪！在森林探险中完成个人挑战达到对应的最高分数，将获得随机颜色宝石（小）*45 、随机颜色宝石（中）*15 、随机颜色宝石（大）*6 、哨子（限时）*12 以及活动限定称号开心制作人奖励！全服制作人通关达到一定数值后，将逐步解锁总计哨子（限时）*15 、钻石*300 的奖励没有探险通行证时，也可开启消消乐活动关卡，但不会掉落烹饪食材使用加成道具通关消消乐，将更容易获得较高的分数。完成食材任务获得的消消乐奇妙加成道具助力沙漏 在限时关卡内可为制作人提供5加成，在有步数限制的的关卡内可为制作人提供5步加成加分木锤 可在结算界面，为制作人带来额外的分数加成。奇趣野炊消耗在食材任务和森林探险获得的食材完成烹饪，累积烹饪次数、解锁料理种类、解锁偶像特别评价均可获得烹饪奖励！完成烹饪任务可获得烹饪奖励经验券（小）*50 、经验券（中）*20 、经验券（大）*10 、上级招募券（限时）*10 、钻石*200 、宝石 、4笑意与舞台乙狩阿多尼斯卡片的丰厚奖励累计烹饪80次，4笑意与舞台乙狩阿多尼斯卡片可达到满破。重复制作同一料理后可增加该料理的熟练度，每道菜的熟练度奖励为经验券（小）*40 、经验券（中）*15 、钻石*10 、随机宝石(小)*10 、随机宝石（中）*2 ，在奇趣野炊 中共可解锁12道料理，共可获得120钻石！详情请以游戏内展示为准: 悠然轻露营活动奖励丰厚,参与活动可获得丰厚奖励和道具。
不懂孙策的人有难了！！！！1论夹子音是怎么诞生的（又结巴又脸红还会说脏话，奇怪的爆掉了，最关键声音突然就夹起来了！）2少年怀春（结结巴巴太可爱了3怎么只叫一声嫂夫人啊4你小子哈哈哈哈哈哈芳心纵火犯先把自己烧了（很符合小狗人设）！！！我宣布小纸人是代号鸢最伟大的发明（之一）7鼻子红红！8主动蹭蹭！9不懂撒娇小狗含金量的人永别了！: 理解孙策的人有难了!
这个镜头其实很有意味。。。: 意味有意味的镜头
41日比赛推荐长沙广州预测广州胜23苏州成都预测成都胜23节日快乐: 比赛推荐:长沙、广州、苏州、成都预测
哪两支战队将拿下胜利、继续本赛季的旅程？精彩比赛，不要错过哦王者荣耀职业联赛的微博直播春季赛常规赛第二轮卡位赛: 王者荣耀微博直播卡位赛
今天的好惊喜！未央强！: 新惊喜,未央强惊喜
直播分享深圳丶钎城@深圳丶钎城下播前要再听一遍歌 大概率是要出去散散心再听一遍这首歌，听完再下，主要是这一句，故事的发展有很多意外玩加电竞王者荣耀: 直播分享深圳丶钎城歌曲,意外玩加王者荣耀。
长沙03广州专心备战卡位赛，再接再厉。滔搏电竞俱乐部王者荣耀: 滔搏电竞俱乐部备战卡位赛
围观北京王者荣耀战队: 围观北京王者荣耀战队
春季赛未播花絮 成都超玩会@成都超玩会一诺@一诺加油！成都丶未央@成都丶未央我的我的，小问题[污]: 春季赛未播花絮 成都超玩会加油
小狼也很猛呀！弟弟们牛的！[送花花]不要气馁啊！磨砺使人更加强大！: 小狼很猛,磨砺更强大。
粤精彩溢出屏幕的欢乐预告来咯正片稍后奉上[彩虹屁]广州: 粤精彩预告,奉上“彩虹屁”广州
2023春季赛季后赛: 2023赛季后赛程
2023春季赛常规赛第二轮赛程预告 402（周日）1500南京久竞武汉追风赶月不停留，夜里埋头向前奔跑。: 2023春季赛赛程预告
一起守护星星的孩子们: 守护星星的孩子们
围观北京王者荣耀战队: 围观北京王者荣耀战队
战队7@7，生日快乐呀！真诚的人会得到好运眷顾，就请傻7兜同学在今天许下那个会被偏心的愿望吧，所愿皆成真。: 祝战队7生日快乐
2023春季赛常规赛第二轮赛前返图 无敌！！赛场见: 2023春季赛第二轮赛前返图
代号鸢你改名吧你叫代号船夫和地痞而我在游戏里发疯[苦涩]我卡在第五章地痞过不去两天了我要疯了有没有阵容推荐可以过的啊: 代号鸢改名游戏发疯
微博俱乐部王者荣耀战队羊村返图丨小生日会北京梓墨@北京梓墨北京花卷@北京花卷北京乔兮@北京乔兮北京星宇@北京星宇: 微博俱乐部王者荣耀战队羊村返图丨小生日会北京梓墨、花卷、星宇。
电子竞技俱乐部@电子竞技俱乐部电子竞技俱乐部@电子竞技俱乐部: 电子竞技俱乐部
[苦涩]战队@4战队: 战队苦涩
南京久竞武汉 好久没在这里相见啦我曾经的队友[团圆兔]: 队友在武汉久竞,期待重逢。
新的篇章，即将开启！: 新篇章即将开启
什么一队二队我们叫重庆狼队狼队王者荣耀: 重庆狼队推出王者荣耀
未定事件簿主线第十一章《茧房(下)》剧情插图抱图留名谢谢啦[求关注]查看原图保存更佳[举手]: 《茧房(下)》剧情插图抱图留名
世界前30记录被亲戚家熊孩子清零: 30记录被熊孩子清零
围观北京王者荣耀战队: 围观北京王者荣耀战队
狼队王者荣耀它是不是走错了: 狼队王者荣耀走错
陆景和是夏夏（化名）在律政恋爱推理手游《未定事件簿》里的虚拟男友，他的身份是一家跨国集团的执行总裁。半年前，21岁的大学生夏夏开始玩这款乙女游戏。它也被称为女性向恋爱游戏，是专门针对女性开发、以恋爱幻想为主线的模拟游戏。夏夏是纸性恋中的一员。在日语中，纸性恋指的是一个人只对动画、漫画、游戏、小说中的虚拟人物产生爱慕之情，这些爱慕对象被称为纸片人。在游戏中的未名市，夏夏是故事的主角，是剧情的推动者。在这个虚拟世界里，她可以喜欢里面任意一个男主角，谈一次希冀中的恋爱。和夏夏一样的乙游玩家们，氪金（指耗钱）、爆肝（指耗时），收集到了认同和慰藉。但当人们从一场可操控的白日梦转身回到不如意的现实世界，会遭遇社会关系的收缩吗？我的男友是纸片人: 21岁大学生开发虚拟男友游戏,专门针对女性开发恋爱幻想,被称为《未定事件簿》中的虚拟男友。
