被爱才能像小孩像被人爱04小碗广州: 爱才能像小孩像被人爱04小碗广州
4月3日，江苏徐州，一位外卖员送餐途中由于路滑摔倒，晕倒十分钟，清醒后不肯去医院，热心阿姨心疼坏了，愿意掏钱送他去医院，这大妈真好令人感动。网友地上那么多血，还不肯去，这是太多的无奈啊！: 外卖员路滑摔倒,大妈愿意送医。
据上游新闻@上游新闻报道4月3日，湖北省黄冈市团风县回龙山镇独尊山村村民涂记明向上游新闻记者反映，相关部门为让他同意拆迁，先在他房子上凿两个洞，接着下级危房告知函，最后下达五日拆除通知书。他认为，自己遭遇了套路拆迁。回龙山镇相关负责人称，涂记明认为相关部门在玩套路他能理解，但真没有玩套路。墙上的洞是施工不慎造成的，下达后两份文书属正常履职，已经到了这一步，坐下来谈，拆掉是最好的办法。上游新闻: 湖北团风县村民涂记明向上游记者反映同意拆迁,并下达五日拆除通知书。
1岁10个月宝宝被诊断为语言障碍，住院前突然口齿清晰讲话 4月1日，江苏徐州。孟女士称，她的宝宝1岁10个月了，此前孩子说话表达情况不佳，到医院检查后，医生评估孩子有语言障碍。可没想到在住院前，宝宝突然口齿清晰讲话。: 10月宝宝被诊断语言障碍,住院前突然口齿清晰讲话。
不知啥时起，都说杭州是美食荒漠，我一当地朋友因此坐不住了，怒斥网红炒作的店，然后精心总结了他作为土著认可的店，感觉非常靠谱，我立刻发去群里，立刻被一位杭州群友怒斥什么网红总结，然后从列表里狠狠划去数家，又补充了一些自己心仪的。我把这份答卷转给第三位杭州土著看，他当即发出冷笑: 杭州美食荒漠,朋友怒斥网红店。
目前，香港正走在正确的道路上，但要达到全力拼发展、拼经济、拼竞争力的目标，必须有一个和平安全和稳定的环境——下星期六（4月15日）举行的全民国家安全教育日，便是我们全方位提升和营造本港维护国家安全氛围、维持和平安全和稳定环境的其中一项重要活动。我鼓励市民积极参与，共同认识国家安全。: 香港全民国家安全教育日,鼓励市民共同认识国家安全。
1998年，32岁的塔西热孜克在抓捕犯罪嫌疑人时牺牲，警号封存。一年后，他的妻子调入公安队伍，这一警号得以重启如今，塔西热孜克的妻子退休，警号又被交到了儿子手中新疆平安网@新疆平安网: 塔西热孜克的妻子退休,警号被儿子掌握。
外卖小哥摔倒后鲜血直流昏迷倒地十多分钟，起身后不愿上救护车，被路过大妈拦下，自发掏钱劝他去看病。: 大妈掏钱劝卖小哥去看病
4月2日，安徽宿州，七旬老人开车不慎冲进河中，95后小伙陈跃飞闻声赶来果断下河，因车门被石块卡住，他用尽全身力气才把车门掰开救出老人，刚上岸边车辆便下沉了。陈跃飞说，事后才发现自己手机被水泡坏了，现在正在维修，但是看到有人落水肯定先救人，这是应该的。大米@大米大米: 95后小伙救七旬老人,手机被水泡坏了。
金世敏是长沙民政职业技术学院殡仪系大三的学生，如今已经可以熟练地为遗体做清洁、缝合和化妆的基本工作。这个系的四个专业殡葬服务、火化、防腐塑形、陵园服务，恐怕999以上的年轻人，光听到名字就会被劝退。学习殡仪的体验也是特别的有段时间，一连几天晚上，金世敏都要梦见一张看不清楚的女性的脸。为此，她默默悼念，愿逝者安息，来化解心中的遗憾。此前，在为一位中老年女性逝者清理面部时，她不小心用镊子碰掉了逝者一颗已经松动了的牙齿，这仅仅是金世敏第二次在殡仪馆接触真实的遗体，那时的她刚上大二。从实训楼出来的那一截路很黑，而且旁边就是一座公墓，听早年的学姐说路上还遇到过变态性骚扰，晚上独自训练结束，防腐班的女生让礼仪班的男友接她回宿舍。相比遗体，女生们更害怕坏心眼的活人。慈悲为怀，服务众生是殡仪学院的院训，想做这份工作，最重要的就是心善，真心想为逝者服务，高薪也无法逼一个人去从事他不热爱甚至惧怕的职业，而这份职业能给我们的成就感，来自于每次看到家属因为我们的服务而感谢落泪，金世敏说。图文张雷: 殡仪系学生金世敏为逝者服务,默默悼念。
那人家说一句，你出去。我们不做你生意了。这个时候应该怎么办: 不做生意怎么办?
实拍闪电劈中东方明珠上海苏河湾中心: 实拍闪电劈中东方明珠
近日，福建莆田，舞狮队路上偶遇小狗，双方超萌互动，现场一片笑声。（中青报）: 福建莆田舞狮队路上偶遇小狗超萌互动
环卫工用扫帚打落树上花瓣，当地已第一时间制止，考虑环卫工人是弱势群体不会开除。: 环卫工打落花瓣,当地已制止,考虑不开除。
就想问一句未成年保护法到底保护什么？越审量刑越轻，下一步准备怎么判，才11岁的孩子啊，家人不服判决很正常，就我们作为局外人都觉得这种该直接死刑，更别提孩子的家人了吧。: 保护法越审量刑越轻,家人不服判决很正常。
女孩不忍心看老人在路边乞讨，独自跑去买了一些自己喜欢吃的给老人: 女孩不忍乞讨者诱惑,购买自己喜欢吃的给老人。
是爱乳女还要考公的出生安徽省人民政府网@安徽省人民政府网安徽发布@安徽发布安徽公安在线@安徽公安在线安徽网警巡查执法@安徽网警巡查执法怎么看: 爱乳女需考公的出生安徽网警巡查执法引关注
对于有效线索举报人，公安机关将给予1000元2000元奖励。转扩，让更多人看到！中国警察网@中国警察网: 举报线索可获奖励转扩
要给女儿找回尊严 近日，网传重庆奉节实验中学一女生被多人欺凌。4月2日，重庆奉节教委通报称针对网络反映实验初中校园欺凌一事，4月1日，县教委、县公安局等部门高度重视，立即组成专门调查小组，目前正在进行全面调查。对相关涉事和责任人员，将按规定严肃处理问责，坚决守住校园一方净土。4月3日，受害者父亲发声我的孩子在这次事件受伤害非常大，绝对不会接受和解，让对方受到相关部门的惩罚，为女儿找回尊严。（九派新闻）: 重庆奉节教委调查校园欺凌事件,严处涉事和责任人员,保护校园一方净土。受害者父亲表示不会接受惩罚。
能正经运作的话，当然是好事。新的商业机会很多。也相当于把一部分香港的竞争优势给抹平了。但目前海南在管理上的能力，我暂时持谨慎态度。之前就有去海南打拼工作生活二十多年的朋友，以亲身经历劝我谨慎去海南创业。我先观望: 朋友劝我谨慎去海南创业,我先观望。
今天就这个话题，唠一个陈年旧事，请大家提高警惕，远离赌博叠码仔的背后是一个庞大的、游走在灰色地带的达尔文盒饭厂——专门游猎那些来钱快来钱多的肥羊，比如曾经的风口产业暴发户，城中村拆迁户，贪污犯等等，他们的能量不仅在境外，而且还与境内地头蛇勾结，可以说每个县市区的地头蛇都和他们有交情，这就是道上的朋友。每个县市区里隐藏的地头蛇会先把拆迁户和企业家非常详细的信息传递给这类人的大本营，然后开始商讨合作，专门盯着这些小白肥羊在赌场设局。所以很多受害者在还没有出家门的时候，就已经被万里之外的人盯上了，今天要谈的旧事，就是我兄长的一个企业家朋友，他在境外赌场被叠码仔热情的邀请玩玩也不知是运气好，还是什么的，他赢了几百万，然后拿着钱回到内地，一切看起来是那么美好。但是这个企业家在回家后的两三天里，心神不宁，总是觉得哪里不对劲。后来突然想通了，第二天就联系上叠码仔，把赢得几百万给退了回去，之后他内心里的那种慌乱感就消失了。为什么要退回赢来的钱？原因是——这个企业家朋友在社会上摸爬滚打很多年，对被人盯上的感觉非常敏锐，他后来琢磨明白，自己是被那群人早就盯上了，如果不把钱吐回去，自己绝对永无宁日，毕竟自己做企业，肯定有漏洞，肯定防不住别人的紧盯。谁负责紧盯？自然是企业家朋友附近的地头蛇了。后来企业家朋友把赢的几百万退了回去，相当于下船费和人情，一般来说，对方愿意收回钱，意味着同意将他移出肥羊列表，成为了点头之交的路人朋友。这种事情和这种人，是不可能彻底清理干净的，毕竟有人心的地方，就会有魔鬼，我们能做的，就是远离这些人和赌博，不要领这些达尔文盒饭厂的盒饭在大自然眼里，不小心中招的人，都是不合格的碳基生命，都需要领盒饭退场毕竟整个系统的资源有限，需要时时刻刻进行淘汰和马太效应进化。这就是宇宙沙盒游戏的残酷，远离达尔文盒饭厂。: 远离赌博,远离赌场,达尔文盒饭厂老板的生意经。
是意外 4月2日，山东滕州。当地一公墓内，一位上坟的市民，停在墓地边的一辆奥迪车，意外起火烧成骨架。对此，有网友称是车主把车当成祭品烧掉了。4月3日，多名村民和目击者表示，此事纯属意外。公墓工作人员则表示，当天确有一辆轿车起火，但不是把真车当祭品，现在提倡文明祭扫，从没见过把真车当成祭品。: 山东滕州公墓内奥迪车意外起火烧成骨架
孩子母亲感到奇怪 2月13日，陈美霖在社交平台公开了前三封信和自己的回信，希望张波不要再以任何爱的名义来求得原谅。在那之后一周，她又收到一封信。与前三封不同，这封写她的姓——陈字用的是繁体字，让她感到奇怪，因为张波根本不会写。信的末尾写，坐二十几年牢出来后尽我所力的补偿你。最初是在一月，下午遛弯回家，母亲曹玉珍特地在楼下信箱看了一眼，刚续费的保险回执该寄来了。没找到自己的名字，倒是有一封写给陈美霖的信，落款是重庆市南岸区看守所。又要耍啥子花招，她想。晚上七八点钟，陈美霖回家，看到这封信，一下子哭了。那晚，她再度陷入孩子的回忆。全文（极昼工作室）: 陈美霖公开回信和回信后,她再次陷入孩子的回忆。
中国人不骗中国人，为什么成了一句网络热梗？: 网络热梗引争议
北京，一个38岁前媒体人的中产坠落（转自腾讯新闻）: 38岁前媒体人中产坠落
4月3日，网友上传监控视频显示3月19日，一男子向住户门外的鞋子两次扔未熄灭的烟头，还返还将纸巾点燃扔进鞋里后离开。（素材来源阳哥）: 男子两次扔未熄灭烟头后离开
城管回应正在调查核实 4月3日，网传湖南长沙木鱼山路一辆洒水车喷水驱赶商贩，引起广泛关注。视频内容显示，洒水车正朝着商贩摊位喷水，商贩则大喊道，不要再喷啦！我都在收东西了，你要怎么样？你不要欺人太甚了！你看我衣服都湿了！画面中，道路上设有此路已通，禁止摆摊的提示牌，四周有多人围观。对此，岳麓区城管执法工作人员回应称，已接到相关投诉，洒水车是环卫部门的，目前正在调查核实。更多详细内容请查看原文巨浪视频: 湖南长沙洒水车驱赶商贩,城管回应正在调查核实。
目前，东北三省2022年人口数据已全部出炉，三省常住人口减少数量均超过了20万人。数据显示，2022年年末黑龙江常住总人口3099万人，比上年减少26万人。辽宁2022年年末常住人口4197万人，比上一年减少324万人。加上吉林，东北三省去年常住人口共减少8608万人。数据显示，去年吉林出生人口为1023万人，黑龙江出生人口1039万人，辽宁出生人口172万人，三省出生人口合计跌破了40万，仅为3774万人，占全国比重仅为395。常住人口合计超9600万的东北三省，去年出生人口不及西南的云南一省多。东北三省去年常住人口共减少8608万人，出生人口跌破40万: 东北三省常住人口减少超过20万人,东北三省出生人口跌破40万。
请为科学治沙的探路人王友德同志点个赞！生命不息，治沙不止，我要在治沙播绿中实现自己的人生价值。王有德以坚韧的毅力和宁肯掉下十斤肉、不让生态落了后的拼搏干劲，团结带领白芨滩林场职工营造防风固沙林60多万亩，控制流沙近百万亩，在浩瀚的毛乌素沙漠边缘筑起了一道南北长61公里、东西宽30公里的绿色屏障，有效地阻止了毛乌素沙漠的南移和西扩，为宁夏生态建设做出了积极贡献。王有德于2019年9月17日，获得人民楷模国家荣誉称号。望大家都牢记这个名字科学治沙的探路人王友德。胡萝卜超市: 王友德为科学治沙的探路人点个赞,为宁夏生态建设做出了积极贡献。
法院提醒这些要点需满足 江苏南通的李先生30岁出头，未婚单身，幼年父亲不幸离世，母亲改嫁，他由爷爷、奶奶一手带大。爷爷、奶奶年事已高，由李先生扶养。前几年，李先生被确诊为癌症，他希望自己去世后，能给爷爷、奶奶晚年生活留下一份保障，决定立遗嘱，把自己的财产留给老人。他在4纸上打印我去世以后，我的所有财产归爷爷、奶奶所有，并盖上私章，签上名字后，写下年月日。之后，李先生因癌症去世，李先生的母亲认为自己是第一顺位法定继承人，要求分得遗产。李先生在4纸上打印下遗嘱的内容，属于打印遗嘱的范畴，而打印遗嘱需要有见证人在场见证，在没有见证人见证和签字的情况下，这份遗嘱的效力就无法得到保障。在遗嘱无效，又没有遗赠抚养协议的情况下，按照法定继承处理，李先生的母亲作为第一顺位法定继承人，可以取得李先生的遗产。李先生的爷爷、奶奶可以适当分得遗产。亲笔签名立遗嘱却无效，法院提醒这些要点需满足: 法院提醒立遗嘱需满足,打印遗嘱也有保障。
[哇] 4月1日，海南琼海。一女子乘机意外发现自己包机了。当事人秦女士称，自己之前的航班被通知因天气原因取消了，自己坐的这趟航班工作人员称是临时增设的，不对外售票。乘务人员对自己就像是国宝大熊猫一样。: 女子因天气原因被取消航班,航班临时增设,乘务人员对自己就像是国宝大熊猫。
这题我会，听专家的话，把家里闲置的房子租出去，收租几千块保底再把家里闲置的车去开滴滴，当副业每个月赚个万把块主业就是摆摊啦，贴膜或者卖煎饼果子年入百万。: 租闲置房开滴滴,年入百万。
北京街头惊现满级魔法师: 北京街头现满级魔法师
宠物狗没拴绳车库被撞死，经过法院审理，涉事司机承担次要责任判赔800元。: 宠物狗未拴绳车库被撞死,司机承担次要责任被判赔800元。
不上班的年轻人是怎么搞钱的: 年轻人是怎么搞钱的
随意篡改价，格，投机取巧！该罚！问题是只罚20万吗？还会不会还会卷土重来！不过300一杯的柠檬茶，实属天，价，我喝不起！愛樂兒: 柠檬茶随意篡改价,投机取巧。
赶赴，将被困人员成功救出并送往医院进行治疗。提醒大风天出行务必及时观察路面情况，提高警惕，谨慎驾驶！（湖南消防）: 救援人员成功救出,提醒谨慎驾驶。
女生在海边发现一堆黏糊糊，好奇求助这是啥玩意，于是网友开启胡说八道大赛: 女生海边求助黏糊糊
辽宁省高院法官前往事发村庄调查 记者从辽宁11岁女孩家中遭邻居猥亵杀害案死者家属处了解到，该案有了最新进展。该案凶手因犯故意杀人罪、猥亵儿童罪，被判处死缓并限制减刑，后改判死缓，死者家属不服判决申诉后获立案。红星新闻记者从家属处获悉，检察院立案受理申诉后，向辽宁高院提出再审检察建议后，4月3日，辽宁省高级人民法院法官前往案发所在村庄做了笔录，又前往案发现场调查。死者阳阳的母亲王东提到，凶手所为给家属和当地留下了恶劣的影响。阳阳去世后，家属花近半个月在自家蔬菜大棚地附近搭建了一个看护房，为避免住在家中想起阳阳而过于悲伤，一家人多年来一直生活在蔬菜大棚内。他们希望通过申诉，给女儿讨回公道。红星新闻此前报道，阳阳家住辽宁省葫芦岛市南票区大兴乡土台子村。2015年8月30日，同村23岁的邻居赵建将其拖到厕所里猥亵，因害怕事情暴露，赵建拿着镐头多次击打女孩头部，致其颅脑损伤死亡。作案后，赵建逃离现场，将衣服和身上的血迹洗净，第二天还曾前往案发现场和其他群众一起围观。2016年，葫芦岛市中院一审以故意杀人罪、猥亵儿童罪，判处赵建死刑，缓期2年执行，并限制减刑。葫芦岛市检察院随后抗诉称，一审判决认定赵建有自首情节错误，此案量刑畸轻。辽宁省高院撤销一审判决，发回葫芦岛市中院重新审判。2018年，葫芦岛市中院判决，判处赵建死刑，缓期2年执行。2019年辽宁省高院裁定，维持原判。（红星新闻）: 女孩被猥亵案凶手因故意杀人罪、猥亵儿童罪被判死缓并限制减刑,家属提出再审检察建议。
就因为这种人，能野炊的地方越来越少: 能野炊的地方越来越少
4月2日，某班次高铁上有乘客曝光大妈不满前排乘客座椅放倒，竟大力力推什么东西，我要报警了: 大妈因座椅被放倒,力推报警。
7元一盒的药品以150元高价卖给老人: 药品高价卖给老年人
近日，广西田间现无人驾驶遥控耕田机。当事人称该耕田机系自研，成本大概五六千，5公里内可以实现遥控耕田。网友行行出状元，建议推广！[666]（新华每日电讯）: 广西无人驾驶耕田机现身,成本五六千,网友建议推广。
越南外企里的员工们。随着外资扎堆涌入越南，给越南人民的生活带来了翻天覆地的变化，带来了经济，科技，思想观念的进步。虽然他们还有一些缺点和问题，但不可否认，他们正走在飞速发展的道路上。另外说一句，这个跳皮筋我也是玩过滴。: 越南外企员工生活翻天覆地变化,科技、思想观念进步。
那些在网上求受害者视频的请做个人，也希望那些在恋爱期间的男女生，不要拍会泄漏自己隐私的照片和视频。: 求受害者视频,不要泄露隐私。
女生自带酒水后现场普法，最软的语气说最硬的话: 女生现场普法
马英九一行到重庆张自忠将军烈士墓，并敬献花圈 4月4日上午，马英九一行来到重庆张自忠将军烈士墓，张将军的孙子张庆成陪同。马英九在张自忠塑像前肃立许久，在听讲解员介绍张将军生平时更是眼眶泛红。之后他们在张将军墓前默哀，绕墓一周。一行人敬献的花圈上，写着中国国民党前主席马英九暨全体团员敬献。在和张庆成交谈时，马英九哽咽着说，张将军受了很多委屈，他壮烈殉国，很了不起。张自忠将军1940年5月壮烈殉国，是抗日战争中牺牲的国民党最高将领。在张自忠将军纪念馆里，陈列着毛泽东所写的尽忠报国。环视频: 马英九在张自忠将军烈士墓前敬献花圈,张将军孙子张庆成陪同。
老父亲被城管按倒儿子救援，却被城管按住暴打通报涉事人员警告开除: 父亲被城管按倒儿子救援,遭暴打通报涉事人员被开除。
？ 记者韩鹏@记者韩鹏我老婆生了！母女平安，顺产，女孩，6斤6两。老婆恢复得很好，我正陪她在大山东开心地坐月子。请大家放心。我有一位90后朋友，是哈佛大学留学生、经济学博士后研究员。这周末，他千里迢迢回国，又专程从北京跑到山东，来我家看娃！感恩。他到我家一坐定，就对我提出了三个灵魂之问——你家生娃，到底花了多少钱？——中国现在人口净减少，很多人不生娃，到底是不是钱的问题？——如何让大家想生娃？哈哈，这问题，高情商的应对，当然是按跟亲戚拉家常的套路，随口闲聊几句，然后迅速转入其他八卦。但我想选择低情商应对——认真回答！因为我想用国内一线真实经历，跟这位优秀的90后经济学人聊聊为什么很多年轻人都不愿生娃了。来风闻看全文，参与更多讨论用国内一线真实经历聊聊为什么很多年轻人都不愿生娃了？: 探讨年轻人不愿生娃,高情商的应对。
2014年，民警胡钦春在追捕犯罪嫌疑人过程中，遭歹徒持刀暴力拒捕，壮烈牺牲。面对危险，他没有一分钟的犹豫。如今，他的女儿也选择了这身藏蓝。（宜昌市公安局）: 民警胡钦春牺牲,女儿选择藏蓝。
（中央政法委长安剑）: 中央政法委副主任长安剑
蔡徐坤粉丝向贵州山区捐赠了一个篮球场，希望与爱，从未离开！: 蔡徐坤捐赠篮球场
只要孩子肯做，能养活自己过得快乐就好！: 孩子肯做,能养活自己,快乐就好。
4月2日，中国台湾，台湾博主祭拜抗日英雄孙立人，其棺椁放地面三十多年只为能安葬安徽庐江抗日英雄孙立人将军（年）安徽庐江人，抗日战争共毙伤日军十余万人，日军敬畏尊称孙将军为中国军神，临终遗言不葬大陆，棺不入土。深切缅怀孙将军，愿棺椁早葬故乡！中时: 台湾博主祭拜抗日英雄孙立人,愿棺<unk>早葬故乡。
4月2日，河南。奶奶的硬核喂食，一大盆的面条，宝宝吃的很开心，网友有一种饿叫奶奶觉得你饿。: 奶奶硬核喂食宝宝面条
有限生命，无限价值，缺一条腿也不影响他在世间站得直，精神可嘉，值得学习，为最美救助者点赞！: 点赞最美救助者
据泰国媒体《泰叻报》消息，4月3日，中国武汉警方已成功逮捕涉嫌杀害中国女留学生的3名中国籍犯罪嫌疑人。目前，泰国警方已派人飞往中国一同进行调查。3月31日，曼谷一所大学的老师前往警局报案，称一名音乐专业大三年级的中国留学生失踪。4月2日，其尸体在一香蕉园的水沟里发现，手脚被捆绑且有被殴打的痕迹，此事在泰国和中国均引发轰动和愤怒。随着案件发酵，泰国警方锁定3名犯罪嫌疑人1999年出生的周某，2000年出生的陈某以及2000年出生的周某，均为中国河北籍。泰媒披露，嫌疑人团伙计划在死者3月初进入泰国上学时，引诱死者爱上其中一名嫌疑人。随后再通过绑架死者向其父亲勒索50万元人民币的赎金。事发后，三人于3月30日逃回中国。目前，泰国警方已与中国警方进行协调，如果法院批准了故意谋杀罪的逮捕令，将在逮捕3人后将他们引渡回泰国审判。（金羊网）: 3名中国籍犯罪嫌疑人涉嫌杀害中国女生,泰国警方已成功逮捕。
非洲一女孩因颜值太高被载入吉尼斯纪录父亲雇保镖护送上学: 女孩因颜值高被父亲雇保镖护送上学
一切安好，小时候不理解为什么外国人舍得花中国人一个月工资住酒店，现在懂了。这个酒店500元，正好是缅甸人一个月工资。那个事儿在等消息，欲速则不达。缅甸仰光: 理解外国人花中国人月工资住酒店,缅甸仰光。
扩散提醒关注天气变化，及时增减衣物，注意出行安全！湖北天气湖北天气@湖北天气: 关注天气变化,增减衣物,注意出行安全。湖北天气。
福建漳州长泰县坊洋镇江都村9组全家人实名举报村霸帮忙扩下[微笑]视频结尾有殴打证明和伤情（大娘遭人欺凌，被众人揪头发，扒光上衣）: 福建村民实名举报村霸,视频结尾有殴打证明和伤情,大娘被欺凌,扒光上衣。
日本一城市推出熊肉自动售货机，将捕猎到的野生黑熊屠宰后进行售卖购买者络绎不绝，却没人在乎，黑熊已经濒危了: 一城市推出熊肉自动售货机,购买者络绎不绝,黑熊濒危。
这是哈利波特北京分特吧: 哈利波特北京分特
看肇事司机表情就知道存在侥幸心理: 肇事司机表情透露侥幸心理
北极鲶鱼炫富是其次，关键是言论太恶劣了，冒犯了全部国人，必须严惩。: 严惩极极鲶鱼炫富言论
希望北极鲶鱼的事情能给百姓们一个交代吧我们真的很爱这个国家，真的看不了这种蛀虫。: 北极鲶鱼蛀虫事件给百姓交代,爱这个国家。
男孩立遗产留在爷爷奶奶被认定无效 江苏南通最近发生了一件耸人听闻的新闻，30岁的男孩小李因幼年时父亲不幸离世，所以男孩被生物学母亲抛弃，生物学母亲另寻新欢，将小男孩抛弃，生物学母亲将男孩扔给了男方的爷爷奶奶，小男孩由男方的爷爷奶奶抚养长大。前几年，男孩被确诊了癌症，男孩为了让失去儿子和失去孙子的爷爷奶奶能安享晚年，所以男孩立下遗嘱将遗产留给爷爷奶奶，度过了悲惨的一生的男孩希望同样度过悲惨一生的爷爷奶奶可以好好活着。不料，男孩离世以后，抛弃了男孩几十年的生物学母亲带着新欢突然出现，要求抢夺男孩留给爷爷奶奶的遗产，而这一诉求竟然获得了法院的支持。法院判定男孩亲笔签名的遗嘱为无效。因父亲不幸而离世而抛弃男孩几十年并且另寻新欢的生物学母亲为第一法定继承人 并且可以取得男孩的遗产 为让儿子能结婚散尽家财，最后家破人亡，抚养几十年的儿子和孙子不幸离世的可怜爷爷奶奶可以适当分得男孩的遗产 生物学母亲是取得遗产 （分大部分）爷爷奶奶是适当分得遗产 （分小部分）希望男孩的爷爷奶奶可以好好活着。: 男孩因父亲离世被抛弃,生物学母亲为继承男孩的遗产,男孩立遗嘱将遗产留给爷爷奶奶,法院判定男孩亲笔签名的遗嘱为无效。
小孩子不懂事，妇联也不懂事这纯粹是人家家里的事情，如果不是非常缺钱，以至于到如此窘迫的地步，谁会带小孩卖头发当地妇联要不掏钱给这家资助点家家都有难念的经，不好评价: 妇联缺钱致贫困,卖头发资助点难念。
网友们最担心的事可能真的要发生了，北极鲶鱼事件也许真的会不了了之！自深圳交通局3月24日发布通报至今已经10天，我们依然没有等到深圳交通运输局的调查结果！而且有细心的网友发现，深圳交通局官网还屏蔽了评论功能！许可馨当年就说过网络三天的热度，过几天这件事情就被大家遗忘了，不管你做了什么说了什么都没什么事的。这几天张继科、孙国友的事件热度盖过了九位数事件！也许我们再也等不来事情的通报结果，也许等来的只是一个无伤大雅的借口！互联网没有后续，但不代表国人没有记忆。老百姓围着看，看半天没个结果，只能散了走了。人散了，心也就散了！: 深圳交通局官网屏蔽评论功能,北极鲶鱼事件或将不了了之。
成立至今，粉丝捐款已达到547万: 粉丝已捐款547万
还自以为是摸金校尉 湖州德清县的刘某是《盗墓笔记》《鬼吹灯》的狂热粉丝，他偶然发现了一个长满杂草的老墓。一看到很硬的土和青砖，就认为这是一个宋代老墓，自行挖掘挖不动，呼叫了三个朋友，其中一个专程坐飞机从外省赶来，摸金四人组便成立了。3月29日21时许，四人带着锄头、镐头等工具挖了两小时，挖出了长约1米，宽、深约50厘米的坑，却并没挖到什么东西。次日凌晨1点多，他们收工回家，刚进小区便被警方抓获。原来，刘某等人挖坟掘墓的行为早已被警方掌握。经审查，四人对破坏坟墓的行为供认不讳。经德清县文物部门专家鉴定，四人挖掘的只是一座普通的老坟。根据《治安管理处罚法》，该摸金四人组已被处以行政拘留的处罚。（来源德清公安）: 湖州德清县四人挖掘宋代老墓,被拘留。
并被评价长的不漂亮 近日，安徽合肥。女子因婚前按揭买房，被男朋友与男朋友妈妈嫌弃，聊天记录发出后引发网友热议。据了解，男方妈妈在和女生聊天时表示，你的工作我们根本就不感冒，因为你确实不漂亮。男朋友没有嫁妆给，一分钱也没有，还欠了100万。女子称从来没有想过女生婚前按揭买房会遭受非议，会有家庭认为婚前买房的女生没有男孩子愿意，一个独立、奋斗的女性在别人眼里一文不值。本人股份制银行客户经理，本科98年月入1万，家庭2套房但有弟弟，按揭房首付为工作收入加上父母支持。: 女子因婚前按揭买房遭男友和男友妈妈嫌弃,聊天记录引发网友热议。
日前，上海。90后女生冰冰（化名）因为在三八妇女节休假半天，被单位记旷工，并最终被炒鱿鱼。此后，冰冰的老东家将她告上了法院，请求判令公司解约合法，无需支付给冰冰赔偿金。近日，法院对此案作出了一审判决，根据相关规定认定妇女节（3月8日），妇女放假半天。故冰冰在妇女节当天提前请假离开公司的行为，记旷工，有所不当，公司解约违法，判令其赔偿冰冰18万余元。: 女孩因三八妇女节被记旷工,公司被判赔18万余元。法院认定解约合法,无需支付赔偿。
人家孩子们跟清华签约，惹出破口大骂。孩子们不跟你签约，是正确选择。李璇9: 清华学生与清华签约遭破口大骂
4月2日，安徽，女子开车回家半路被男孩拦截，以为是碰瓷儿的，结果男孩大方地承认自己是为了听声浪，不大的眼睛里充满了坚定还有杀气。网友这孩子，是个见过世面的社交牛人。: 男孩拦截女子,承认是为了听声浪。
中国和美国都是学历社会，学历在社会中占据了异常重要的作用。但一样都是学历社会，本质上还是非常不同的。简单来说就是美国的名校比中国的名校要好。这个好不是说你单打独斗时候，学历更过硬，给你加分镀金来的好。而是校友关系和资源方面的好。因为老外名校生更喜欢抱团。老外的抱团不是以个人形式，不是说你们班有个热心老大哥人很好家里也有钱所以能把同学们都团结好，别的班如果没有这么个老大哥大家就都四散开来的。老外的抱团是以学校官方出面组织的，或者说学校官方不会亲自组织，但是会由校园内的各类社团组织发展壮大，蔓延到全社会多年。比如骷髅会这种经常被阴谋论拿出来说的组织，其实起源于大学校园，本质上就是大学社团。国内的大学社团基本都是小孩子过家家，绝对不存在说会出现骷髅会这种大组织。所以你看老外的大学生，最大的感觉就是他们发自内心的荣耀和自豪感，以及无比的团结。如果你没这种感觉，就看两遍哈利波特，看看格里芬多和斯莱特林的学生是怎么抱团的，然后想想自己的高中和大学生涯，有没有经历过这种团结一致的氛围。可以说绝大部分中国人是没有的。不仅没有，绝大部分大学生在学校里的学习状态和生活状态，都是很糟糕的。导师和学生是地主和长工的关系。辅导员和学生是猪圈看守员和养猪的关系。行政楼领导和学生是古代官僚和刁民的关系。什么样的关系都有，唯独你看不到母校二字。大学时候我对此非常不理解，现实情况如此的糟糕，一边又营造各种自豪荣耀的虚伪氛围让你自我感动，实际上对你毕业后一丁点助力都没有。这种情况怎么自处？一直到我看了一句话母校从未拿自己当过母亲，从未尽过母亲的责任，你一个学生上赶着给人当儿子闺女，不是犯贱么？到了这里，令人恍然大悟，茅塞顿开。从此互相不干扰，彼此清净最好。: 学历社会占据重要地位,但大部分大学生缺乏团结和团结,校内外关系严重。大学社团起源于校园,校友关系深厚。
据第一帮帮团@第一帮帮团，一位来自福州的老人被女儿起诉。1998年，老雷年以十万元的价格，将自己单位分配的退休房卖给了女儿，这十万元中，有六万元是儿子向女儿的借款，于是老雷以女儿没付清房款为由，拒绝给房子办理过户手续。十年后，老雷将这套房子送了给儿子，儿子又把房子抵押给银行，女儿没有拿到房子所以起诉。据了解，老雷一共有两套房子，一套给了儿子，里面家具都是女儿买的。这一套退休房卖给女儿，也是为了替儿子还给女儿的欠债，该房子拆迁时的增补款也是女儿支付。法院判决父亲与儿子应共同赔给女儿五百余万元，目前该老人的房子与退休金均被冻结。第一帮帮团: 第一帮帮团女儿起诉老雷,法院判决父亲与儿子共同赔偿五百余万元。
