若到江南赶上春嘉兴乌镇西栅: 江南美景,赶上春嘉兴
看到这个话题时，我回忆了一下，好像最早说是蝙蝠，后来说是美国人造的，现在说来自人类。综合一下答案已经呼之欲出，犯人是布鲁斯韦恩。: 布鲁斯韦恩是美国人造的?
广东交警@广东交警广东公安@广东公安危险驾驶，涉嫌危害公共安全，可以处理了，图片证据由该人自己提供。: 广东交警涉嫌危害公共安全,可处理。图片由该人自己提供。
父母离婚后，孩子哭喊着让妈妈看监控，看到孩奶奶对孩子动手时，妈妈心如刀绞，妈妈看一次哭一次，快崩溃了: 孩子哭闹让妈妈看监控,妈妈崩溃
生活本来就乏味又无趣，有你，无趣也是极好的，近日山东烟台，一名独臂大哥推着二八大大杠，驮着木箱子卖雪糕，网友大哥把生意做成了别人的回忆！: 烟台独臂大哥卖雪糕
谁把我黄瀛子打成这小狗样了，全体瀛妈集合，今天中午炸掉学校[微笑]: 黄瀛子被打成小狗,瀛妈炸掉学校
4月6日，郑州在中原西路（长椿路西四环段）投放大量异色瓢虫用于生态廊道害虫生物防治。据了解，异色瓢虫作为蚜虫的天敌，每只异色瓢虫从幼虫时期就开始捕食蚜虫，一生可捕食蚜虫一万余只。: 郑州投放大量异色瓢虫防治蚜虫。
台湾小姐姐从大陆带回台湾的奇怪习惯！: 台湾小姐姐从大陆带回台湾的奇怪习惯。
今天下午，国务院新闻办公室举行新闻发布会，国家疾控局副局长、中国疾控中心主任沈洪兵和有关专家介绍我国新冠溯源研究情况，并答记者问。关注！央视新闻: 国家疾控局副局长、中国疾控中心主任沈洪兵介绍我国新冠溯源研究情况,并答记者问。
之前我说我工作第四年月薪6000多，年薪到手8万2澳币，真的不是优越感，只是想说在澳洲当护士不用努力上班也能过上不错的生活。我有一个护士朋友的朋友超上进，她每个月税后工资能有8千6澳币(每周工作42小时。还有关于假期，我们大概是每个月能请一次8个小时的病假，没用掉的话病假可以攒着。比如我现在就攒了90多个小时了，还是因为去年开始一边上班一边读研究生压力很大才开始请病假。刚工作的头几年我几乎没请过假，因为上班真的没啥压力。我的白人同事们都很震惊，他们很多人都是攒够8小时不管有没有病都请掉[笑]除了病假，我们每年有5周的年假，可以一口气休，也可以分着休完。但是要提早半年和科室经理申请。我之前因为回不了国，已经攒了400多个小时的年假了。前两年还收到医院的邮件提醒我年假累积过多，说员工为了自己的健康要定期休年假，以确保得到足够的休息。还给了我一个年假计划表，让我尽快联系经理讨论怎么休假，不然他们就要强制让我休年假了。我那时候写了一封超长的邮件回说求求了不要让我休假，你们现在让我休假我哪儿都去不了也回不了国，我每周才工作三四天我觉得我的休息足够了！但是说实话，在澳洲当护士可以做四休三并且工资不错只是最表面层次的好，还有一些更深层的。1在澳洲当护士的灵活度很高。跳槽很常见。有的护士喜欢在不同医院上班(每周每个医院上个一两天，可以少交很多税)。有的护士喜欢在同一家医院不同科室上班，自己给自己排班。我有两年就是这样，当时没有特别喜欢的科室，就选了我们医院的10个科室随机去，每周二四六天上班，而且我给自己安排的全是下午班，不用上夜班。是的每周只上一两天班也行。我以前有同事就是只有周末两天上下午班，因为她家住很远很远的农场，她平时养牛啥的。我记得有段时间她家母牛快要生了，每次休息她都在用监控给我们看她的牛。2发展的可能性多。喜欢临床的可以在医院，每个科室都很不同。喜欢做科研的可以读完研究生加入的团队在办公室里工作。可以去诊所做专门给人抽血打针的护士。或者当社区护士也行，每天开着车去病人家里给他们打针换药。我有朋友也是毕业第四年，就做这个工作，上班沿着海岸线开车去病人家，一路风景优美得就像是。工资很高，时薪52刀还没有夜班。我大学的精神科实习就是去社区。精神科医生护士带着我开车去病人家和他们聊天，评估他们的精神状态。还陪病人去商场购物，我家小黑猫就是7年前那次实习陪抑郁病人去商场时碰见的哈哈哈。翻了一下我的朋友圈，那次实习真的超级开心。不过社区精神科护士对资历要求蛮高的，而且当时带我的护士们说有的时候他们去病人家里会发现病人已经自杀我就不敢往这个方向发展了。还有护理本科毕业的注册护士在医院里可能只能当普通，但是去养老院可以当，工资很高。我有同事就是平时在上班，偶尔去养老院当。还能去学校里当护士，小学初中高中大学都能申请。以上就是比较常见的，还有别的我一时想不起来了，欢迎同在澳洲当护士的朋友们补充！3对女性特别友好。面试的时候不在乎你的性别，年龄，婚育状态等等。产假很长，具体多长我也不清楚，但是我身边好多女同事都是休产假休了整整一年，甚至有的休到宝宝上幼儿园。不用担心被炒鱿鱼，想回来上班就回。有的护士刚修完产假回来上班都是每周只上一两天，周一到周五在家带孩子，周末把孩子给伴侣带，自己来上个班。还有孩子上幼儿园小学的护士就很喜欢工作日的白班，早上伴侣送孩子去上学，护士下午三点半下班正好去接孩子放学。上班陪伴孩子两不误。4工作生活分得很开。下了班工作就与我无关，不会有领导给你打电话！下班就是下班了，不用把工作带回家。5不用社交。工作氛围好。人友好！！我个人工作快五年没有感受过所谓职场，没有上下级权力压制的感觉，不用讨好任何人。我刚工作的时候，放假回国我妈还问我要不要买些礼物送给科室经理和护士长[笑]真的很难和她解释澳洲这边的医院和国内不太一样，不用搞好关系。而且平时请全科室喝咖啡、吃东西之类的都是专家级别的大佬才会做。6心理压力小。因为澳洲这边只要有永居证就能享受医保，在生老病死前不用谈钱真的能让医护心理压力小很多，只要专注病人和病情就行。我以前收到过一些国内网友私信说家里人生病了住不起，或者因为没钱不能治病，我相信不仅是病人和家属绝望无助，医护遇到这样的想帮却帮不了的情况也会特别难过无力。我前几周有一个偏远地区的病人，就是很普通的病人，腹主动脉瘤破裂，当地医院治不了，是用医疗直升机送来我们医院做紧急手术的。病人不用出钱。之前我在微博也提到过一个柬埔寨的病人，旅游签证来墨尔本探望女儿，突然瘫痪，没有医保的情况下在我们住了四个月。目前我们还有一个巴基斯坦的病人，算是难民身份，已经病得不行了还不肯来看病因为怕要花钱，然后在急诊被抢救插管送来，也已经住了三个月了，社工正在积极地帮他在巴基斯坦的家人办理签证来看望他。我知道很多人觉得澳洲看病困难，但其实是因为和国内医疗体系不同。其实只要去急诊，真正的急症重症能很快就接受到治疗的，而且一旦住院就会发现澳洲这边真的重视人文关怀。对了有人说我不爱国，不留在国内，要去国外当护士照顾外国人。笑死！1国外也有中国人。澳洲是多种族多文化的移民国家，有来自不同国家的医生、护士、病人。遇到中国病人的话就是在异国他乡照顾同胞啦！2国内也有可能照顾到像你这样的杠精。对于我来说爱国是身份认同，是我从出国到现在都会很自豪自己是中国人。我会说我爱中国，但是我不会说我爱澳洲。但是同时我也知道我自己并不优秀，不属于国内稀缺的人才，而且抗压能力很差，所以才需要来一个压力小生活节奏慢的地方生活。有的时候被外国人问为啥出国，我的答案永远都是国内同龄人太优秀了我竞争不过压力太大，只好来澳洲。而且我是真心很敬佩国内的医护，觉得他们经验更丰富，临床技术更强，但是他们付出的代价真的太大了。最后附上一些我享受工作以及我真的不恨国的证据: 澳洲护士的灵活度,每周只上班2天。
开始一看，以为是北体大，北大，仔细一看，是杭师大。贵校一定只要奥运冠军、世界冠军吗？像乒乓球、跳水、羽毛球、举重、射击等项目的全运会冠军都不行吗？要知道，有些项目的全运会冠军比奥运冠军更具含金量。: 伦敦奥运冠军是杭州师大,但全运会冠军更有含金量。
18岁少年被执行枪决，9年后真凶离奇出现，法院对不起判错了，赔你205万！: 少年被枪决,9年后真凶现身
店员地毯清理费 据白鹿视频@白鹿视频报道4月7日，广东珠海。一网友发文称自己带娃在某餐馆用餐时，孩子不小心将果汁洒到地上，服务员要求赔付300元清理费，质疑收费的合理性。有网友表示餐馆收取地毯清理费理所应当，也有网友表示这个要求太无理，怕地毯脏，可以不铺地毯。该餐馆工作人员回应称，如果是正常损耗是没关系的，但地毯是整块的，弄脏后需要请专业的人清洗，所以会让顾客赔偿一定的清理费。白鹿视频: 餐馆收取地毯清理费引争议
是绝大多数骑手的工资万属于非常辛苦的骑手1万元以上，是地狱模式的骑手（特殊地段，旺季的一两个月除外）: 骑手工资万元属地狱模式
来稿选登顽固教派的宗教警察又来搅和东北回族评论区了。东北的回族大多数都族教分离了，只是保留部分饮食禁忌，很少搞宗教活动，回汉通婚这边也没人反对。: 宗教警察搅和东北回族评论区
李医生，清明刚过，马上就是谷雨，然后就立夏啦。又一年的夏天要来了: 医生提醒:夏天即将到来
乐乐的朋友们期待作为媒体言而无信，一点真实性都没有丢人，请问你们的脸在哪里？: 乐乐网期待报道真实性
从国企辞职也是需要勇气和远见的呀很多人想法很多就是缺乏勇气，也许真的跳出来另有一番作为很羡慕这样的小夫妻，从零开始的创业以后肯定会越来越好浅忆陌离: 国企辞职需要勇气,创业前景广阔。
禁了电动三轮车，老百姓买人力三轮车上路。这是时代的进步吗？近日，有网友拍到，河南某地4月1日开始禁止三轮车通行后，老百姓出行方式一夜回到解放前，大街上有人拉着架子车上路了。真的是既心酸又讽刺！！！政府禁止电动三轮车，四轮车，目的是为了城市环境变得更好，但是领导们是不是也该考虑下老百姓的收入？毕竟他们还达不到你们的生活标准，也不是人人都买得起汽车。这种一刀切的政策，是真的为老百姓好吗？老百姓出行方不方便，领导们考虑过没有？学生上学都坐电动两轮车安全不安全，领导们考虑过没有？城市的通行效率变低，领导们考虑过没有？后续架子车和人力三轮车如果满街都是，会不会继续被禁？: 禁止电动三轮车,老百姓买人力三轮车上路,是时代的进步吗?领导考虑过没有?
5559老公们能不能同情我一下[兔子]: 呼吁同情老公
相关话题下，通过同质化手段恶意营销炒作，破坏网络生态秩序。对此，站方予以严肃处置。依据《微博社区公约》等相关规定，站方共清理104条相关同质化违规内容，并对@、蜀國小帥@蜀國小帥、今天吃饱饱没啊@今天吃饱饱没啊等5个违规用户予以禁言15天至30天处置。后续，站方将加大人工巡检力度，持续深入排查此类同质化违规内容。同时，呼吁广大网友提高警惕、加强辨识，与站方一道维护良好网络秩序。如发现相关违规内容，可通过前台投诉入口或微博管理员@微博管理员的方式进行举报，站方将及时予以处置。: 站方清理104条同质化违规内容,对5个违规用户禁言15天至30天处置。呼吁加强辨识并维护网络秩序。
瓜农刺死城管哥哥成立共犯吗？刺死城管的弟弟王爱武患有精神分裂症，刑事裁定，已对王爱武中止审理。现在的关键是哥哥是从犯还是正当防卫？笔者认为哥哥应是无罪当时城管来了三车人，15个人殴打他们三个，场面混乱时间紧急，哥哥与弟弟完全不具备同谋故意杀人的时间，哥哥王爱文也不具备阻止弟弟拿刀杀人的条件。因此公诉方认为哥哥为故意杀人共犯站不住脚，共同在场共犯，支持辩护律师无罪的辩护意见。: 瓜农刺死城管哥哥成立共犯吗?公诉方认为哥哥为故意杀人共犯已中止审理。
翟欣欣利用自身优势，从第一任丈夫那里拿了20万和一辆大众，从第二任丈夫那里分到750万和一台宝马，从第三任丈夫那里要了一套别墅，从第四任丈夫那里拿了600多万现金和300多万的欠条，第四任丈夫不堪重负选择轻生才让翟欣欣曝光。这才是高智商，既能满足自己内心，又能满足自己身心，把现实版潘金莲演绎的淋漓尽致，有过之而无不及。这也要感谢她父母，能培养出这样的旷世奇才。: 翟欣欣演绎现实版潘金莲,培养出旷世奇才。
旧金山没有不死的传奇。。。这大米国啊，我看是药丸。机械战警是迟早要出现了。: 金山机械战警即将出现
现在能看到的有关陈婷生前最后的信息，来自她跳崖的几分钟前发的朋友圈，她拍了照片，配文是你好世界，再见。: 陈婷生前最后信息曝光
吴永宁从263米高楼坠亡，并未直接跌落地面，在一处平台活活痛死亮眼: 吴永宁263米高楼坠亡
清华大学专门研究社保问题的教授杨燕绥近日提出职工捐献15年退休金的建议不是延迟退休年龄，是延迟领取退休金。50岁退休，65岁再领取退休金。: 教授建议捐献15年退休金
前有美国总统下令撞断华盛顿全国总电线救麻雀，今有美国警察封锁纽约全国总高速救一只流浪猫。美国，人类的灯塔！: 美国警察封锁纽约全国总高速救流浪猫。
不好意思，我现在没有时间发微博因为我的朋友们准备去顿巴斯。我要好好努力帮助他们。: 努力帮助帮助的朋友
乌克兰首都基辅，昨天乌当局攻击东正教教堂期间，卡加雷克市副市长伊万塞姆佐夫从神父手中夺过十字架并扔在地上，此后他突然感到身体不适，经抢救无效死亡。沙姆雄狮: 乌克兰副市长因攻击东正教教堂死亡
这么讨厌中国，说只拿人（图二）却还要当主旋律活动的主持人（图三），这么讨厌中国的大学（图四），这么讨厌山东（图五）却还要来山东上大学（图六），这是谁的学生啊，快来领走山东省教育厅@山东省教育厅山东网警巡查执法@山东网警巡查执法，对了，福建方面出这种败类也挺令人遗憾的福建网警巡查执法@福建网警巡查执法。看图三可能是山东大学@山东大学的学生，至少是山大办的活动指路在此: 讨厌中国,山东网警巡查执法。
搜了一下这张著名的谄媚照片出处。真人从镇书记做起，一直做到县委书记，区委书记，21年刚被提拔为副市长。从科级一路干到实权副厅。关键他的升迁不是靠拍马屁，而是确实有能力有政绩，为官时候当地的百姓人民对他都是好评居多，人人夸赞，网上还能搜到他开会以及答记者会的发言，思维非常敏捷，说话非常有水平。很多人骂他谄媚，奴下奴，谄上傲下。但看他真实的成绩和发言，会有一种大跌眼镜，刮目相看的感觉。原来并不是小人，反而是很有能力的人。这个照片和相关的网络讥讽，以及跟现实的对比，让我想起某个著名的问题因为别人的对领导无底线的谄媚因此步步高升，不由得产生一种绝望和愤懑，请问我该怎么办？我感觉很多人可能认知完全紊乱。看到别人升迁，就认为全靠谄媚。自己不能升迁，不是因为能力强，而是能力很强，只是不屑谄媚而已。总之天下所有人都是油腻恶臭的，只有他一个人是格外的芬芳。不是因为他废物没能力啥也不会，只是因为不屑。哪天屑了，分分钟干个市委书记或者500强: 谄媚照片引争议,认为其有能力有政绩,却被人嘲讽。
很多成绩不好的学生，都会拿国内这十大网红分别赚了多少钱举例第10名唐艺（大专）30亿第9名雨神（高中）50亿第8名娜美（中专）50亿第7名惠子（高中）50亿第6名胜仔（小学）90亿第5名辛巴（中专）17亿第4名利哥（初中）20亿第3名李子柒（小学）22亿第2名许华升（小学）37亿第1名微娅（高中）57亿但想告诉你的事实是有14亿的分母在做衬托，千万不要拿幸存者偏差来说事。好好读书，争取考个更好的学校，理论上生活不会太差。: 盘点国内十大网红,赚了多少钱,千万不要拿幸存者偏差来说事。
这算是造军队黄谣了吧？哦，开个玩笑而已。: 造军队黄谣?玩笑而已。
反正工资高、工资低都得受苦，那就让我替您受这份高工资的苦吧！: 替你受高工资苦
这位母亲的一生令人心疼麻绳专挑细处断，厄运专找苦命人: 母爱麻绳,厄运专找苦命人
肉夹馍店贴雇托排队可耻被指讽刺同行。: 夹馍店贴排队可耻被指讽刺同行
这句话是冷嘲热讽吗？这难道不是自嘲中粉听不懂泰语吗？为什么我发在微博的每一个字都需要解释？一群05后的智障儿童到底能不能多读点书？: 质疑微博解释,智障儿童期待多读点书。
警方涉事男子将面临刑事拘留 据华商报@华商报报道最近两年，西安龙湖雁塔天宸小区的业主一直为小区内轰趴馆扰民的问题困扰。业主们说，小区是别墅区，本来不允许外人随便出入，但经常有人出入轰趴馆，喝酒唱歌到凌晨、还有人开别家业主的院门观察、趴窗户看4月7日，业主在小区内拉横幅抗议，结果被轰趴馆的员工剪掉，还闹到了派出所。4月8日，十余名业主上门找经营方协商，没想到一位店员情绪激动要点煤气罐，威胁业主们离开。业主刘先生见对方打开煤气罐要用打火机点燃，立即推倒煤气罐，同时立即和另外几名业主将小伙控制住，直到民警赶到。4月8日下午6时许，华商报记者来到雁塔天宸小区，事发的轰趴馆已经关门，不少在场业主回忆起当场情形仍心有余悸。根据网上搜索，雁塔天宸小区内确实有别墅轰趴会所，但根据业主拍到的该会所的营业执照显示，该企业是一个文化传播有限公司。业主刘先生表示，不管警方处理结果如何，业主都会起诉涉事人员和企业威胁业主安全。4月8日晚，华商报记者从雁塔警方了解到，涉事男子因以危险方法危害公共安全将面临刑事拘留。华商报: 涉事男子将面临刑事拘留,在西安龙湖雁塔天宸小区居住。
外卖小哥月入过万真的很容易吗: 月入过万真的很容易吗?
三亚三亚崖州湾科技城: 三亚崖州湾科技城
现在上海垃圾分类执行到哪个阶段了？: 上海垃圾分类执行到哪个阶段?
被告孙亚锡昨天当庭介绍了牙刷的新用法，两指夹住牙刷，用不干胶带缠死，讯问者转动牙刷，边转边问说不说、说不说无论你一般人，二般人，还是四五六七般。没一个能挺住，在场人大代表政协委员无不震惊。河北长安网@河北长安网河北高院@河北高院河北检察@河北检察邢台长安网@邢台长安网邢台中院@邢台中院邢台检察@邢台检察: 孙亚锡介绍牙刷新用法,代表委员震惊。
法国人来跟我国谈判合作，他们的考虑一定不是被迫干什么什么，或者出卖法国的利益，这一点必须要明确，法国人从来不干亏本生意，中国人也是，两家脾气一样，法国最大的战略是恢复其全球影响力，因为大的背景是美国不行了，如果跟着美国的思路走，那么法国存在的唯一的意义就是给美国输血，但是法国人肯定不会走这个路，那么最佳战略决策就是拉上中国，一起搞海外殖民地，这个战略有至少5个好处1、中国人有钱，他的钱需要外溢，让中国人搞搞殖民地经济，中国人肯定愿意2、殖民地搞好了，最大的受益人还是法国，因为法国有实际所有权，中国人也不会去碰这个，中国人要的东西是商品与存在感3、殖民地搞好，法国就能复活，马上从欧洲崛起，凭什么不搞4、重新拿回在世界的话语权，资本主义国家要发达没有殖民地的支持根本不可能，典型的比如英国，实质性得到了印度与美国的好处，法国有什么5、互利互惠顺便踩了英美，因为美国其实海外殖民地最多，英国其次，法国老三，法国把殖民地搞一搞，商品和免费劳动力又有了，影响力一定上所以法国人如果真的想明白了，一定会拉上中国干殖民地，坏名声法国抗，中国人出钱出技术，大家55开分好处，中国人得了名声，法国人保留控制权，马上非洲也会这个搞法，超级大国没有血包根本不可能，我国跟法国合作好处很多，双方可以互补，且都有自己想要的东西关于殖民地这个问题我应该是整个微博最早谈这个时期的，中国的崛起的本质其实是殖民地解放运动，这个概念是很古老的概念，毛时代就有了，但是改革开放没人提了，现在中国强大，这个运动就要搞起来，但是不是暴力解放，是建设发展和平解放，殖民地的从属关系不会改变，但是中国人也去投资兴业，顺便驻军，一种新的全球治理模式，大家各得其所一战二战后，整个世界强权国家实际上进行了4个最顶级的表演第一个是殖民地解放运动第二个是所谓基于契约精神的市场经济第三个是所谓民主运动第四个是所谓现代货币改革如果还要加一个，那就是索罗斯总结的，开放世界运动，开放世界运动把这四个东西串起来了所以其实这个世界根本没有发生任何变化，地球只有一个，关键是谁控制多少地盘，互相之间怎么博弈严格的说，中国人其实也有自己的殖民地，跟欧美列强的殖民地模式不一样的地方在于，中国的殖民地的当地人精神状态都很不好: 中国与法国谈判合作,将拉上中国殖民地战略。
3200倡导富强、民主、文明、和谐，倡导自由、平等、公正、法治，倡导爱国、敬业、诚信、友善，积极培育和践行社会主义核心价值观，弘扬爱国主义精神，必须坚持立足民族又面向世界。: 倡导富强、民主、平等、公正、法治,弘扬爱国主义精神。
4月6日，安徽蚌埠。男子反映手机不欠费却被突然停机，网上办理被拒绝，要求必须去移动营业厅办理才能开通。而男子的父亲去世，家里离不开人也离不开手机。无奈只能去营业厅，原来是要求去签一个电诈法律责任风险提示告知书。网友不去停诈骗电话，停正常客户谁给虚拟号码提供的呼叫拨号功能？: 男子手机欠费被停机,要求办理营业厅才能开通。
过路男子热心相救[中国赞] 4月8日，江西抚州。一6岁男孩不慎把8个月大的妹妹掉进水沟，男子热心相救。当事人朱先生称，自己起初还以为是个洋娃娃，捞上来才发现是个女婴。给她擦干身体后送到了村卫生室救治，目前没有大碍。俩孩子的父母在家睡觉，哥哥推着妹妹想去外婆家，才发生了意外，同时也提醒家长一定要看护好孩子。: 男子热心相救6岁妹妹
一个可以月入九千，一个也有四五千，我觉得谈不上穷困潦倒。大部分人收入还没这么高。: 月入九千不如穷困潦倒
为何如此肯定？干嘛要帮美帝开脱？之前不是一直认为是德堡实验室出来的吗？: 肯定美帝是实验室出来的?
近日，浙江东阳。外卖员把蛋糕送撒了，顾客投诉退款后把蛋糕吃了，外卖员认为投诉后平台扣的是他的钱，要求女子退蛋糕: 外卖员违规送蛋糕,要求女子退款。
刚出席了香港青少年軍的升旗仪式，同学们在假期中一大早起来参与仪式，而升旗队的同学们努力学习中式步操，今早表现出色。同学们加油！: 香港升旗队学习中式步操,同学们加油!
同乡会为什么不给他送回美国去，美国不是他朝思暮想的家乡吗？养老院的钱能不能让把他带回来的同乡会来出？: 美国养老院是否愿意送回同乡会?
看完了视频，我觉得这个话题本身就有问题吧。事情不是说明码标价30元一人，老板故意要一人加价5元吗？这应该不是还价，而是老板故意加价吧。哎，女孩和妈妈真的好可怜，遇到了这样的人。: 女孩和妈妈遭老板故意加价
干脆别读书了。不读大学最自由。: 读书自由,不读大学自由。
四个青年跳崖自杀那个事疑点太多了，根本不是因为贫穷而对生活绝望这么简单的理由能概括的。根据调查，其实有人的打工收入甚至比微博上大多数人都要高，家里可能确实有情况但也没到多么走投无路的地步，真谈不上有多贫穷多绝望。再加上那奇怪的免责声明，跳崖前口服无色透明连抢救都来不及的剧毒，通过微信群联络相约，无论如何也不像普通农村贫困青年能做出来的操作。媒体简单地归因生活贫困是极不负责的行为。甚至我认为媒体就不应该这样大张旗鼓的报道: 青年跳崖事件疑点多,媒体报道不负责。
陕北首家华为智能生活馆—华为智能活馆延安凤凰广场店盛大开业。一站式终端科技体验门店消服一体，延安科技打卡圣地。宝塔区中心街凤凰广场区等你来。: 华为智能生活馆延安店开业,一站式终端体验门店消服一体,打卡圣地延安。
拐骗儿童就判5年，还不如掏个鸟窝判的重吗？拐走孙卓和福建涛的人贩子吴某龙就将触庭受审。然而检方的建议刑期竟然持有5年。寻子14年的孙海洋，对此实在是无法接受，他还以为人贩肯定会被判死刑。之所以建议量刑5年，其实是因为根据刑法的规定，拐骗儿童的量刑最高也就是5年。只有拐卖儿童而且情节特别严重的，才有可能被判无期或者死刑。而在本案当中却很难找到有买卖行为的证据。但是就像孙海洋说的，无论是拐卖还是拐骗，他对社会和家庭的危害是相同的。而现行法律的量刑更被许多人认为偏清了。河南大学生掏鸟窝一审被判了10年，广东的王鹏饲养贩卖鹦鹉，一审判了5年。这虽然罪名与罪名之间无法横向比较，导致数个家庭妻离子散的人贩子，却也只能够判5年，实在是让人意难平。: 拐卖儿童判5年,不如掏鸟窝判重?
孙海洋判决不如意会一直上诉。两个人渣一定让他们付出代价: 孙海洋和王海洋上诉不力
错换人生28年再审被驳回。: 错换人生28年再审被驳回
投稿男生因在宿舍阳台晾衣服，被指偷拍并被挂在校园墙: 男生在宿舍阳台晾衣服被指偷拍挂墙
希望有效监督，持续关注，早日把美香一家接回来！: 持续关注,早日接回美香一家
乘坐高铁返长沙。去年11月回扬州陪父母，期间短暂回长沙十天左右，倏忽间一晃在扬州快半年了。近日哥哥从丹麦回国接替我陪伴照顾尚未完全恢复的父亲，我回长沙休整。虽然甲流仍在流行，但经历了三年极限新冠疫情防控及其大爆发的人们似乎并不太在乎，火车上大多数人未戴口罩。生活，正在以人们生存为大的不可抗力冲破貌似威力无边的权力的控制回归正常。闲来无事，看了会儿网络时政信息。国家体育局反腐会议，逐一点名通报落马人员，看相关报道只有一句话提到体制机制问题，其他长篇大段都是官话套话。没有干货。政治正确和权力意志如果能够决定竞技体育水平高低比赛胜负，中国三大球早就冠绝全球。回避人尽皆知的核心问题，唱些不着调的老调，如此下去基本上可以断定一切都会继续，无非是换几个人在台上，换几个人进去，再换几个人上来，循环往复，一代接着一代烂下去。梅姐在社交媒体发文宣称乌克兰将消失，因为没有人需要它，并且列举了欧美以及非洲、亚洲甚至乌克兰公民都不需要乌克兰的理由。自然更不必说做着帝俄梦的俄罗斯那个人及其治下稀里糊涂的臣民了。赶脚这哥们儿（姐们儿？）大概伏特加又喝高了。活在自己编织的梦中的那个人及其周围的说什么离谱荒唐的话都不奇怪，荒唐的是这帮人在这个历史上饱受外敌侵略的国家居然拥有数量惊人的支持者。俄罗斯的铁杆亚美尼亚和塞尔维亚宣布参加北约军演。眼看着破船正在下沉，船上的人纷纷跳海，我们伟大祖国还有人哭着喊着要往上爬。马克龙访华签大单。那位玩着抖音能把美国逼回农业国的胡编和那位脸被打得啪啪山响余音仍然在宇宙间回荡的金国师又有话说。张某某掩护北极鲶鱼顺利出逃。有文章追踪张家界发生的人间悲剧，看了泪目管他娘的国事天下事，用长沙塑料普通话说，咯半年我是累醉了，不想继续沉重，暂且闭眼休息。扬州再见长沙见！: 环球时报:俄罗斯治下稀里糊涂的臣民,在体制机制上存在巨大风险。
在意大利联合国部门的中国员工小玖 昨晚见到了一个国际公务员小玖，她在意大利的联合国粮农组织工作，他们的工作的目标是消灭贫困，消灭饥饿、世界和平。她19岁去了美国读书，之后到了瑞士的日内瓦世界贸易组织实习，最后到了罗马的联合国粮农组织工作。在她那里，我才了解到，在联合国里工作是不能有政治倾向的（至少不能表达出任何政治立场），他们有一个道德办公室，专门处理这种问题。意大利罗马: 中国员工在意大利联合国粮农组织工作,目标是消灭贫困、消灭饥饿、世界和平。
河北大学对于昨天发生在自己身上的事有一些感触，胸无点墨，文不达情，更无意讽刺。发到这里想提醒一下大家一定看管好个人财物，不要让某些不法分子钻了空子。（尤其是在未来石万达门口）: 大学提醒注意个人财物,避免不法分子钻空子。
河南民生频道你们是不是有病？你们帮忙找人的时候，问过这位女生没有？你们是不是觉得自己特别高尚特别热心？是不是都特么被自己感动哭了？大参考@大参考: 关注民生频道女生被感动事件
又到了我最喜欢的察打一体桥段了[春游家族]: 喜爱察打一体桥段
平台要不要介入一下，这么多人: 呼吁有关部门介入
大休息式，更适合中国宝宝体质的帕梅拉。: 休息式更适合中国宝宝体质的帕梅拉
网友爆出农民工讨要工资与工地保安发生冲突场面十分混乱你们是土匪啊逼着我自杀来源鸿运当头好运来: 农民工与保安冲突
最近这些新闻有点不对劲啊。送外卖月入万元，摆地摊一天几千元，大学生热爱养猪这个干脆国企辞职收废品，我就问问哪有这么多废品给你收？: 大学生辞职收废品引发关注
据华商报报道近日，陕西西安，20多岁的吴波（化名）向公司讨要近3年加班约3000小时的加班费。吴波称他的单位，名为中国石油集团东方地球物理勘探有限责任公司西安物探装备公司。从2020年8月到现在频繁加班，很少换休，之所以加班时间比较精确，是因为公司加班要通过钉钉审批，都有记录。4月6日，西安市高新区劳动人事争议调解中心出具了调解受理登记表，争议简要情况为加班费。在劳动争议仲裁申请书上，吴波提出的事实与理由为在职期间，被申请人多次安排本人加班，却没有支付加班费，至今拖欠加班费元，其中延时（小时）加班费元，休息日（天）加班费元，法定节假日加班费元。被申请人上述行为严重违反了《劳动法》《劳动合同法》等法律法规，且严重损害了申请人的切身利益。为此，申请人特向贵委提出申请，请求依法裁决，以维护申请人的合法权益。8日下午，华商报记者联系到中国石油集团东方地球物理勘探有限责任公司西安物探装备公司相关人士，他解释说公司属于企业，收入主要依据效益，加班费这些有明确规定，也是个人自愿的，可以不加班，也可以换休。对于操作服务岗执行的一个8小时班72元的效益工资，因此加班费应该也是依据这个计算的，都发在年终奖里，否则也不可能一个人年终奖发两三万元。大家都加班，也没有其他人提出意见，操作工月薪七八千元已经不错了。他说，吴波在单位表现一直不错，手也快，有时候还主动要求多干点，之所以现在提出仲裁，是因为要离开单位，想多要些钱。华商报记者来到位于锦业二路的该公司门口，保安说因为周六领导都不在，记者出示证件后留下电话，截至发稿未获回复。: 员工因未支付加班费遭仲裁申请,华商报记者联系西安物探装备公司讨要加班费。
台媒盘点台湾政论名嘴制造的有关中国大陆的谣言，茶叶蛋哥、榨菜哥、田鼠哥、土房哥在列，还有新鲜出炉的靠背哥。: 台媒盘点大陆谣言,茶叶蛋哥、榨菜哥、田鼠哥、土房哥在列。
又现跨省事件？女子在河北被宁夏警方跨省传唤，亲属沟通无果后跳入黄河截止发稿，救援人员搜救近15天仍无结果: 女子跨省被传唤,救援无结果。
德国之声穿越回归2021新年: 穿越回归2021新年
