成龙大哥生日快乐成龙@成龙: 成龙生日快乐
4月5日，山东邹平。邹平市中医院走廊里，一患儿被糖果卡喉，孩子妈妈在焦急呼救，这时路过的一名推拿科医生看到后赶紧跑来，实施海姆立克急救法，经过十几秒的反复操作，一颗糖果从孩子的嘴里吐了出来，孩子呼吸也恢复了正常。据了解，这位医生叫王宏鑫，给王医生点赞！: 山东医生成功救出卡喉患儿
近日，江苏常州一餐馆內，一名中年女子引起了老板娘的注意。只见她要了一瓶白酒，边喝边哭。见此情景，老板娘给女子送了一份小菜，并贴心的抱抱她，安慰她不要难过了。成年人的世界都不容易，不知道这位大姐因何伤心落泪，但老板娘的善良会让她心里感到一丝丝的慰藉吧，为善良的老板娘点赞！: 老板娘送小菜安慰中年女子,为善良的老板娘点赞。
你最关注丰县八孩案哪些后续: 关注丰县八孩案后续
令人痛惜！张家界天门山景区服毒后跳崖自杀的4个年轻人的身份终于确定了！刘某，男性，今年33岁，户籍地为河南，已离婚，有一个13岁孩子。因为自身家庭条件不是很好，目前孩子跟母亲一块生活。彭某，男性，今年23岁，户籍地为河北省邯郸市临漳县，性格内向，初中辍学，家境贫困，他在家中排行老三，两个哥哥的经济状况也一般，有一个哥哥和嫂子有精神方面的问题。张某，男性，今年23岁，户籍地为福建德化县，是家中独子，初中毕业，一直在外地打工，最近几年独自一个人在广东工作，已3年没回老家。小婷（化名），是年龄最小的00后女孩，今年22岁，户籍地为四川内江，性格开朗，之前在美容店上过班。难以想象，4个天各一方的年轻人，怎么会选择同时服毒跳崖，他们到底经历了什么？竟然用如此残忍的手段来对待自己的生命。在此之前，他们究竟遇到了怎样难以逾越的槛，怎么会对生活如此的绝望？我在想，他们肯定经过一段时间强烈的思想斗争，精神上的折磨让他们非常痛苦，才鼓起勇气，最终狠心的离开自己的家人，离开这个世界。: 4个年轻人在张家界天门山景区服毒后自杀,身份确定。
4月7日，福建，男孩的母亲去世，家里只剩自己一人，为了生计他晚上摆摊挣钱一夜没合眼，第二天在课堂上累到睡着，直接连人带桌子摔倒在地上，这一幕让众网友十分心疼，没妈妈的孩子真的很可怜精选速递: 男孩母亲去世,儿子摆摊挣钱,累到睡着,摔倒在地上。
男子在六楼欲跳楼轻生，消防员高空飞身，双腿紧紧夹住男子将其救下！: 消防员双腿夹住欲跳楼男子
当一个村子失去了最后一个未成年人，这个村子就像熄灭了所有的灯: 失去未成年人,一个村子失去未成年人。
孩子有一些疾病，家属却没有告诉老师。孩子午休时间是用来睡觉的，这恐怕和老师玩手机关系不大。就算是把这个老师换成全世界顶级的医学专家守着，他也不知道孩子会在午休时死亡。要怪的话，只能说这个老师运气不太好拉萨布达拉宫: 孩子午休时间用来睡觉,与老师玩手机关系不大。
日本坠机天团成员之一坂本熊一师团长生前名场面台湾有事就是日本有事: 坂本熊一师团长生前名场面
所以那个考生也有所隐瞒吧（个人猜测）: 考生有所隐瞒
四岁。可能吗。带过孩子的来说说，我觉得五岁六岁都不一定行。: 五岁六岁可能吗?
王尔德墓碑由于有过多女游客留下唇印，已经围起了玻璃屏障，并附有郑重提示请放尊重，清洁费由他的家人支付。法国拉雪兹神父公墓: 女游客留下唇印,拉雪兹公墓支付清洁费
上了大学后才发现，学校里的水果真的好贵不吃水果能省下一大笔开销: 水果贵,省开销好。
这是打着去看美香的旗号继续卖猫吧！顺便还公费旅游一趟！呼吸霉国舔舔的空气！: 卖猫顺便旅游
其实世间没有我们想象中黑暗，在我们看不到的地方，遍地是光亮的: 世间没有想象中黑暗
哈哈哈哈哈好可笑，被关了一辈子，结果才换来坏人的九年？？？一开始都给他资金补助啊啊，人口负增长，你真的值得！: 被关了一辈子,换来九年坏人的九年?
我是你的衣食父母，是上帝 4月6日，陕西西安，网曝大唐不夜城一游客追打保安称我是你的衣食父母，是上帝，还称他来就应该让他玩好。视频中，男子追着保安推搡，还拿东西扔保安，保安一直克制劝阻。视频拍摄者介绍，游客在不倒翁表演结束后继续在场内拍照，被劝离时他就拍保安的脸，一而再再而三地追着保安打。据媒体报道，4月7日大唐不夜城工作人员回应，很多游客观看不倒翁表演后会围观拍照，人员聚集存在一定风险，所以保安会根据情况进行疏散。初步了解该视频发生在保安劝离游客时，会进一步核实。: 陕西西安游客追打保安视频拍摄者介绍。
今天下午我探访了三亚崖州湾科技城。据了解三亚依托三亚崖州湾科技城、南繁科技城，以建设具有全球影响力的种业科技创新中心为发展定位，积极培育发展南繁种业科技创新链、保障要素支撑链和开放产业链，构建一城引领、两地支撑、全球链接的总体格局。继续在打造科技创新平台，提升科技创新能力等重点领域持续发力，特别是加快建设成果转化中心等重大项目南繁作物表型研究设施，国家野生稻种质资源圃、种业创新实验室、国际玉米技术创新。此外，大力培育种业服务业态，深入探索生物育种产业化应用，支持中种集团扎根三亚打造种业国家队，全力构建现代种业产业集群。说起育种和种质资源的发展，北京平谷农业中关村可以说是三亚崖州湾科技城形成了南北呼应的状态。作为崖州湾科技城搭建的公共科研平台，种子实验室的成立，使各南繁单位告别了以往的单打独斗，实现联合攻关，培育育种协同创新生态。大型仪器公共服务中心、种质资源分子鉴定平台、核心种质资源库、人工气候室等开放共享平台已建设完成并投入运行，配置到位3500余台套仪器设备。: 探访三亚崖州湾科技城,打造科技创新平台,培育发展南繁种业科技创新中心。
4月4日，河南安阳。网友开车在太行山的盘山公路上遇到标识急弯，想到是急弯，没想到会这么急。网友直接写掉头不好吗！: 河南安阳盘山公路标识急弯
美国一对81岁的闺蜜用了80天环游世界和是一对多年的闺蜜，她们曾经突发奇想为什么我们到80岁的时候不试一下环游世界呢？比如用80天的时间，虽然一直有人怀疑她们的环球计划不一定可以实现，但是她们今年一月份正式出发环游了七大洲她们到南极洲看企鹅、坐飞机穿越珠穆朗玛峰、游玩金字塔、去热带雨林、驱车前往非洲大草原、抵达北欧滑雪看极光、在印度逛泰姬陵、到巴厘岛学习烹饪课程、参观欧洲的博物馆、打卡日本富士山用实际行动向所有人证明了她们的决心。和还表示我们这么做，就是希望让以后一代一代的年轻人知道，不管做什么事情都不要觉得为时已晚。: 81岁闺蜜用80天环游世界,呼吁年轻人不要觉得为时已晚。
这个话题是第几次上热搜了？: 话题第几次上热搜
2015年，租宝创始人丁宁卷走700多亿国人的血汗钱来到缅北，竟带飞了当地的诈骗行业，让缅北成为骗子的天堂。他先是砸给缅甸政府10亿建设费，打通关系，花重金给自己置办包括总司令在内的各种头衔。随后，丁宁购置先进军事装备，买下6000平方公里超大自贸区，开办东南亚联合银行，看名字仿佛这是世界规格的分支机构。现实生活中，丁宁随时随地豪掷千金的大手笔，更令人瞠目，当然所有的花费，都是他骗来的。这栋别墅13亿，送你了！被感动的受赠者，是珏诚的二号人物、美女总裁张敏，还是丁宁的合作伙伴和合约情人。一直跟着我东奔西跑不容易，这5亿，算是你工资之外的酬劳。丁宁花着别人的钱，追美女丝毫不心疼。起底丁宁，他既非富二代、亦非星二代，充其量不过是一个有着百余名员工的铅封家庭作坊的接班人。然而，他却一手炮制了史无前例的电信诈骗大案，亲手编织了90万国人的噩梦。1982年出生的丁宁，高考落榜勉强上了一所中专，即便该校后来升格为大专，他也没上到毕业就退学了，跟着父亲跑起了业务。不承想，读书时不见高智商的丁宁，此后却展示了极高的财商他无师自通，很快熟悉商业运作套路，还充分利用媒体，炒噱头、立人设。先让自己从一个大专都未毕业的辍学生，通过校企联合，华丽转身为两所大学的硕导。继而又巧妙运作，把诸如化学专家、工程师等光环，逐个套在自己头上。然后，他抓住时机，搭乘国家鼓励高新技术发展的政策快车，对自家作坊进行了重新塑形。2005年，丁宁将自家铅封作坊，易旗为珏诚五金工贸有限公司，23岁的他出任总经理兼技术中心主任。2007年，丁宁成立了安徽滨湖机电新材料公司。四年后，丁宁父亲、妻子、弟弟丁甸三方出资千万，成立号称国家级高新技术企业的珏诚新材料科技有限公司，对外宣称两家公司年产值2亿元、利润均超2000万元。随后，安徽珏诚融资租赁有限公司又在丁宁的运作下上马，至此，珏诚系三大盈利板块形成。让人想不到的是，丁宁竟将其核心的珏诚国际控股集团有限公司注册在境外，其实，此举颇具深意。2014年，高仿并超越余额宝的租宝横空出世，线上线下的各种宣传推介铺天盖地，以迅雷不及掩耳之势向民众袭来。至此，丁宁向世人展示了他画大饼的精湛术业和建造海市蜃楼的过人天赋。1元起投，随时赎回，低风险高收益的外宣口号，加之保本保息，支取灵活的承诺，一经喊出，便点燃了无数国人一夜暴富的发财梦。于是，资金如滔滔江水涌入丁宁设下的吸金无底洞，2014年6月到2015年12月，短短一年半时间，非法吸收公众资金达762亿余元。这些钱，除了支付公司骨干天价的工资外，更是被丁宁随意大肆挥霍，支撑着天文数字般的各种费用开销。期间，他先将珏诚国际控股集团总裁张敏，包装成名媛出身，做企业形象代言人，砸重金大肆炒作，保持高频曝光率。成功后，他再如法炮制全国各地的连锁企业负责人、助理秘书等等角色，均让他们开世界名车、穿名牌、戴名表，各种奢侈品加身，打造出高学历的富家公子和望族名媛人设，成为活体广告，活跃于各种社交媒介中，为他的大作为造势铺垫。当然，作为总操盘手的丁宁比谁都明白，其中近95的虚假项目意味着什么。于是，他也早预谋策划好了出逃计划并伺机而动他一边高薪网罗金融和精英，壮大自己的团队，一边紧锣密鼓地勾勒着电诈帝国的版图。同时，继续在网上高薪招聘海外业务精英加盟，引得国内众多人才不惜违法偷渡去缅北，最终让那里成了电信诈骗的天堂。因非法集资行为不受国家法律保护，噩梦醒来的集资民众，叫天天不应，叫地地不灵，倾家荡产、家破人亡者难以数计。但法网恢恢，疏而不漏，丁宁在出逃前被警方抓捕，经审判后，被判无期徒刑，剥夺政治权利终身，并处罚金1亿元，没收个人全部财产。另有26人获刑，判处公司罚金19亿元。2018年9月，经多方努力，中缅两国警方联合开展了打击跨国电信诈骗专项行动，摧毁了多个网络诈骗团伙老巢。然而，法律终结了犯罪，却不能终结90万国人集资款血本无归的噩梦，惨痛的教训，再次唤起人们对人性贪欲的沉痛反思: 逃亡13年,珏诚系创始人丁宁涉嫌诈骗,曾投资千万元在缅北设立公司。
2023年4月6日，江苏省徐州市中级人民法院一审公开开庭审理被告人董志民虐待、非法拘禁案，被告人时立忠、桑合妞拐卖妇女案和被告人谭爱庆、霍永渠、霍福得拐卖妇女案（以上5人拐卖妇女犯罪经最高人民检察院核准予以追诉），4月7日作出判决，认定董志民犯虐待罪，判处有期徒刑六年六个月，犯非法拘禁罪判处有期徒刑三年，数罪并罚，决定执行有期徒刑九年认定被告人时立忠、桑合妞、谭爱庆、霍永渠、霍福得犯拐卖妇女罪，分别判处有期徒刑十一年、十年、十三年、八年六个月和八年，并处罚金。庭审中，被告人董志民、时立忠、桑合妞、霍永渠、霍福得表示认罪、悔罪。徐州市人民检察院派员出庭支持公诉，各被告人及其辩护人到庭参加诉讼。庭审中，公诉机关出示了相关证据，各被告人及其辩护人进行了质证，控辩双方充分发表了意见，被告人均进行了最后陈述。经审理查明，1998年初，被告人时立忠、桑合妞以治病等为名将小花梅从云南省福贡县子里甲乡亚谷村拐骗至江苏省东海县，后二人将小花梅以人民币5000元卖给该县农民徐某东（涉嫌犯收买被拐卖的妇女罪，因超过追诉时效，依法未予追诉）。小花梅与徐某东共同生活至同年5月上旬后去向不明。同年6月，被告人谭爱庆及其妻李某玲（因在犯罪中所起作用较小、情节较轻，且超过追诉时效，依法未予追诉）将在河南省夏邑县骆集乡潭洼村发现并收留的小花梅，以人民币3000元卖给被告人霍永渠、霍福得。霍永渠、霍福得将小花梅带至丰县欢口镇，经刘某柱（因在犯罪中所起作用较小、情节较轻，且超过追诉时效，依法未予追诉）介绍，以人民币5000元转卖给董某更（已故）及其子被告人董志民。被告人董志民将小花梅带至董集村家中共同生活。刚到董家时小花梅生活基本能够自理，能与人交流，但有时存在痴笑、目光呆滞等表现。1999年，二人生育长子。2011年至2020年，二人先后生育七个子女。2011年、2012年小花梅生育二子、三子后，精神障碍症状逐渐加重，2017年生育六子后病症更加明显。其间，董志民仅于2013年上半年带小花梅到邻县乡镇医院门诊开药治疗，后再未送医治疗。2017年7月至案发前，董志民还对小花梅实施了布条绳索捆绑、铁链锁脖等虐待、拘禁行为。此间，小花梅的饮食起居得不到正常保障，时常挨饿受冻，居住场所无水电阳光，生活环境恶劣。董志民的虐待行为，致小花梅人身健康遭受重大伤害。经鉴定，小花梅患有精神分裂症（衰退期），被评定为精神残疾二级。徐州市中级人民法院认为，被告人董志民虐待家庭成员，情节恶劣，构成虐待罪，且致小花梅患精神分裂症不可逆转，具有致被害人重伤的加重情节董志民非法剥夺小花梅的人身自由，构成非法拘禁罪，依法应数罪并罚。被告人时立忠、桑合妞、谭爱庆、霍永渠、霍福得拐卖妇女，造成严重后果，构成拐卖妇女罪。被告人董志民、时立忠、桑合妞系坦白，霍永渠、霍福得系自首，依法可以从轻、减轻处罚谭爱庆系累犯，依法应当从重处罚。根据本案事实证据及相应情节，经审判委员会讨论，依法作出上述判决。被告人亲属，部分人大代表、政协委员、新闻媒体记者及各界群众旁听了庭审。: 徐州拐卖妇女案宣判,被告人董志民和徐某东分别被判刑和罚款。
一博希望小学投入使用公告 与博益行，我们一直在路上点点星光铸成通往梦想的道路滴滴水流汇成前往大海的奔涌是美好，也是希望因热爱而聚，因梦想而生在公益的路上，我们马不停蹄。公益项目一博希望小学全面竣工，并全部投入使用！一双双明亮的眼睛能够因此看见更广阔的天地，一声声悦耳的读书声也能通向更远的地方！学校寄意希望之名，通往光明之路，吧儿与大家将会持续关注并继续在公益路上行动，希望小可爱们，平安顺遂，以爱为廿王一博@王一博文案: 一博希望小学投入使用,公益项目全面竣工,希望小可爱们因热爱而聚。
真的救命！评论区真是让我开了眼，觉得美香一家过得好的，祝你们下辈子旅美，被圈在身体都舒展不开的地方，和乱窜的老鼠青蛙作伴，祝你们常年被人工受孕，祝你们食不果腹，腹水缠身，总之呢，和美香一样的待遇！到底拿了别人多少钱啊，这么能洗白！还有，你们也太不敬业了，拿办事也得说对啊，要不不就露馅了？: 网友分享美香一家过得好,祝他们常年被人工受孕,拿钱洗白。
保研被同班同学举报了，名额被取消: 被举报名额被取消
新华视点记者围绕案件指控、量刑以及小花梅现状等公众关心的几个焦点问题，采访了公诉人、审判长、公安机关负责人以及小花梅的家人、医生、徐州市政府相关负责人等。一问董志民一审被判构成虐待罪、非法拘禁罪，没有追诉其涉嫌收买被拐卖的妇女罪，对他的指控和量刑是如何考量的？公诉人、徐州市人民检察院第一检察部主任饶本东表示，检察机关坚持以事实为依据、法律为准绳，严守证据裁判原则，对事实清楚、证据确实充分的，依法向人民法院提起公诉。经审查，董志民对被害人小花梅有病不送医治疗，让其长期生活在恶劣环境中，且不顾其身体状况致其连续生育，导致小花梅精神疾病不断加重，人身健康遭受重大伤害。另外，董志民还有非法剥夺小花梅人身自由的行为。根据《中华人民共和国刑法》第二百六十条、第二百三十八条的规定，董志民的行为构成虐待罪、非法拘禁罪，犯罪事实清楚，证据确实充分，依法提起公诉。为何没有追诉董志民以及之前也曾收买小花梅的徐某东涉嫌收买被拐卖的妇女罪？饶本东表示，董志民收买被他人拐卖的小花梅，其行为涉嫌收买被拐卖的妇女罪。《中华人民共和国刑法》第二百四十一条规定，收买被拐卖的妇女罪法定最高刑为三年有期徒刑《中华人民共和国刑法》第八十七条规定，法定最高刑不满五年有期徒刑的，经过五年不再追诉。董志民收买被拐卖的妇女犯罪行为超过了五年的追诉时效期限，不符合报请核准追诉条件，依法不再追诉。徐某东收买被拐卖妇女的犯罪行为同样超过追诉时效期限，不符合报请核准追诉条件。关于量刑情况，审判长、徐州市中级人民法院副院长姚辉表示，经审理查明，董志民对小花梅有病不送医治疗，不顾其身体状况致其连续怀孕生育。2017年7月至案发前，董志民还对小花梅实施了布条绳索捆绑、铁链锁脖等虐待、拘禁行为。其间，小花梅的饮食起居得不到正常保障，时常挨饿受冻，居住场所无水、电、阳光，生活环境恶劣，导致小花梅精神疾病不断加重，人身健康遭受重大伤害。经鉴定，小花梅患有精神分裂症（衰退期），被评定为精神残疾二级。董志民虐待家庭成员，情节恶劣，根据《中华人民共和国刑法》第二百六十条规定，其行为构成虐待罪董志民非法剥夺小花梅人身自由，根据《中华人民共和国刑法》第二百三十八条规定，其行为构成非法拘禁罪，应依法数罪并罚。董志民行为对小花梅的人身健康造成重大伤害，导致小花梅患精神分裂症且不可逆转，具有致被害人重伤的加重处罚情节，依法应处二年以上七年以下有期徒刑董志民非法剥夺小花梅人身自由，依法应处三年以下有期徒刑、拘役、管制或者剥夺政治权利。董志民虐待、非法拘禁犯罪持续时间长，犯罪手段恶劣，造成严重危害后果和恶劣社会影响，应依法严惩。综合考虑其犯罪事实和情节，以虐待罪、非法拘禁罪分别判处董志民有期徒刑六年六个月、三年，数罪并罚，决定执行有期徒刑九年。二问1998年参与拐卖小花梅的犯罪嫌疑人共有7人，均超过二十年追诉时效期限，为何追诉5人，另外2人没有被追诉？饶本东表示，经审查，时立忠、桑合妞、谭爱庆、霍永渠、霍福得等人先后拐卖小花梅，造成严重后果。犯罪行为发生在1998年，均已超过二十年的追诉时效期限根据《中华人民共和国刑法》第八十七条规定，如果二十年以后认为必须追诉的，须报请最高人民检察院核准。为从严打击拐卖妇女犯罪，切实维护妇女儿童权益，对在拐卖妇女犯罪中作用较大、情节严重的时立忠、桑合妞、谭爱庆、霍永渠、霍福得等5人，经依法报请最高人民检察院核准进行追诉。李某玲、刘某柱在拐卖妇女犯罪中作用较小、情节较轻，未予报请核准追诉。三问去年2月23日江苏省委省政府调查组公布调查结论后，政法机关是如何办理这一案件的？江苏省公安厅副厅长谭永生表示，小花梅被拐卖发生于1998年，相关犯罪行为时间跨度长，涉及云南、江苏、河南等地，涉案人员多，案情复杂，调查难度和工作量大。案发后，公安机关抽调精干力量成立专案组，深入细致开展侦查工作，迅速查明案件主要事实。检察机关对涉案犯罪嫌疑人批准逮捕后，为了全面查清案件事实、完善证据体系，结合检察机关补充侦查要求，专案组持续开展侦查取证工作，先后派出大量警力，走访省内外群众2000余人次，调阅300余份档案材料，抽调专家开展审讯工作。经过艰苦努力，案件在法定期限内侦查终结并依法移送检察机关审查起诉。饶本东表示，案件侦查期间，检察机关依法提前介入，履行法律监督职责，对实施严重拐卖妇女犯罪的5人层报最高人民检察院核准进行追诉。公安机关侦查终结移送审查起诉后，丰县人民检察院经审查认为案件重大复杂，依法报送徐州市人民检察院审查办理。徐州市人民检察院抽调办案经验丰富的检察官组成办案团队，全面细致审查证据材料，复核关键证人，复勘案发现场，咨询鉴定专家，经审查认为犯罪事实已经查清，证据确实充分，依法提起公诉。姚辉表示，受理案件后，徐州市中级人民法院抽调骨干力量组成合议庭，严格细致审查检察机关指控的犯罪事实和移送的证据，认真研究相关法律适用问题，依法召开了庭前会议，梳理归纳争议焦点，明确庭审重点。庭审中，法院依法保障了被告人及其辩护人各项诉讼权利，充分听取控辩双方意见，根据各被告人犯罪性质、情节、危害后果和悔罪表现，经合议庭评议、审判委员会讨论，依法作出判决。四问小花梅目前身体和精神状况如何？记者4月5日在治疗小花梅的医院采访了管床医生滕晓婷。滕晓婷说，小花梅入院以来她一直参与治疗。治疗措施主要包括药物治疗、心理辅导、康复训练。医院邀请上海、南京等地专家18次对其进行会诊，并安排2名护工照料其生活起居，每天监测病情变化，及时优化调整治疗、康复方案。经过一年多的医疗和照料，小花梅病情得到控制，身体状况稳定。目前能够在医生、护工帮助下穿衣、吃饭，可与医护人员简单交流，但仍然存在认知障碍。小花梅长子董某港告诉记者，妈妈住院以后，医院请了不少专家给她看病，还安排了2个护工轮流照顾。去年入院前她有时连我都不认识，现在不仅能认出我，还能叫出我的名字。他说。五问小花梅子女现在的生活怎样？董某港说，前几年我们已经有了低保、医保，现在政府又帮弟弟、妹妹办理了困境儿童救助。弟弟、妹妹都在上学和上幼儿园，村里爱心妈妈经常到家里来帮助我们洗衣、做饭。镇里、村里的干部也常到家里看望。六问2022年以来地方政府在保护妇女儿童权益方面做了哪些整改工作？徐州市副市长孙文华说，徐州市委市政府对丰县生育八孩女子事件的发生深感痛心，深刻反思、举一反三、全面整改。为深刻汲取事件教训，切实维护群众权益，去年以来，江苏省委省政府在全省部署开展特殊困难群体救助帮扶和妇女儿童权益保障专项排查整治行动。徐州市迅速组织开展专项行动，逐村逐户排查特殊困难群体，全面落实低收入家庭兜底救助、农村留守妇女关爱、困境儿童生活保障等帮扶救助措施。深入摸排线索，强化破案攻坚，重拳打击拐卖、虐待等侵害妇女儿童权益违法犯罪行为。加强维护妇女儿童权益长效机制建设，建立蓝风铃妇女儿童保护预警系统，健全反家暴联防联动、受家暴妇女庇护等机制。（新华社）: 检方提起公诉收买被拐卖的妇女,其行为涉嫌虐待、非法拘禁和犯罪。
涉事幼儿园回应称，孩子自身有疾病，家长隐瞒病情。园方提出走司法程序，但目前家属不同意。吉州区教体局工作人员表示，已第一时间介入调查，后续会有情况说明。: 涉事幼儿园回应:孩子自身有疾病,家长隐瞒病情,园方提出走司法程序,家属不同意。
游客大哥不愿意上车，跑步好揽客 近日，贵州毕节。景区停车位紧张，男子为揽客跑步带领自驾游的游客，把车停在自家门前。游客曹先生称大哥看起来五六十岁了，我让他上车，他说他这样机动性更强，可以揽更多的客，也能挣更多的钱补贴家用。梧桐@梧桐梧桐: 游客不愿上车,男子为揽客跑步
北京拆迁成为历史了，曾经的拆迁不知道成就了多少有钱人，现在拆迁不会再像之前一样成为部分北京人暴富的手段了。: 拆迁不再成为北京人暴富手段
未来属于青年希望寄予青年: 寄予青年希望
2022年3月，家住内蒙古赤峰市的田永伟购买了中国人民保险针对新冠疫情推出的安疫行升级版传染病保险。同年12月阳了之后，他向保险公司提出理赔，但对方以其不是危重症确诊患者为由，不予赔付。在双方反复拉扯三个月后，身为律师的他，决定将保险公司诉上法庭。2023年3月30日，田永伟拿到了胜诉判决。这也是公开信息中，新冠险纠纷胜诉获赔的第一起案件。我争的是一口气，作为律师，如果我连自己的权利都维护不了，我还能维护谁的权利？田永伟说。记者注意到，田永伟保单上的特别约定提到，针对新冠感染者，被保险人被确诊是重型或者危重型时，保险公司才承担相应的保险责任，这一条款也是很多被保险人不能理赔的原因。但田永伟说，自己购买保险时得到的说法是感染就赔，对于合同中的特殊约定，保险合同中没有特别的标记和提示，没有尽到告知义务。这也是法院判其胜诉的主要原因。新冠险理赔胜诉第一案未达危重症，仍获赔1万元: 投保新冠险胜诉获赔第一案,原告胜诉保险公司。
车手压弯失败，冲出黄线一瞬间，被三辆摩托连续撞击车载娱乐: 三辆摩托连续撞击车载娱乐
外卖小哥快超时男子每一层电梯都按满！还嚣张的说你报警，场面非常离谱一片混乱！网友文化和外表不是斯文和素质的表现！: 超时按满电梯,男子嚣张声称报警。网友文化和外表不是斯文和素质的表现。
说实话医美行业需要好好整理，毕竟都是冲着赚大钱赚快钱去的，美容师往往三天七天速成班培训就敢上手，给消费者动刀用仪器设备了，就冲着女人爱美暴利赚钱！九派新闻近日，陕西西安。有网友发文称自己在一赫莲娜店做头等舱护理，因仪器有损坏和美容师操作不当，导致其脸部轻二度烧伤。商家说是赠送的福利！第一次遇到这种情况！大家怎么看！？: 医美行业需要整理,美容师培训冲着女人爱美暴利赚钱。
通报称经核实，涉事人员系我局工作人员。目前，已对其进行严肃批评，后续将根据调查结果按规定处理。温州: 涉事人员系我局工作人员,后续将处理。
以法治守护公平正义 据央视新闻，4月7日，江苏省徐州市中级人民法院对丰县生育八孩女子事件相关案件一审宣判。董志民犯虐待罪和非法拘禁罪，数罪并罚，执行有期徒刑九年被告人时立忠、桑合妞等5人犯拐卖妇女罪，分别被判处八年至十一年不等的有期徒刑。本案一审判决书，记录了被告人犯下的罪恶、被害人承受的痛苦经7人参与，被害人小花梅被三次转卖，先后卖给两人共同生活在与董志民共同生活期间，遭受其非人对待。在拐卖者和董志民眼中，她是物而不是人，她的人身自由、人格尊严、人身健康被肆意践踏和伤害。拐卖犯罪发生在1998年，到2022年案发时，已经过了20年追诉时效期限。作恶者会因此逍遥法外吗？当然不会。对于法定最高刑为无期徒刑、死刑，追诉时效期限为二十年的严重犯罪，刑法有如果二十年以后认为必须追诉的，须报请最高人民检察院核准的规定。也就是说，只要报请最高检核准，追诉严重犯罪就不受20年时效期限的限制。本案性质恶劣、后果严重、社会影响大，无论从实现个案正义还是警示社会的角度，从严处罚都是必要的，但从严的前提是依法。在本案中，经最高检核准，对在拐卖妇女犯罪中作用较大、情节严重的时立忠等5人进行追诉，法院依法定罪量刑，彰显了司法机关从严打击拐卖妇女犯罪的一贯立场和坚定决心。: 最高检对拐卖妇女案进行追诉,执行刑期长达20年。建议报请最高检核准,追诉严重犯罪。
看到这个话题作为成年人的我想哭了如果可以谁会失业后还假装上班呢，之所以这么做一定是不想让家里的长辈或者另一半担心吧，现在的年轻人过日子真的挺难的，还是多多理解吧心如薄荷自然凉517: 讨论失业后假装上班话题,呼吁理解年轻人过日子难题。
谁说男人不能当花魁不及时的: 男人不能当花魁
4月7日，陕西省市主流媒体和网络大走进西安高新区丝路科学城，参观采访重点企业、项目，一探双中心核心承载区的综合实力，见证双中心建设的高新实践，憧憬丝路科学城的无限未来。[给力]西安高新增材制造聚力打造一总三平台多试点产业结构。[给力]西安炬光科技全球高功率半导体激光产业先驱。[给力]西安光电子先导院凝聚海外高端创业力量发展光电子产业。[给力]西安新建唐晶量子项目，致力研发生产半导体器件外延片。[给力]西安科学园探秘高精度地基授时系统项目。: 陕西省市媒体和网络大走进西安高新区丝路科学城,见证双中心建设的高新实践,西安高新增材制造聚力打造一总三平台多试点产业结构,西安光电子先导院凝聚高端创业力量发展光电子产业。
你支持取消拐骗罪统一为拐带儿童罪吗: 支持取消拐骗罪和拐带儿童罪
不准回嘴。回嘴就让你难受！喊到！: 回嘴让你难受
这个时候不压热度了？这算什么检查，血压不是天天量？如果称体重和量血压都要专家去一趟，那专家也很好当啊，冰坨的事怎么不说？天天吃，这可不在饲养食物里面了吧，美香腹水这算承认了，那些说没有腹水打脸了吧: 血压不是天天量,美香腹水承认了。
孙卓被拐案将于4月7日在深圳市南山区人民法院开庭审理，孙卓姐姐呼吁取消拐骗罪，统一成拐带罪人贩子必须严惩！: 孙卓被拐案将于4月7日开庭审理,呼吁取消拐骗罪,统一成拐带罪人贩子。
每每看到在涉及小张的微博底下的争论，那些大秀爱国情怀的人努力捶打同胞的样子，暴露了一种真正的无知既没有实践经验来证明自己确实非常了解情况，也没有理论依据可以充分论其证信誓旦旦的结论。——除了空洞的慷慨、虚假的显摆、烂大街的口号，把一种虚伪到骨子里的无知形象展现的淋漓尽致。: 微博争论暴露了真正的无知,空洞的慷慨、虚假的显摆、烂大街的口号,把虚伪到骨子里的无知形象展现淋漓尽致。
顾客瞬间化身劫匪黑人小伙买东西变抢东西: 顾客变劫匪
一纸限塑令，结果塑料袋半点没少，只是超市开始收费了。一个垃圾分类，搞得热火朝天，几年过去，素质高的也就分了个干湿，大部分还是该怎么扔就怎么扔。垃圾分类四个桶，最后一车全拉走，分了个寂寞。一个养犬证，本意是为了规范化，便于登记造册便于管理，结果要你有户口有房产证，还要交年费，各种设槛，最后就是我养我的，你管你的。一个教育双减政策，十几年的减负，素质教育，结果减的是老师的负，学生越来越累，家长越来越苦。补课班，课后托管大行其道，赚得盆满钵满。一个限摩令，限电动车令，美其名曰清理交通秩序，结果就是让你办牌照，考驾照，买头盔。一个路边停车，同一条马路，交费不违停，不交费违停罚200。一个招牌统一，说你影响市容市貌，结果就是交钱，我来帮你做。一个抗生素限制，门诊输液限制，结果10块钱的病你得花100去医院折腾一天。为什么好好的政策，到下面就变成了走形式？到底是哪里出了问题？: 限塑令后塑料袋半点没少,教育双减政策导致学生越来越累,家长越来越苦。
围脖侠@围脖侠请严予打击恶意挑起对立、蹭流量博眼球的行为，辛苦！: 围脖侠呼吁打击恶意蹭流量行为
