特朗普在法庭上做无罪辩护: 特朗普无罪辩护
中国电科成都事业部疯狂加班引发员工不满集体请辞这个事，引发了各大央企国企员工的共鸣，中建系统、航天系统、中铁建员工纷纷出来诉苦，有的没有加班费，有的加班费一小时不到十块钱，有的四五十天一天没休有的领导白天办公室不见人，一到快下班就回办公室加班，尤其是搞工程的项目领导，一个人在项目上，不用回家见老婆孩子的，恨不得所有人陪着住在单位: 央企国企员工诉苦加班费
赌博赌的倾家荡产的，我还真亲眼见过一个。我刚到北京读研究生的时候，一位北京某三甲医院的专家级医生，本来家庭事业都一帆风顺，结果不知咋滴就赌上了。赌到最后，家里两套房子都卖了，工作也丢了，和老婆一起跑到韩国打工去了。他离开医院后，医院同事发现几乎每个人都被他借过钱，这些钱全都打水漂了。凡是染上赌和毒两个字的，基本就废了。: 医生赌博倾家荡产,医院同事被借过钱打水漂。
大哥随身携带白酒和筷子，随时随地夹蜈蚣泡酒。: 大哥随身携带白酒和筷子,可随时随地夹蜈蚣泡酒。
据九派新闻@九派新闻报道4月4日，深圳市罗湖区人民检察院发布了一宗案件。郑某在一家旅行社工作，2018年9月，他结识了来旅游的单身女性阿靓，二人发展成了男女朋友。阿靓也将自己的一些朋友介绍给了郑某，方便他从事旅游业务。2019年，二人分手，互相删除微信好友。郑某分手后不甘心，也联系不上阿靓，于是把一段自己与阿靓的性爱视频发给了阿靓的朋友阿欣。愤怒的阿靓马上联系了郑某，郑某提出了要求，拿2万块钱来吧，不然我会把这些视频发给你的各个朋友。为了自己的视频不再外泄，阿靓向他转了2万块。2021年5月，郑某被抓获并认罪认罚，将钱退给了阿靓并恳请阿靓原谅。2021年9月，罗湖区检察院以涉嫌敲诈勒索罪，依法对郑某提起公诉。考虑到认罪认罚、被害人谅解等情节，事后法院以敲诈勒索罪判决郑某有期徒刑8个月，缓刑一年，并处罚金5000元。九派新闻: 男子将女友视频发给朋友,被判缓刑,曾因敲诈勒索罪被提起公诉。
（这里是武夷山）武夷山深处有1343座无名墓他们是谁？: 揭秘武夷山深处1343座无名墓
明尼苏达州议会大厦圆形大厅举行的变装秀。对，是议会。其实这类的秀目前已经在美国各大幼儿园，小学都搞过。别说一个男的了，女的在什么庄重场合做这个都不是很妥。跟不上最新的世界潮流了。: 议会大厦举行变装秀,跟不上潮流。
乔木@乔木号没了，觉得有点遗憾，我挺爱看他的帖子，我俩同龄人，从他身上能看出我们这代人思想成长的影子。在我们的青葱年代，国家经济、文化、军事全方位落后。适逢国门打开，抬眼看世界，全是羡慕和高不可攀。回头看周围，官倒、腐败、贫瘠、不公。那时候批崇洋媚外，我们内心是不服的，只要长眼睛有脑子的，崇洋媚外几乎是必然选择，只是藏在心里不说而已。马来西亚、菲律宾和印尼，在现在看来有些落后甚至贫穷，我们年轻时那里是南洋，也是令我们望尘莫及的洋人。那时候有些人偷渡，只要偷渡过去住下来，就是幸福成功的开始。记着有个人到了日本，当黑户刷盘子，一个月挣人民币5000块，这在当时是个天文数字。游泳到香港后发财的就不用说了，美国是人间最高天堂。我微博说过一个故事，2000年我晋职增资，月入将近2000，有点志得意满。跟留美同学聊天，人家说年薪20多万，顿觉晴空霹雳对于我们这代人来说，出国就是奔向幸福生活的金钥匙，这个理念甚至成为信仰。国外工资高，福利好，人际关系简单，政府清廉高效，见面就笑关系友善，言论还自由乔木在国内大学事业不顺，没有反思自己性格的缺陷，而是归因到体制环境，觉得出国就能解决一切，我对他的想法是高度理解的。令人遗憾的是，中国近三十年的高速发展，他没有参与其中。而我参与了，他所批判的项立刚也参与了。切身参与到近三十年高速发展并为之奋斗过的人，崇洋媚外的观念就会全变，变成了自信自强。在当前的国际就业环境横向对此中，驻京大学副教授和北京区政府处级干部，都是一等一的好职位，比绝大多数欧美工薪人士都强啊。却非要跑到美国去整理超市货架子，一天累个臭死只能勉强维持生计，真是拿个金苹果换了个烂酸梨。我们这代人身上有不少毛病，还有一条就是总觉得自己怀才不遇，到了国外就能大展宏图了，其实都是自己麻痹自己。选择大于努力，乔木两口子非常努力地做了一个错误选择，令人唏嘘不己。: 乔木号的自我批评,认为国外生活困难,并认为中国处于高速发展时期,在追求幸福的同时,对某些人存在存在偏见和偏见。
男子上坟却迟迟找不到爷爷奶奶墓地爷爷奶奶你们在哪？我找不见网友得给老祖宗打扫一下院子了: 男子寻找爷爷奶奶墓地
对于就业，民营企业是主要途径，是无法代替的基本盘，人人都有活路干，大家才会有伙食吃。早上好，吃饭没有？: 民营企业是主要途径,无法代替的基本盘。
飞来的横祸！对于孩子和司机都是。。。专员: 遭遇横祸,孩子和司机受伤。
英雄的事迹和精神都是激励我们前行的强大力量。崇尚英雄，缅怀先烈！: 英雄事迹和精神激励,崇尚英雄,缅怀先烈。
车辆施工路段强行变道，结果悲剧了。。。。。。。。: 车辆施工路段强行变道,悲剧了。
关于外表和身体自主权在很多西方发达国家（不光是美国）的一些礼仪场合，比如舞会，对朋友同事说是一种恭维，也算是一种礼貌。但如果你评判别人的外表或长相，说别人老丑胖，则被认为是一种，尤其是在工作场合，如果你对一个同事这么说，对方向举报你，你很可能会被开除掉。有意思的是，在很多非西方国家，评判人的长相是一种表示亲密的表现。比如我去年接待了两个国内来的朋友，他们都拿我的长相变化开玩笑。原来我对这些无所谓。但可能是在西方国家呆久了，现在就会觉得这些话语很刺耳，这不是源于他们的玩笑，而是源于一种文化差异。我经常跟一个美国朋友聊文化差异这个话题。他告诉我，在加州，他们从小接受一种教育叫做（在有的地方叫做），即身体自主权。就是你的身体完完全全是你自己主宰的，你自己有对你自己身体的全权选择权。诚然，你如果是一些特殊职业从业者比如模特、演员、健身教练，你可以选择去迎合他人的审美但是你永远需要对你自己的身体（包括外表）有100决定权，而你的妻子丈夫父母亲朋好友没有决定权（当然，你想去迎合他们也是你自己决定的）。人的外表是一种侵犯他人最本质的权益的行为，因此是错误的。许多从非西方国家来的人不解，反感甚至厌恶这些所谓的信教，认为这是政治正确，是钱多后吃饱了撑的。但话说回来，即使在我们国内中学时期学习西方史，都学过从文艺复兴到启蒙运动，这些思想解放运动打破基督教对人性的桎梏和束缚，从而很大程度解放和发展了生产力，由此引发了了第一次和第二次工业革命。而从文艺复兴到启蒙运动在六十年代运动，其实一脉相承的是运动，它的本质是解放人性并同情弱者，而反对禁锢他人、恃强凌弱。在美国，很多支持者，对他经常在他自媒体上管女性叫拍手称快。所以，我始终觉得，美国总体而言可能是这些发达西方国家里最不讲真善美的地方但美国依然有很多人在推崇这些人性善的。就像我经常说的，每个人都有短处，你可能是个身体强壮的白人男性，但可能有的父母，或者有自闭症的孩子。你可以扛着15去超市以彰显你的，但你同时也可能遭遇孩子在学校被欺凌，退休后在养老院被护工欺负。因此，每个人都有弱点和软肋，歧视别人最终也会被人歧视，恃强凌弱最后总会招致冤冤相报而只有当大家都互相尊重彼此，整个社会才不会有这些冤冤相报。回到长相，我每天都严格锻炼，即使晚上10点回到家也会做30分钟有氧，因为我想保持身体健康减少代谢性疾病风险。但这些阻止不了我们都会衰老，都会变丑。你笑话别人，有一天就会被别人笑话。没有人被别人戏称老丑胖，因为我们都有老丑胖的一天。不想被被人笑话老丑胖，就要学会不去他人的外表。这篇是昨天晚上写的，但想在美西白天发出来。: 外国人对人的外貌和行为,存在误解和误解。美国对女性外貌和身体自主权存在误解,并存在侵犯他人权益的行为。
这个看个人吧，陌生电话我接的挺多，一般问我是不是先生，我回个我是恁爹，对方就挂了。也不耽误事: 陌生电话骚扰,小心<unk>爹。
殡仪店因售卖锡箔元宝被行政处罚: 殡仪店因售卖锡箔元宝被行政处罚
把公司骂上热搜，这名员工算是给公司立功了。: 骂上热搜员工立功
你在挑衅我 近日，山东东营某中学，一名男生在课堂上发出声音疑干扰老师讲课，老师称该名学生上课说话是在挑衅，男生被罚站时辩解自己并没有说话，引起老师不满，老师摔课本怒斥男生不服从管教，中止了教学。: 男生上课挑衅,老师怒斥男生不服从管教。
富家女拒付40元停车费，猛加油门将收费员拖行致死，女子我只想给他10元: 女子拒付停车费拖行加油员致死
陈志龙最新回应来了 陈志龙真乃吾辈楷模！看的真解气啊，太舒适了，满满正能量！那两名领导不处理一下吗？竟然有人借他名义收红包礼物，刚刚陈志龙回应我不开直播、不带货、不收大家的红包、礼品、不需要大家刷礼物。我不想当网红，只想和之前的生活一样，默默无闻，混吃等死。网友快开直播，我要打赏！: 陈志龙回应质疑,回应称不想当网红,只想默默无闻,混吃等死。
追思祖先、缅怀先烈，这个春天，怀揣思念与爱，勇敢出发。早安！: 勇敢出发,追思祖先、缅怀先烈。
网友投稿这里也遍地日本晚樱关山樱: 日本晚樱关山樱遍地
继东三省乐迷包船去迷笛之后广东乐迷打算包机出彩广东人，看群主头像就知道是个办大事的人: 广东乐迷欲包机出彩广东人
有没有长沙人来验证一下，你们长沙话还分二环内口音和郊区口音吗[笑]: 验证长沙话分二环内和郊区口音?
网上热传一段微信群聊天记录，疑似是中国电科成都区软件开发事业部一名陈姓员工因被安排清明节加班而暴怒，用激烈语言痛批部门领导长期安排员工加班，自己却按时下班，压榨员工讨好上司。因为超长加班被人们深恶痛绝，很多人怕丢饭碗又不敢抵制，陈的怒骂引起广泛共鸣。作为一名媒体人，老胡主张国企领导要高度重视这起事件。前几年互联网平台的996引发强烈不满，很多民营企业做了调整。国企因为工作相对稳定，很多员工对表达意见更有顾虑，一些管理人员有意无意将此当成了在加班等问题上压员工服从的筹码，致使有些国企的加班问题比民营企业还要严重。在不少国企里，员工的身份不同，有些是有编制的员工，也就是俗称的铁饭碗，另一类则是合同工。身份的不同对应着不一样的福利待遇，会让内部管理变得复杂，有些有编制的员工产生了优越感，也会让无编制者产生怨气。换句话说，国企内部的潜在冲突点并不比民企少。不少国企受官僚主义形式主义所困，开会多，各种事情的请示汇报和批准传达等程序性事情大大多于民营企业，挤占了单位内部的很多工作时间，只好用加班加点完成正常的业务工作，这也是国企加班越来越多的重要原因之一。而那些形式主义的东西非常枯燥繁琐，增加了人们的疲倦感，加重了人们对超长加班的厌倦。中国电科的事件主人公在微信群里说话激烈、粗糙，但有些地方应当说属于话糙理不糙。他质问自己与公司签的是劳动合同还是卖身契，指责公司让他们从早八点干到晚上十一点，并且加到凌晨一两点都是常有的事，严重违反劳动法，这些在道理上都是站得住脚的。老胡认为，所有国有单位都应当努力执行好劳动法，即使做不了正面示范，也不应带破坏劳动法的头，更不应该用工作稳定做杠杆，压员工在超长加班问题上忍气吞声。一些国有基层单位搞形式主义的东西占用员工的时间，要求员工超负荷工作，遇到问题和矛盾只敢向下压，不敢向上级领导提意见，都是不对的。无论国企还是民企，都应尊重劳动者，领导要和员工打成一片，与大家同呼吸共命运，让大家的利益真正绑到一起，这是企业兴旺的人和之本。在这当中，尊重劳动法不应是上限，而应是底线。超长加班真的要不得，在有的地方，政府官员就宣扬自己的部门52，白加黑，并以此为荣，这也是要不得的。人不能被工具化，我们的社会要在努力奋斗和保障人们的休息这一基础人权之间实现平衡。以上所说应是中国电科员工事件引起网上巨大共鸣的社会原因，至于那名员工平时在单位的表现如何，这起事件是否还有公众不了解的其他环节，这是另一回事。中国电科已经表示将核实情况，之后有统一回复。关于此事的具体是非，我们不妨等待更多信息，形成进一步的价值判断。: 国企加班问题频发,存在官僚主义和形式主义,导致员工超负荷工作,引发强烈不满。
美团前员工妹妹不饿@妹妹不饿拒绝参与公司所谓破冰实则性骚扰的游戏，拒绝周末加班被强制开除: 妹妹拒绝参与性骚扰游戏被开除
昨天看到了聊天截图，但当时并不是很相信真实性。倒不是说不相信加班会这么多，而是觉得截图中出现的这几个领导的发言和表现，也有点太——怎么说呢——就是很完美标准的那种又蠢又坏，很完美地配合了当事人，完成了这么一场爽文似的演出。说实话，一般人都演不出这么完美的反派角色。看中国电科的回应吧，如果确有其事，也揭露了企业的冰山一角。其实这位陈志龙，他的火气甚至都不完全来自加班本身，而是不患寡而患不均。有些企业，包括国企、机关，一旦当上领导，在有些方面的待遇就会一下子高出普通员工一大截，这不是一种好的现象。不是说不能合理拉开差距，而是这样很容易变成脱离基层，高高在上，不知民间疾苦，滋生官僚主义，最后离心离德。: 揭露企业冰山一角,陈志龙火气不全来自加班本身,不患寡而患不均。国企、机关员工待遇高,很容易脱离基层。
加拿大一张图，把美国老保吓的不轻。: 加拿大吓死美国老保
新浪旅游@新浪旅游微博旅游@微博旅游尼泊尔加德满都杜巴广场: 新浪旅游微博旅游尼泊尔加德满都杜巴广场
了，也不想当网红，只想安心生活。希望他能和之前一样，有一份好工作，安稳生活。: 寻求安稳工作,希望网红安心生活。
原本大好前途，这样就没了！可惜！一名29岁男医生，在港铁车厢内三度以下体挨近一名少女下身，有便衣警见状上前截停，被告没穿内裤，裤链亦无拉上，阴茎外露，左右两边均用胶纸黏著震蛋，两侧裤袋内各有一个控制器连接。在法庭上，他否认非礼，并辩称因不举而需用震蛋作治疗，裁判官认为他的证供不尽不实，肯定他是蓄意将下体贴向事主攞快感，裁定他非礼罪成。真实的香港: 男医生在港铁车厢内性侵少女,被判非礼,法庭上辩称需用震蛋作治疗。
来稿选登广东汕头统一战线少数民族代表人士共同点非常显著汕头: 选登广东汕头统一战线少数民族代表人士共同点
50岁外卖大爷被城管抢电动车，路人阻止被城管一脚踢倒，街道办统统都是外包临时工: 外卖大爷被城管抢电动车,街道办外包临时工。
一起致敬英烈！我们永远记住你[菊花]！: 致敬英烈,永远记住你[菊花]
英雄，请安息！我们将继续前行！: 英雄呼吁安息,继续前行。
加班越多，失业率越高。工人基本工资就越低，被剥削的叫越狠。保持大量失业率是资本主义的剥削基因决定的。: 失业率越高工人工资越低
快递小哥们在服务一个小区的住户时，接二连三地遭到投诉。于是，一怒之下集体将小区全部拉黑，这一下让小区里五千多户居民表示很崩溃。记者走访了解到，这个小区共有五千多家住户，而他们全都惨遭快递公司拉黑。现在居民平日里网购的商品都无人派送，造成了生活极大的不便。可为客户派送商品这本就是快递公司的业务，但为什么现在快递公司偏偏都不愿为这个小区的住户服务甚至还把他们拉入了黑名单呢。相信大家对此一定很费解，现在就让我们来一探究竟吧。通过采访快递公司的负责人记者得知，原来快递公司不愿为住户提供服务与他们的恶意投诉有关。中国邮政负责人表示他们一天能接到六七个这个小区的投诉。快递小哥一天早出晚归，辛苦工作最后也赚不了多少钱。但一个投诉却可能被罚几百甚至上千元。而正因为这个小区住户频繁投诉快递员，所以没有人愿意为他们派送商品。圆通负责人对此深以为然，并补充道送到这个小区的快递总丢，一天丢三四件，而这些损失都由快递小哥个人负担。其他快递员也回应有同样的遭遇，一个个叫苦不迭。听到这里，您不禁会问，造成快递经常丢失，快递员频繁遭受投诉的原因又是什么呢？原来，这家小区不允许快递员进入，另外，小区周边也没设置投放快递的驿站，这无疑给快递投递带来了很大困难。快递员无奈之下只得把这个小区的快递堆放在门口后再给取件人打电话，提醒他们领取自己的包裹。但是快递堆放在小区门口，也让另一个问题接踵而至。这个小区的大门常常被堆积的快递堵塞，因此导致居民进出十分不便。所以，小区住户就隔三差五投诉快递员，更有甚者还对快递小哥出言不逊。最后，快递员被彻底激怒，不同公司的快递员自发联合起来一致决定不为该小区的住户提供服务。面对这样的情况，快递公司负责人也对快递员深表同情和理解。他说干快递就是挣个辛苦钱，这小区钱不好挣不说还爱投诉，一个投诉，快递员基本就要白干好几天，这换谁也受不了。但凡被分配到这个小区的快递员，普遍没干几天就得辞职。快递公司没办法只能暂停对这个小区的服务。物业负责人则表示，他们已经在小区内找了存放快递的位置，可是住户不同意。对此，居民说道物业找的地方不合适，那是车位，堆了快递让我们的电车放哪？听了这话，顿时觉得快递公司拉黑他们的做法完全能够理解了。这里的住户属实让人无法招架。他们一边频繁投诉快递员，一边又不同意物业的解决方案，现如今又抱怨快递没人派送。物业负责人表示，他们同样也被小区住户接连投诉。物业了解到小区住户领取快递不便的情况，于是就打算占用几个公共停车位来建一个驿站。可住户因不满停车位减少，便经常在建设期间破坏驿站。于是，建设驿站这件事就被搁置下来了。为尽快解决此事，记者找来三方代表进行协商。协商过程中，物业负责人提出可以先建立一个临时的驿站作为过渡。可经过反复协商始终无法和居民代表在地点选取上达成一致意见。偌大一个小区，真找不出一处合适的地方存放快递吗？协商场面一度陷入僵局，此时，一名居民代表说我觉得问题不在于有没有驿站，而是你们服务不到位。别的小区建了驿站之后，就没有快递员送货上门了，而送货上门本来就是快递员的职责。如果住户不在家，物业帮大家收着不就好了。听了居民代表这话，瞬间在场的所有人都感到非常的无语。在此，小编觉得这些住户真的是精致的利己主义者，他们根本不去考虑5000多户居民快递的收发会给物业造成多大的麻烦和风险，更不体谅快递小哥需要上楼为他们送快递的辛苦和不便，只想着自己方便理所当然地要求增加他人的负担。即使记者从中沟通协商，可最后三方也没能达成一致意见，这个问题还是没有解决。而大家对于快递公司集体拉黑小区的做法又是如何看待的呢？点评一下还有更常见的一种情况小区住户不许运营商在小区里建基站，理由是有辐射。然后又投诉小区里信号差甚至没信号，要求运营商必须解决。可那辐射不就是电磁波吗？电磁波不就是信号吗？只要信号不要电磁波，只能去求上帝了吧？: 快递员频遭投诉,小区居民因不便提供服务。圆通负责人深以为然。
两广地区有回南天的说法，说的就是三四月份，天气极度潮湿的那种状态，不知道现在两广的情形如何，但是我在海南，觉得这几天真的开始难受了，雾气昭昭的，湿度很大，同时天气开始闷热，这种状态，人们往往又开空调，所以，寒湿、湿热往往混杂出现，身体弱的人，很容易感受外邪的。做为预防措施，我觉得但凡感觉自己脾胃有点不舒服的，闷闷的没有胃口，甚至有点恶心，有的还有点腹泻的，可以吃藿香正气胶囊，症状明显的按照说明书吃，如果做为预防，可以减少用量，比如一天就吃一次。这是我多年的经验，只要一到这种天气，吃一点，做为预防，很有效果。另外，此时做菜，可以放点胡椒粉之类的调料，十三香也可以，辣椒、花椒之类的可以吃点，用以振奋脾胃之气，祛除湿气。此时的饮料，可以喝点陈皮佛手之类的，行气祛湿，还可以煮薏米赤小豆绿豆等，祛除湿热，在东南亚，薏米饮料非常常见，我们这边也可以引进的。家里面，可以用抽湿机，现在这东西不贵，我每天卧室白天都抽湿，这样晚上睡觉被褥干爽，否则会感受到湿漉漉的潮气。闷热的天气，开空调是可以的，但是最好别太猛，别吹到自己，可以在隔壁房间开，然后门开着，让冷气渗透过来，我管这叫间接空调，效果可以的。另外这种天气，衣服要多备一点，外出一会儿就会一身汗，衣服湿透，如果进来就吹空调，寒湿会入侵的，所以要先换衣服，总之尽量不要穿湿衣服。我是北方人，应对这种天气，也是逐渐摸索，大家有什么好的方法，也可以在留言中提供一下，让更多人可以安全度过。: 北方人预防气候湿湿,可以吃藿香正气胶囊。
孩子拿竹签在行驶车上吃糖葫芦，妈妈在一旁笑的合不拢嘴，父亲开车不专心这一家人真是适合进一家门！车载娱乐: 家人开车不专心,拿竹签吃糖葫芦。
被清理编外人员的愤慨，为啥连煮饭阿姨都可以有编制，却要把他们这些干活的清退？近日，某网友在网上感慨，真是活久见，原来单位煮饭阿姨都有编制，一天忙的时间也就三个小时，其他时间都在刷抖音，看小说，听戏曲，没啥事，不去清理他们，却要把他们这些干活的人清退，就因为是编外？这位煮饭阿姨今年48岁，在机关食堂工作，年收入十多万，周末双休，节假日休，年假休、五险一金等等，全都和正式编公务员一样，不对，人家就是正式编制，不过干的是食堂的活，或者说，在食堂工作的公务员？他也是最近传出清退风声，有些郁闷，中午吃饭的和阿姨闲聊，想问问食堂招不招人，本来还开玩笑性质地说，等阿姨退休了，他要接她的班，才知道，这个班根本接不了，因为阿姨居然有正式编制。他知道后大为吃惊，一个200多人的单位，煮饭阿姨和师傅就有近20人，不知道里面多少是有编制的，这么整真的合适吗？这位阿姨说，她当年不到18岁就进的单位，一直在食堂工作，一晃在这工作了30年，再干几年就退休了，也算见证了机关的起起伏伏，哪怕让她去坐办公室，管个后勤什么的，她都不去，也不想着当领导，工资和大家一样，干什么要操心管那些？而且食堂这活真不累，又没人管，十分轻松，每天就早上、中午和晚上忙一会，帮着洗菜处理食材什么的，其他太累的活也不用她干，剩余时间自行安排，每天六点钟准时下班。这种清淡、悠闲的生活，竟然引发了很多人的羡慕，如果能有编制，不知道有多少人想去煮菜？最让人接受不了的是，有编制、稳定、不累也就算了，收入竟然和正式公务员一样，比很多编外人员高不少。本来就因为要清理编外人员的消息搞得心乱，和阿姨聊完后，心更乱了。: 机关食堂煮饭阿姨,年薪十多万,却被清退。
视频看完了，姑娘落落大方，对职业的认识很理性——一份工作而已，科学辩证地对待，哪有网络上这么多阴阳。有人觉得穿寿衣晦气、阴气，无非是接触到的生死太少，没有目睹过死亡，没有经历过死亡带来的冲击，对死亡仍有不忍卒视的忌讳和恐惧。换言之——忌讳以及少见多怪，是因为被保护的太好了。在我等医务人员看来，寿衣不过是往生者的一件衣裳，是更体面的裹尸布，如果硬要凹出一些意义——那就是给亡者更多的尊严和哀思。再往开了说，试穿寿衣真的不算什么，重症单元的护士老师们，日常工作之一就是给病亡患者做最后的清洁擦拭身体、清洁仪容、拔除医疗导管、穿上寿衣。犹记2020年武汉那个凄风苦雨的冬天，在新冠一线，一件件明黄色的崭新寿衣就那么随意堆在病床上，等待变成亡者最后的新装。逝者如斯，往事也如斯，唯有记忆永存。说起来，当年顶在一线为逝者着装的勇者，如今仍平淡地在临床上忙碌，时不时面对危重病人抢救，在生死的刀尖舞蹈。正值清明，死亡如风，常伴吾身。: 医务人员对职业的认识理性,寿衣不过是死者的一件衣裳。
女子称使用化妆品后流产: 女子使用化妆品后流产
4月4日，深圳市罗湖区人民检察院发布了一宗案件。2018年9月，郑某与女子阿靓发展成了男女朋友。2019年，二人分手。郑某分手后不甘心，于是把一段自己与阿靓的性爱视频发给了阿靓的朋友阿欣，并提出用2万元来换的要求。为了自己的视频不再外泄，阿靓向他转了2万块。2021年9月，罗湖区检察院以涉嫌敲诈勒索罪，依法对郑某提起公诉。考虑到认罪认罚、被害人谅解等情节，事后法院以敲诈勒索罪判决郑某有期徒刑8个月，缓刑一年，并处罚金5000元。齐鲁晚报@齐鲁晚报齐鲁晚报: 分手后将性爱视频发给朋友,男子敲诈勒索罪获缓刑一年,并处罚金5000元。
不想加班就拒绝，或者直接辞职，没必要恶言相向，更何况这个叫董俊的也只是个打工人，何必互相为难呢: 不要恶言相向,董俊只是打工人。
网友冬儿呓语@冬儿呓语的实名投稿骗子以办社保为名，骗了家里长辈十几万。我第一次听到这种骗局，不得不防。如果谁知道能怎么办就更好了。: 实名投稿骗子以办社保为名,骗了长辈十几万。
杭州连绵的阴雨让我们一键开启健康生活加油站踩爆家里的单身宅家做一次水氧换肤带娃一起运动起来椿姑娘在路上: 阴雨中的健康加油站
早上，在盂县人民医院附近看到的指示牌。希望针对新冠病毒的核酸检测，永远成为历史，随着2023年的春暖花开，彻底结束。想想上次做核酸检测，还是上一次。你还记得上次做核酸的时间吗？阳泉盂县人民医院: 盂县人民医院附近指示牌呼吁核酸检测,2023年春暖花开彻底结束。
催收告知被贴在墓碑前，真的是死了都不清净！到墓园去扫墓，发现有不少被催收管理费的墓主，一张张催收告知被贴在墓碑前，以3年为界，如果不续上管理费，将作无主坟墓处理。这个网友吐槽说自己父母的墓穴是在2008年买的，规定是健在的老年人，有一方年满80岁，方可购买墓地，当时购买的价格是人民币4万元不到，大概是09平方米。我姑姑的墓地离我母亲20米之内，2015年购买立碑，3穴墓、价格是12万元左右，还是通过熟购得。前几天，和老婆商量此次祭祀的日期与所需物品时，我跟老婆吹过风。我死后不买墓地，不开追悼会，随便找个地方，把骨灰埋了就行。生前就没钱，死了还要花10多万元买个埋小盒子的墓地，我可不干这事！有那钱，我不如在生前用来吃喝，干嘛在死后还去当韭菜！: 墓地催收告知被曝光,网友吐槽父母墓穴在80岁,购买价格不到4万元。
邀请新青年观看我们来看望您——2023崇尚清明祭英烈主题活动直播，向英雄烈士表达无限追思，继承先辈遗志，面向未来。: 直播预告:2023崇尚清明祭英烈主题活动
奋战一个月喜迎桃花节一天一个样一月焕新颜: 奋战一个月,桃花节焕新颜
4月3日，湖南长沙，网曝洒水车喷水驱赶商贩城管局会去调查核实处理: 网曝洒水车驱赶商贩
国人要永远爱自己的国家爱自己的家人，永远记得自己是中国人，永远不出卖自己的国家，不背叛自己国家。时刻准备着，绝不退缩，勇敢直前，为祖国而战！: 爱自己的家人,不背叛国家,勇敢为祖国而战。
癸卯年清明公祭轩辕黄帝典礼 一大早天未亮就出门，终于从西安一路赶车到了黄帝陵。稍后我将和新党前主席郁慕明先生一同登上祭台，代表在台湾岛内心的中华儿女，向中华民族人文始祖轩辕黄帝敬献花篮。央视四套、陕西卫视、台湾中视、海峡卫视等电视、网络频道930起全程直播，敬请关注。: 直播预告:癸卯年清明公祭轩辕黄帝典礼,郁慕明同登祭台,向中华民族人文始祖轩辕黄帝敬献花篮。
4月5日，平安温州@平安温州发布警情通报3月31日，接我市居民报案称，其女儿(金某，20岁，浙江温州人)在泰国被绑架，绑匪索要50万赎金。接报后，我市公安机关依法立案侦查。经工作并通过国际警务合作渠道获悉，人质已遇害，3名中国籍男子具有重大作案嫌疑，已从泰国乘飞机返回中国。4月3日，在公安部协调指挥和河北公安机关协助下，3名犯罪嫌疑人陈某康(男，22岁)、周某甲(男，24岁)、周某乙(男，22岁，均为河北邢台人)在湖北襄阳被抓获。我市公安机关已将3名犯罪嫌疑人依法刑事拘留，案件正在进一步侦办中。: 温州3名中国籍男子在泰国被绑架,已被警方刑拘,案件正在进一步侦办中。
他们以另一种方式与我们同在。你以青春，守我山河我以你名，共见繁华。: 青春,守我山河,共见繁华。
我刚发了朋友圈蹲一些对号入座其实我对一些煞笔领导，哪怕四五十岁的都不会惯着，毕竟是能当面和四十多大主任在办公室激情开骂的人。也是打心里真烦那些扯虎皮拉大旗爱装逼的人。: 批评领导时对号入座,打心里烦扯虎皮拉大旗爱装逼的人。
因电车没装踏板，和气解释的女子，被几个城管像抓狗一样的粗暴按在地上！在城管眼中，中国人是什么？骠骑尉松亭先生: 城管粗暴按在地上
当扫墓变成科技狠活、焚香献花变成线上支付，这种形式的清明祭祀，你能接受么？: 扫墓变成线上支付,你能接受吗?
上上上上级指定要他升做这个部门经理，似乎也算是公司的一次完美危机公关: 公司危机公关:部门经理被指定升为部门经理
4月4日，河南新乡，泪目！清明前夕，肖思远烈士父母带着果冻和泡面来祭奠儿子，前天梦到思远说想吃方便面了！: 河南父母带果冻和泡面祭奠儿子,思念思念肖思远烈士父母。
