结局让人舒服！这精神状态进去不得尿检一下吗？: 精神状态需尿检
1997年10月8日12时许，南京警方接到群众报警称，栖霞区居民朱某一家三口在家中被人杀害。接报后，警方立即组织警力开展侦查工作，但受限于当时的技术条件，案件一直未能侦破。今年年初，南京警方通过现代刑事技术手段，成功锁定当年实施抢劫杀人的两名犯罪嫌疑人。不久前，犯罪嫌疑人董某、谢某均被抓捕归案。: 南京警方成功锁定杀害一家三口犯罪嫌疑人。
对很多年轻人来说，现在生活成本太大、房价高、身心俱疲等等都是阻碍生育甚至是重视避孕的重要因素。当代适龄婚育青年对养育孩子有了自己更深刻的思考。他们知道自己想要什么，他们知道自己为什么而活。现在的工作压力让他们无暇顾及生活以外的事情，不可企及的房价和生存压力让他们自己都透不过气来，他们不想让孩子也面对这样的生活。生育后代应该是一个成年人基于现实情况、充分考虑后的负责任的行为，而不是一种迎合社会、长辈和配偶要求的被动结果。对于想生的人来说，达到一定条件自然会生了。对于不想生的人，可能怎样的鼓励、激励也无法改变他们的想法。: 婚育青年对生育问题的思考,认为房价和压力阻碍生育。
奇葩男子因烤鱼更好吃而拒绝买单？看店家如何回应4月2日，男子因烤鱼店烤鱼味道比十几年前更好吃而拒绝买单，今日，店家霸气回应，好不好吃，味道变没变，你们说了算，直接请全重庆人免费吃烤鱼。谭记王店家谭姐表示，很欣慰能够记住谭记王这么多年，一直坚持专研味道，创新菜品，从之前的一种口味到现在的12种口味，还在2022年评上了非遗技艺，被央视大国匠心平台邀请。但更让谭姐欣慰的是，大家都亲切称呼谭记王烤鱼为重庆大学的校外食堂，活鱼现杀现烤，价格实惠，深得喜爱。谭姐非常感激新老顾客的铭记，能有今天的成绩，都是大家的支持，4月14日，谭姐霸气宣布，十万斤烤鱼请全城，每桌赠送指定烤鱼一条（酒水，饮料，餐位费，其它菜品自付）重庆谭记王万州烤鱼(沙坪坝总店): 男子因烤鱼更好吃拒绝买单,店家霸气回应,赠送十万斤烤鱼,感谢新老顾客支持。
推荐一篇好文章文章写得好不好？不在于作者是谁，也不在于发表在什么地方，而是若干年后拿出来看有没有道理？也就是能否经得起历史检验？下图文章的作者是主流媒体的高级编辑，面对前年八月发生的五起社会热点发表了极为冷静、理智的观点，尤其值得点赞的是站在主流媒体高度对事件发展走向和社会效果承担责任。该文的重要观点有——主流媒体不要被热点舆情牵着鼻子走。注意突发舆情背后的动因，警惕水军精准策划背后的图谋。面对民意浪潮必须坚持鉴别证据。面对民意水分，主流媒体必须经过背景调查和证据甄别才能发声。不止于表象，不拘于当下，深度思考。紧跟新闻热点但不拘泥于热点本身，透过现象看本质，透过当下看长远。热点舆情面前主流媒体任重道远，冷静与公正才是最可贵的本质面目。建议大家认真阅读，尤其建议管意识形态的高级官员和顶层官媒编辑认真阅读。值得指出的是该文写于2021年9月，如果当时所有主流媒体的编辑都这样清醒睿智，那么，有的事就不会发生，有的事一定会出现。前者如助推黑公关，引领偏执爱国人士扛大牌，误导舆论主流社死无辜爱国青年，后者如广大网民期盼的公平正义。: 推荐文章:主流媒体不要被热点舆情牵着鼻子走,警惕水军精准策划背后的图谋,应经过背景调查和深度思考,冷静与公正才是最可贵的本质。
要求统一思想是最荒唐的！别人的思想应该是自己独立思考的产物，凭什么要与你统一思想！以前不是还宣传百家争鸣，百花齐放吗？思想统一了，只有一种声音了，怎么百家争鸣，百花齐放？: 统一思想是最荒唐的,别人的思想自己独立思考的产物。
没有国家主权，就没有人权。一些学者被国外的学说洗脑了，认为人权高于主权。主权解决的是生存问题，人权解决的是生活问题。可以说生存的目的也是为了更好的生活，主权服务于人权，没错。但是不解决生存，生活无从谈起。覆巢之下，焉有完卵？皮之不存，毛将焉附？: 学者认为人权高于主权,不解决生存问题,生活无从谈起。
吗的，姐三十八码大脚把店家一脚踹飞: 吗的姐踹飞店家
没有担当没有实力的不能生了吗，意思是实力的人比有担当，你要实力的就生的什么都不是吗，没意思傅家三岁: 担当没有实力不能生,有担当才有实力。
瞎聊两句啊，我感觉最近国内物价有点厉害？连着接待了几位来玩的朋友，纷纷表示日本一切都太划算。大家态度像是来自迪拜，直接把我吓呆了。带朋友去米其林二星餐厅，最贵套餐人均1000元，吃完又去一家甜品名店，人均80，朋友连连感叹真是好便宜啊。他又随手一指，问这里市中心房价多少啊？我说如果是稍好的，差不多500—1000万吧。朋友大惊，这也太划算了吧！朋友说，国内日料店好点的人均要两三千，咖啡甜品店人均一百左右，中档餐厅吃饭一不小心就是五六百。东京的人工水电食材都比国内贵，怎么算下来比国内还便宜？？听到这里，我不禁满脸通红，双手搓着红领巾，惭愧地低下了头。给大家看看最近我吃的一些餐厅，朋友羡慕疯了，说国内至少贵30。我也觉得有点奇怪啊，就算全国收入最高的上海，最低月薪只有2590元，而东京的最低月薪是1万元左右怎么消费突然猛烈起来了？可能这波只嘎高消费群体？: 感叹国内物价厉害,日本咖啡甜品店人均消费超百万。
小紫，你好闹个磕，感觉自己挺傻的，21年被刷单骗了八万多，然后不敢告诉家里人，自己就在网上的平台上借钱，拆东墙补西墙，就这样一直拆着，拆到现在变成了快二十万，对于我来说，这就是一个天文数字，有的时候真的觉得人生无望。一步错，步步错，在医院上着班，拿着三四千块钱一个月的工资，人生真的不知道什么时候是个头，19年父亲得癌症去世了。人没有了，钱也没有了，这件事情更加不敢告诉老妈，生怕她受不了刺激，如果当初的自己没有想着刷单钱来的快。现在又怎么会变成这样呢，天上哪里会掉馅饼，只有陷阱: 女子被骗8万,自己拆东墙补西墙,变成快二十万。人生真的不知道什么时候是个头。
3个年轻人20万开店卖汉堡，日营业额79块。这个热搜，几乎所有人都在嘲笑3个年轻人。其实做生意，都不是这样过来的吗？我刚开厂也是先亏得一塌糊涂，大多数人一开始都是失败的，摸爬滚打过来的。就算一开始成功，很快还是会亏回去的，把没交的学费给补上。人生没有白走的路，第一桶金赚教训，第二桶金赚认知，第三桶金赚核心竞争力。我相信这里所有的老板，应该感同身受吧。: 年轻人开店卖汉堡,日营业额79元,老板应该感同身受。
广东广州，男子骑电动车鬼鬼祟祟上了立交，一开始以为他想超车，结果网友不是公交车司机不地道，已经给他提示了，只有069的成功率。: 男子骑电动车上立交超车成功率低
我先不吐槽卢麒元那个前28年平均工资35，我刚打电话问我爹，他很确定参加工作的那会，他那会是公务员，是20多块钱。我不知道前28年是怎么个平均工资35的。至于过去35块钱养活一家人，现在6000块钱租不起房子至于住房，如图，这是我小时候住的地方。一个小镇。这房子绝对算好的。我家只能住一间房，厨房厕所全是公用的，原先院子里面有个压水机，单位所有的人都在那边洗菜。我不想说什么自行车，电视机之类的，我就说住房。这房子你住？这房子在市场上能租多少钱？武汉现在都有没拆迁的那种80年代的房子，破烂的跟什么似的，我相信各地都有，那房子能租多少钱心里没数？我们这一代还没死，所以还能给你讲真实故事。等我们这一代死了，不知道有多少人开始在哪张口就胡来。忽悠死后一辈的。: 前28年平均工资35的卢麒元,推测武汉80年代的房子能租多少钱。不知道有多少人忽悠死后一辈的。
啵报 新时代是奋斗者的时代，更是青年人担当作为的时代。青年应敢于担当、志存高远，开拓进取、奋力前行，肩负起一代更比一代强的责任，锻造精彩人生，用奋斗点亮青春之光。: 青年应敢于担当、志存高远、开拓进取,用奋斗点亮青春之光。
外婆所在的村位于安徽省安庆市，临江而建。去年过完年，我决定回乡下陪外婆住几晚，顺便感受下村里老人的平静生活，却惊讶地发现，像外婆这样的七旬老人，以及她的同龄人，他们选择就近打零工，为了打发时间、赚取收入，也为了给下一代减负。村里在家居住的60岁以上的老人有350人左右，一般打零工的老人年龄主要在60至75岁，身体还算康健。自2016年起，村里的农用地一片片由村合作社流转，被人承包搞种植。这意味着，留守乡村的老人不再能通过种地获得收入，同时闲暇时间也多了。外婆不会用手机，家人给她备了一只老人机，教会她接电话，她让我把电话号码写在一张纸片上，这样农场老板需要小工时可以联系她。最受老人欢迎的工作是去城里栽花种树。由于城市快速扩张，有人把村里没有工作的农村老人带到城市绿化带或工地栽花，每人一天70元。老人都很乐意去，相对种田来说，栽花轻松，工资还能按日计算。2018年夏天，我回去看望73岁的外婆，第二天她刚好要去城里栽花。担心来不及，她凌晨三点起床准备，吃早饭、打扫卫生、喂鸡，都弄完了天还没亮，距离出发还有一个小时。她就坐在厨房等，怕费电，也没开灯。快到时间了，我陪她一起去乘车，结果到了车跟前，组织方说这天人够了，她只得默默回去。前几年外婆也去栽花，每天天不亮就起来，忙到天黑才回家。但后来别人开始嫌她年纪大，不要她，导致她整日烦闷。每当傍晚她看到邻居从城里种花回来了，不免感叹，人家都在栽花赚钱，自己却在家闲着。目前，老人的收入主要是地租和新农保补助。农地被承包，每年按亩补偿，外婆和及其他子女的地共有两三亩，共有地租约一千多另外，从2012年起，新农保惠及农村老人，一开始每人每月55元，逐年增加，今年已增加到6065周岁是135元月，每10岁的梯队递增5元按规定，外婆今年可望从新农保拿到1740元。除此之外，她的生活主要靠子女补贴和自己打工。外婆生了五个女儿和一个儿子，他们都在本市打工。她的衣物也都是子女买的。做小工赚的这些钱对于求医看病简直是杯水车薪。外婆的牙齿不好，每次我说带她去看牙齿，她都坚决不去，因为要花许多钱。平时种菜，她要买肥料，买种子，这些也都不会开口找子女要。在她看来，一代人有一代人的压力，子女也要努力工作给孙辈买房。在我记忆中，外婆一直是一头银发，后脑勺扎着两个少女时期的小辫子。前两年，为了让自己看上去年轻些，她还让女儿帮忙染了一头黑发。今年我以为她肯定没希望找到小工了。没想到昨天晚上，她去邻居家转了一圈，居然又给自己找到活，决定第二天早上六点坐车去栽花。那天晚上她很兴奋，一边想着如何安置我，一边收拾行李。她拿出饭盒、水杯、栽花工具，又找到很久没用的消防头盔，用刷子刷得干干净净。那时天还没亮，她就每分钟喊醒我一次，说她要走了，让我离开时关好，到六点，她出发了。更多详细内容请查看原文: 留守乡村老人回乡种田,每年有350人左右,外出打工和外出打工,留守老人的收入逐渐增加。
又一未来社区，开启数智新体验 随着社会经济的不断发展和科技的不断进步，人们对于居住环境的要求也越来越高。未来社区，作为一个高度数字化的社区形态，将成为人们理想居住环境的代表之一。清风社区地处老城区，环境优美，周边配套设施完善、出行便捷，但数字化能力薄弱，居家养老、政务服务、停车问题、社区文化以及生活便利是居民关注和期待解决的问题。又一未来社区，开启数智新体验！: 未来社区数字化,成为理想居住环境代表。清风社区数字化能力薄弱,居家养老、政务服务、生活便利。
时隔七年的回复可以说是很意外了，顾客真诚地评论，餐厅老板也是记在了心中，感觉真诚的力量是无尽的！！: 餐厅老板七年来回复真诚
这应该是海南省颜值高、技术内涵很强的信息化展厅了。: 颜值高技术内涵强的海南省信息化展厅
4月10日，发改委发布《关于防止和减少餐饮浪费的公告（征求意见稿）》。其中提出，减少宴会餐饮浪费。承办宴会（一般指五十人以上用餐且多桌使用同一菜单，下同）的餐饮企业应严格遵守反食品浪费要求，适量合理搭配宴会菜单，并明白标量。承办宴会的餐饮企业与消费者签订宴会服务合同时，应单列反餐饮浪费条款，承诺履行以下义务（包括但不限于）允许消费者从零点菜单等各类菜单中自主选择宴会菜品允许消费者选择不同规格、分量的宴会菜品允许调减宴会套餐菜品，并按菜品原价或参照套餐折扣价减免相应费用配备公筷公勺公夹，餐后主动提醒消费者打包，主动提供环保打包盒（袋）。鼓励承办宴会的餐饮企业提供宴会分餐服务。有关部门对宴会套餐特别是酒店宴会套餐、单桌1500元以上（不含酒水）宴会套餐实行重点监管，适时抽查宴会套餐及套餐菜品是否明码标价、是否明白标量、是否质价相符、是否存在明显浪费情况，抽查餐饮企业是否违规设置最低消费。: 发改委:承办宴会应严格遵守反浪费要求,允许消费者自主选择菜品并允许调减菜品。
分享国家发改委单桌1500元以上宴会套餐拟被重点监管: 发改委将重点监管单桌1500元以上宴会套餐
4月11日，江西南昌。一周内连续有3个老师给女孩妈妈反应女孩学习态度有问题，妈妈下定决心给孩子请假，带她去捡垃圾。为了让孩子知道生活的不容易，早晨不让吃早餐，叫孩子用卖垃圾赚的钱去买，任凭她一直哭也丝毫不在意。最后孩子用满满一袋垃圾换回了一个馒头和靠劳动赚钱的快乐。网友我正愁不知道怎么样治我孩子，现在有招了: 妈妈带女孩去捡垃圾,让孩子知道生活不易。
被騙了，該報警報警，該挨罵挨罵不想挨罵，打算自己扛過去，也是一種辦法但東拉西扯洋洋灑灑，又是反思又是感慨其實，就是一種包裝精美的迴避問題[傷心]: 被警队扛<unk>,感慨包<unk>避<unk>
为什么现在年轻人不愿意生育了？因为高昂的生活成本，畸形的教育成本，还有无穷无尽的加班都是这个社会强行给年轻人灌下了避孕药。1先说说教育成本。以前我们总说寒门出贵子，因为以前寒门的孩子相比之下成熟的更早，也更懂事，虽然教育资源在过去也有差异，但自己付出更多的努力，依然可以逆袭。如今呢，教育成本和教育资源的两极分化一直在不断加剧。从怀孕开始就不能输在起跑线，各种胎教不能少。而学区房的价格可能是某些家庭全家之力一辈子的收入，孩子读书后更是需要各种培优班，我身边同事告诉我，她家小孩学了钢琴，胡琴，绘画，马术现在小孩不仅要学习好，还要会各种乐器和其他才艺，不少升学率高的学校在招生时还需要学生会各种才艺。是孩子和家长希望这样？很多家长也不愿如此。但你不这样做，别人做。你家孩子只能被远远甩在后面。这也是一种内卷吧！这样的教育竞争背景下，手握更多资源的家庭，在教育上就是可以碾压绝大部分的寒门。让很多人不得不感慨，如今是寒门再难出贵子。没有一个父母不希望自己的子女能出人头地，没有做好足够的资源准备，他们怎么敢随意生下孩子？2再谈谈工作。早出晚归996的工作，更是让很多年轻人只能在每个深夜拖着疲惫的身躯回到家里，只想一个人静静的休息，因为只有这片刻属于自己，这种疲惫让一些年轻人失去了趣，也让这些年轻的父母很难有足够精力去辅导孩子。以医生这个职业为例，上班时间根据不同科室要求不同，一般从不等，而下班时间更是从来没有一个定数，特别是对于外科医生而言，由于手术的不确定性，下班时间到半夜或者凌晨也是常态。请问谁接送孩子？谁为孩子准备一日三餐？谁给孩子一个有陪伴的童年？所以这也是为什么越来越多的家庭养育孩子难以离开爷爷奶奶外公外婆，看看幼儿园和小学的门口，大多都是一群老人在那里等待孩子放学，因为这些为了生存而打拼的年轻人真的力不从心。3购房压力这可能大部分人经济压力上最大的环节之一。年轻人在最需要钱的时候拿着人生中最低的工资收入，但却面临着各种压力，比如工资永远追不上的房价，有的人几年的工资只够买一个厕所。对于不少人来说，在目前没有孩子或者只有一个孩子的情况下，买房已经需要花费两代人的积蓄，三胎政策对于这部分群体也来说有意义吗？一旦养育三孩，对于房屋面积的需求将大大提升，他们买的起吗？年轻人提出这些疑问、困惑和压力，不是想所谓的衣来伸手，饭来张口，我们只是希望自己不是生育的机器，我们希望，我们的需求，我们的困难也能被看见。而不是被一些人指责说看，现在年轻人多没责任心，只想着自己舒服，连孩子都不愿意生。相反，正是因为我们对自己的下一代充满着关爱和期待，所以，我们希望这个社会能给我们和我们的孩子们更好的生长和发展空间。毕竟，我们想要的是生活，而不是简单的生存。: 年轻人不愿生育,教育成本不断攀升,年轻人在需要高工资时仍需努力,但教育成本仍需不断攀升。
敢生仨的基本上都是有钱人家，只敢生一个的除了少生精养的家庭，基本上都是没钱的，没管一胎，就惦记着三胎了，更是把钱给了有钱人，在有钱人眼里一看，还是小钱。: 敢生仨的都是有钱人家,没管一胎,惦记三胎,把钱给了有钱人。
日前，上海老夫妻搬家，在网上搜索了排在第一位的公司。而在报价近6000元情况下，最后实际付款时却要求老夫妻支付元，是最初报价的7倍，其中一些项目的收费更是高得离谱。从糖果刺客、雪糕刺客到水果刺客等。如何看待现在各行各业的刺客？: 上海老夫妻搬家公司报价高,实际付款要求老夫妻支付元。
深圳体制内家乡体制内: 体制内家乡体制内
4月11日，四川达州宣汉县一高层建筑突然垮塌。据悉，涉事楼房为危房，据目前了解可能没有人居住。发生垮塌后，房屋所在地已经被封锁了。目前相关部门负责人均已赶往现场，具体情况仍在核实当中。此外，当地消防相关负责人也表示，消防救援力量已到达现场，具体情况还在进一步了解中。: 四川达州一高层建筑垮塌,涉事楼房为危房,房屋所在地已封锁。
最近，许多上海市民开始在小区里或一些公园里闻到每年一度的难以形容的腥味，没错，石楠花盛开了。其实石楠花优点众多，不仅一年四季都具有观赏性，而且还能驱蚊。: 石楠花盛开了,一年四季都有观赏性,还能驱蚊。
4月10日，浙江。混血儿子调皮打妈妈，被爸爸当街教育。网友教育和国籍无关。: 儿子调皮打妈妈,被当街教育。
这次遇到的无助感空前巨大。希望有所转机中国警方在线@中国警方在线公安部刑侦局@公安部刑侦局内蒙古警方511@内蒙古警方511鄂尔多斯警方@鄂尔多斯警方东胜公安警务督察大队@东胜公安警务督察大队人民日报@人民日报央视新闻@央视新闻平安内蒙古@平安内蒙古大江晚报@大江晚报澎湃新闻@澎湃新闻安徽商报@安徽商报人民日报@人民日报新华社@新华社新华网@新华网人民网@人民网新京报@新京报凤凰网视频@凤凰网视频法制日报评论部@法制日报评论部小康杂志社@小康杂志社极目新闻@极目新闻江西卫视@江西卫视都市现场@都市现场小强说9090@小强说9090新闻姐@新闻姐孙海洋一家人@孙海洋一家人上官正义@上官正义: 警界人士呼吁加强无助感防范行动。
大半夜的反黑效果居然还不错秒成功29条: 半夜反黑成功29条
玩了一会，我觉得这个家伙很聪明。: 聪明宝宝
1011似了 你是否厌烦了小鬼跳脸？你是否看过钟爱的作品被融成湿块？你是否曾目睹女神被喃跳脸愤然退圈？无需手机验证码，点点下方小链: 1111似了,是否厌烦了小鬼跳脸?
中国互联网能弯道超车美国，是因为上个十年和我们第一个五年，我们很宽容，对互联网行业采用先发展后管理的方法，允许一定的容错率对新事物有耐心，给试错成本，新事物才能成长起来，然后再管理也不至于扼杀，而不是在最开始的成长期就管起来，那样很容易扼杀可能是太不可控了，我们这次对不像以前那样先发展后管理了唉，中国能在领域对美国弯道超车吗？: 互联网先发展后管理,中国能弯道超车吗?
412任务逐条点击一下咔，谢谢大家: 感谢12任务
给早起的各位记得去看天草蒋芸的香港五天游上 香港迪士尼红馆张国荣纪念音乐会: 张国荣纪念音乐会,纪念五天游。
重要新闻网信办的《生成式人工智能服务管理办法（征求意见稿）》总结一下1、想提供服务，要先报备。2、使用别人服务，要实名。3、要采取措施，防上瘾，防沉迷。4、用户生成的内容违规，要封号。5、平台生成的内容违规，要3个月内修复，违法的话，追责。6、提供的东西必须真实准确，不能用生成虚假内容。7、平台方不能留存用户的输入，不能根据输入给用户打标签。8、提供服务给中国境内人用，就得遵守这个规定。9、离线的不管，不上线就没事。10、国家支持这个领域，搞这个不违法。如果你有反对意见，可以去官网邮件信件方式递送，意见反馈5月10日截止。: 生成式人工智能服务管理办法征求意见,提出8条建议,规范服务流程,防上瘾、违规、封号。
传下去，鹅连夜写的剧本，哈哈哈哈哈: 鹅连夜写剧本
这位亲，感谢您的关注。但我们是动物园，不是真的动物园啊爱莫能助啊！: 感谢您的关注,但动物园不是真的。
可用的国家地区列表和不支持国家的地图地区。红色为不可用地区，如果不可用推的国家地区的话，那就更呵呵呵了。: 支持国家地区列表,红色不可用。
211631说 请看拍一下演技高光时刻: 161631演技高光时刻
投稿想小小聊一下绘画。事先声明绘画最大问题在于训练集来源没有授权，在版权上有很大问题。只是想说明绘画不是所谓的尸块拼接，而是解析图片之后自习生成噪点进行图片生成。不那么精准但是更简单的说，人类肉眼看了一百张关于腿部的图，基本就理解了不同角度的腿是什么样子，同理，精准解析了一百张关于腿的图，它也会知道腿这个对应的像素分布规律并由此在一定范围内生成，而不会从其他图片抠来像素生成，一个不发生过拟合的模型生成的图，最终成图是从这一百张图得来的，但是和这一百张图比对，都不会有现有绘画定义上的抄袭。: 绘画不是尸块拼接,而是解析图片生成噪点。理解不同角度的腿是什么样子,精准解析百张关于腿的图,知道像素分布规律。
假如某天你在首页看到一条视频《当主100天的感受》，你点进去看发现还挺有趣的，于是你点开主的头像查看的投稿列表，结果你看到了接下来令人震惊的一幕《当主第1天的感受》《当主第2天的感受》《当主第3天的感受》《当主第4天的感受》《当主第5天的感受》《当主第6天的感受》《当主第7天的感受》《当主第8天的感受》《当主100天的感受》更奇怪的是，这些视频本身还并不是滥竽充数粗制滥造的，视频竟然真的很有趣！那你会觉得这是个什么样的主呢？: 当主100天的感受,视频很有趣。
都没注意自己变成红了，感谢大家的资瓷: 感谢大家的资瓷
我发现打车平台扣款也是相当多。早上打了一个车，司机收款47元左右，我付款65元左右（不算高速费），相当于平台在中间扣款18元左右。如果按照利润比例来计算的话，平台在这单中的毛利达到27左右。27的毛利，不论放到哪个行业，都算是比较高的数字。从某种程度上来讲，可以算是暴利了。: 打车平台扣款高,毛利高达27。
谢谢你，就突然不知道该怎么说了（泪目。嗯，希望大家都可以顺顺利利。: 谢谢你,顺顺利利
才51个小可爱填了地址[裂开]蜜月之前怕是来不及发货了[裂开]快去看看自己有没有中，抓紧时间填信息哦: 51个小可爱填了地址,准备蜜月发货。
有点烦现在这个把我根本没关注过的人推到我首页的功能，我不关注他们的原因就是因为不想看，懂不？！？！: 不关注首页的功能,因为不想看。
工业互联网示范案例解读（二） 工业互联网深度融合工业技术与网络技术、大数据、云计算、人工智能等新一代数字技术，推动工业企业向数字化、网络化、智能化转型，是第四次工业革命的关键支撑。中国联通中南研究院始终站在创新发展前沿，持续推进工业互联网建设，本篇将重点解读辰州矿业5无人运输案例，展示工业领域数智转型成效。联通中南研究院工业互联网示范案例解读（二）: 工业互联网示范案例解读(二)工业互联网深度融合技术、大数据、云计算、人工智能等新一代数字技术,推动工业革命,中国联通中南研究院持续推进工业互联网建设工业互联网。
打开自己的主页发现又被禁言了，（但我现在是有三个号的人: 个人主页被禁言
在中国不可能有发展。就不说电池储能这块儿的所谓新能源了。就说，前驱的模型，这个主要靠广泛的数据抓取 不断完善进化，你认为在一个发个微博就能莫名其妙404的地方，有这种的进化空间吗？是未来世界的发展方向，但是跟这里没关系。: 中国新能源领域存在前驱模型,靠广泛数据抓取进化空间。
绝世可人儿的微博直播: 微博直播世可人
最近，关于到底能不能代替人类的话题热度不断，飞猪在上海杭州等地投放的广告，又为这个热度添了一把火！从技术层面来讲，飞猪广告里产出的画面创意超过了不少广告行业的新手小白，甚至超过不少在圈内混资历不提升技术实力的老油条，这无疑会给一部分人带来危机，而且从成本角度看，对比人工有很大优势，虽然很残酷但也是事实，这对于行业内一些浑水摸鱼的插画师、设计师，肯定是会有威胁性的，但对于另外一部分真正有想法的创意大佬来说，又是一个证明自己实力的机遇。当然，焦虑是对的，除去广告，更应该焦虑的是程序开发、简单文案、一些传统化程序化的工作。或许会取代一部分工种和工作，但无法战胜人类的所有。曾经强大的横扫围棋圈的，在与棋手的对决中，依旧被人类战胜过，就像小破球里说的让人类永远保持理智确实是一种奢求，但正因为如此，人类才强大，因为人类除了可以保持理智之外，还拥有算法无法预测的思想和情感。你们觉得呢？你们觉得未来和人类会是一个如何的关系呢？: 飞猪投放广告的焦虑和焦虑,可能成为取代一部分工种和工作,但无法战胜人类的所有。
您好围脖侠@围脖侠微博管理员@微博管理员蔚蓝计划@蔚蓝计划娱乐生态观察站@娱乐生态观察站我要投诉以下用户（互动，点开）以上用户多次被禁言，仍在无关词条大量辱骂造谣艺人，试问平台为何不封号处理？1在社会话题中为了蹭热度，博眼球，多次拿无关艺人造谣，使用换头图，对艺人侮辱谩骂！2恶意图，给艺人造黄谣，多次传播不实信息3在词条下发布大量侮辱谩骂言论，引发群体对立（且多次辱骂多个艺人）4以上两个用户多次违规被禁言，为何还不封号处理以上用户严重影响网络健康环境，请平台响应清朗活动的号召，依据《微博社区公约》对违规内容进行删除并禁言封号，共同营造良好的网络环境。: 微博管理员投诉用户多次被禁言,呼吁平台维护网络环境。
2143来信 社区群日常: 社区来信及日常来信
叮元气兔围必修课即将开课啦！，共6期，上课答题就有机会赢得元气大奖！我们的开课时间是4月14日，第2期融融四月，一起来: 叮元气兔围必修课即将开课,答题赢元气大奖。
走过路过的停一下看看来自网友的温馨提醒请立即关闭拼小圈: 呼吁关闭拼小圈
不利用生成内容损害他人形象、名誉以及其他合法权益。更多事关生成式人工智能服务，国家网信办公开征求意见: 提供生成式人工智能服务,损害他人权益,国家网信办公征求意见。
看来我的号也要被炸了图二就不回应了: 号被炸,不回应
我个人判断的终局。如果高科技行业差12年基本没有追上的可能性，参考百度和搜狗，360的搜索之争。未来一定是洋人的大模型不给我们用，我们也会禁用，国内形成祖国版大模型厮杀服务普人服务个别精英的局面。按照本科率4估计国内能用上的人最多200万人其余5000万人用祖国版大模型目前30多个团队分5000万人每个团队抢到200万人是及格线。1000万人基本是前三每个人头上收100元羊毛每年，也就是10亿到头了。: 祖国版大模型将引发搜索之争,国内使用者最多200万人,每个团队可抢到200万人。
这是我见过的最有水准的获奖感言了: 感言获奖感言
4月已经过去三分之一了，第1名和第2名只差有点期待了，看看是哪位中66和666块只要前100就有奖励！没进前100名的宝，还有19天现在冲还来得及哟[开学季]: 前100名有奖励,冲前100名还有19天。
笑鼠一不小心点到号，感觉模糊的有点好看就顺手截张图，才发现我的头发这么红呀: 误点图片发现头发红
4月订阅奖励预览，订阅地址已更换: 订阅奖励预览,地址已更换。
最近有个别私信反映点时发现被拉黒的情况，哎哟想说明一下情况哎哟不等于 去的都是哎哟的人如果发现自己被拉黒，请先检查自己有没有拉黒对方，反映给哎哟的，哎哟都会尽力协调，也希望私信的宝子能积极配合。哎哟从未号召过空、的某些苹论，所谓下群点的锅哎哟不背！哎哟也从不站队粉圈内斗，哎哟是散粉组织，但不代表所有散粉都是哎哟成员，个人想法只代表她自己与哎哟无关。有些问题老生常谈说了很多次了所谓属性，所谓送，此处不再赘述。哎哟开放私信是为了能更高效的处理黒等问题，但最近发现无意义的私信越来越多，已经严重影响了正常投稿接收，因此再次说明[老师好]: 被拉黑事件再次说明,希望私信能积极配合。
胡说八道拦不住？没满月的360默默承受老父亲的严厉！短的发布会: 360发布会默默承受父亲严厉打击
不知不觉粉丝破5啦！！！真的太感谢各位小伙伴的支持了！等我整理个大福利感谢大家另外破万的话会补发月份汇总和删掉的资源等我弄好发: 粉丝破5,感谢支持,删掉资源。
我一个在服役过的老兵都搞不动这个一博为了长空之王也是够拼的[送花花][送花花][送花花][送花花][送花花]: 服役老兵拼长空之王
无畏追梦，始终热烈。夏天就是要热烈，7月28日和陈烁王一博@王一博一起燃一夏！: 热烈夏日,陈烁王一博一起燃一夏
首映礼，深海小队齐聚北京首映礼现场，向全国观众推荐这部充满诚意与热血豪情的电影！4月15日，来敌必歼，亮剑海空！: 深海小队北京首映礼现场推荐
从历史上看，文明的命运取决于人类的选择。5月10日，和小破球一起将中国科幻的奇观与浪漫带出国门，一起坚定地选择希望，相信会再次看到蓝天，鲜花挂满枝头[流浪地球2][流浪地球2][流浪地球2]: 中国科幻奇观与浪漫带出国门,希望再次看到蓝天。
主人在哪里，狗狗的心就在哪里: 狗狗的心在哪里?
电影《流浪地球2》延长上映至5月15日。: 《流浪地球2》延长上映
电影《深海》的导演田晓鹏称深海还差1亿回本！该电影成本33亿，宣发17亿，目前票房92亿，除掉片方的36亿还差1亿才能回本！而同样差不多票房的《无名》成本3亿，目前票房93亿，而宣发远超过深海具体多少目前不可知，片方分成336亿！也就是说无名也同样亏本了？: 电影《深海》导演称深海还差1亿回本
暴风首映发布会高清10 [送花花]再次一起大声喊！[送花花]月14日去电影院！[送花花]一起去看陈家栋！摄珊瑚舞修除威廉陈伟霆@威廉陈伟霆外，一切禁。: 暴风首映发布会高清10,威廉陈伟霆等出席。
每一位试飞员都值得尊重！每一位敬业的演员都会得到观众青睐！为身体素质达标背后付出如此努力，期待《长空之王》上映: 敬业的演员期待《长空之王》上映
制图陈飞宇的宇宙碎片集@陈飞宇的宇宙碎片集: 陈飞宇的宇宙碎片集
