机场航站楼门口偶遇鞠婧祎鞠婧祎这腰比我腿都细本人真的好美！！: 机场偶遇鞠婧祎
好郁闷名义上的兄弟姐妹，这岁数可以当爸爸了[喵喵]: 兄弟姐妹这岁数可以当爸爸了
】近日，湖南株洲，男子冬泳时被废弃渔网缠住，反复尝试挣脱不开，体力不支被困冰河。消防员赶赴，携带刀片和型救生圈靠近，小心割断缠绕的渔网，将男子拉回岸上。细心帮其穿衣御寒后，背着男子走过长长的堤坝，回到平安地带。中国消防: 男子冬泳被废弃渔网缠住体力不支被困冰河
，不少网友在社交平台上分享自己参观美术馆的经历。闫女士晒出自己在美术馆的视频，跳骑马舞的维纳斯耍杂技的宇航员你准备去看看吗？: 跳骑马舞的维纳斯耍杂技的宇航员你准备去看看吗?
近日，多位老师在社交平台发布为了迎接开学所准备的教室布置，将气球彩带挂满教室，为学生准备牛奶零食等礼物引争议。有网友认为老师们非常用心很羡慕。也有网友认为，不能理解，老师职责是教书育人，不需要搞这些花里胡哨的东西。你怎么看待老师开学内卷式布置教室？@: 老师布置开学教室让学生准备牛奶零食
。对此，导演回应称，买来的肠粉其实都配酱油了，但是蘸料容易沾在脸上，补妆会影响拍摄。肠粉加不加酱油真的这么重要吗？广东人都是怎么吃肠粉的？: 肠粉加不加酱油真的重要吗?
被孩子们的善良感动了，积善之家必有余庆: 积善之家必有余庆
贵州一男子结婚当天，前女友集体来到现场并拉起横幅，场面一度非常尴尬。[笑][笑]你们参加婚礼时，见证过什么尴尬的事情吗？: 男子婚礼现场前女友集体拉横幅
近日，安徽合肥，一位老兵来到消防站，给蓝朋友们塞了一个大红包。他说自己住在附近，经常看到消防员出警，感觉很辛苦，这两千的红包是自己的心意，蓝朋友百般推辞不过，也不忍辜负大叔心意，便暂时收下并决定将这份爱心转送给贫困学生，传递这份爱。蓝朋友也热情邀请大叔参观消防站，在了解消防烈士的事迹后，大叔更是感动不已。中国消防: 老兵参观消防站,给消防大叔塞红包
】根据国务院联防联控机制综合组发布的《关于全面恢复内地与港澳人员往来的通知》，为给内地与港澳人员往来提供更大便利，今天（2月6日）零时起，全面恢复内地与港澳人员往来。取消经粤港陆路口岸出入境预约通关安排，不设通关人员限额。恢复内地居民与香港澳门团队旅游经营活动。在口岸运行方面，全面开放包括罗湖口岸香园围莲塘口岸落马洲皇岗口岸在内的所有陆路出入境口岸，沙头角口岸的货运服务也将恢复。所有口岸将恢复新冠疫情前的运营时间，口岸所有旅检服务也已恢复。其中，香园围莲塘口岸在2020年8月启用货运通关服务，旅客通关服务则是首次启用。香港落马洲口岸从今天零时起，恢复了24小时通关服务，不再实施出入境预约机制，给内地与港澳人员往来提供更大便利。中央广播电视总台记者在口岸现场看到，全面恢复通关的首批旅客正在从香港入境内地，整体通关情况安全有序顺畅。根据《关于印发对新型冠状病毒感染实施乙类乙管总体方案的通知》有关精神，自2023年2月6日零时起，进一步优化内地与港澳人员往来措施。在远端检测方面，自香港澳门入境人员，如7天内无外国或其他境外地区旅居史，无需凭行前新冠病毒感染核酸检测阴性结果入境如7天内有外国或其他境外地区旅居史，由香港澳门特别行政区政府查验其行前48小时新冠病毒感染核酸检测阴性证明，结果为阴性者放行进入内地（3岁及以下婴幼儿可免于查验核酸）。跨境客运承运单位在售票时告知乘客上述核酸检测要求。在入境检疫方面，今天起自香港澳门入境人员抵达口岸后凭海关健康申报码完成必要通关手续。健康申报正常且海关口岸常规检疫无异常者，可放行进入社会面。健康申报异常或出现发热等症状人员，由海关进行检测。检测结果为阳性者，入境后按要求进行居家居所隔离或就医。结果为阴性者，由海关按照《中华人民共和国国境卫生检疫法》等法律法规实施常规检疫。入境后遵守属地疫情防控要求。此外，取消澳门来港旅客抗原快测要求，非香港居民抵港前的疫苗接种要求也同时取消。（央视新闻）: 扩散周知!香港澳门通关新规
晚安呀你吃肠粉喜欢加蛋还是加肉？: 你吃肠粉喜欢加蛋还是加肉?
2月4日，光武故里平安枣阳@光武故里平安枣阳公安局太平派出所民警在巡逻途时，发现路边有一个书包，里面有学生的寒假作业和书本，考虑到临近开学，担心学生找不到书包而焦急，于是民警根据寒假作业上的信息，找到学生家中将书包归还，学生当时欢欣雀跃。原来，该学生在回家的路上不慎将书包遗失，所幸民警及时找回。: 学生寒假作业丢失民警及时找回
，工作人员烧金都有最低限额】2月1日，福建泉州。有网友发视频称，在关岳庙扫码烧金最低28元，觉得很不合理。2日，景区工作人员表示，电子烧金都有最低消费，添香油钱是可以自己定金额，随缘支付，这些都是董事会决定的。@: 关岳庙扫码烧金最低28元
【消灭入侵物种野猪，美国得州出狠招招猎人高空射杀】美国得州正在从空中消灭入侵物种。据英国路透社4日报道，得克萨斯州经营消灭入侵物种业务的公司正招募猎人，从直升机上高空射杀地面的野猪。猎人将被收取一定费用，以获得在空中用武器开枪的体验。百年前，美国探险家们将野猪带到得州，这里的气候条件和生态环境非常适合野猪生存，除了美洲狮和短吻鳄，它们几乎没有任何天敌。野猪大量繁殖，开始偷吃农场的庄稼破坏森林和草原植被攻击人类破坏公共设施，在当地造成严重不良影响。报道称，处理入侵物种一般使用常规狩猎地面诱捕，或高空射杀这3种方式。报名当猎人的大学生伯克特表示，猎杀野猪非常刺激，可以体验重武器，同时还能帮得州解决麻烦，十分有意义。（环球时报2月6日第5版文章作者苗涛）环视频: 【美国得州出狠招招招猎人高空射杀野猪
从韩国到中国的韩国籍旅客也需要带上牌了，来而不往非小小宸: 韩国到中国韩国旅客也需要带上牌了
2月6日，山东威海。男子磕头跪别陪伴10年报废小车。: 男子磕头跪别陪伴10年报废小车
2月6日，河南信阳平桥区的王先生（化姓）向记者提供了一段视频，视频中一名蓝衣男孩被多人围殴，多次遭扇脸踢踹，王先生告诉记者，据他了解，被打的男孩是平桥区胡店乡中心学校的六年级学生，实施殴打的人也曾是该学校学生。记者致电胡店乡中心学校，工作人员未对此事进行回应。15时许，记者就此联系了信阳市委宣传部，17时许，平桥区委宣传部工作人员回应区里对此事高度重视，目前公安机关已介入调查。河北青年报@河北青年报青豆视频: 信阳平桥区一蓝衣男孩被多人围殴
火车上的一幕！！真的是感人啊！！: 感人的一幕!车上的一幕!!真的是感人啊!!
哇，真好，这真是奇迹，祝福健康平安快乐，让世界充满爱[哇][哇][哇]: 哇!哇!真好
羡慕南阳[苦涩]: 南阳[苦涩]
他把我全身上下都看了，要钱还不可以？】2月1日，湖北宜昌。宜昌学院街派出所接到群众吴某报警称自己在与人裸聊后被敲诈。民警黄汉敏与对方视频连线，面对对方振振有词索要钱财的要求。随后，民警告知对方的行为已经涉嫌违法犯罪，并霸气回应要钱到派出所来！对方始终不敢露脸，最终挂掉电话。民警也对吴某进行了批评教育。（宜昌公安）九派新闻: 【2月1日电视新闻联播
中国人买下冲绳最大无人岛？日本网友急了武统: 日本网友买下冲绳最大无人岛
爱尚宁波: 尚尚宁波
，据黄先生表示，游泳池旁边有个泡泡机，是通电设备，旁边没有任何安全提示语，也没有任何安全栅栏保护措施，并表示警方法医初步鉴定为触电身亡。对于此事，酒店方面回应称，第一属于诽谤，第二要等到官方通报才知道结果。具体情况如何，以后续官方调查为准[话筒]: 游泳池旁泡泡机是通电设备 初步鉴定为触电身亡
当初买房的时候没看规划图？设计师设计的时候是咋想的再者3个公厕连着没有隔板上厕所的时候尴尬不[]执着于你17: 买房规划图:规划3个公厕连着没隔板
夫子庙灯会，武警部队筑人墙守护游客安全感爆棚。不赞网红不赞星，只赞人民子弟兵。: 夫子庙灯会武警部队筑人墙守护游客安全感爆棚
以前，伊拉克是中东最世俗化的国家，女人自由离婚，可以读书，当兵，当公务员，女医护，女教师是中东最多的国家，萨达姆还因此在80年代获得过联合国金质奖章所谓荣誉谋杀发生在今天，绝对是文明的倒退，但对那几十万死在炮火下的伊拉克人民，美联社该怎么评价？: 伊拉克:中东最世俗化的国家
卧槽，富阳人就是有钱: 卧槽:富阳人就是有钱
明文规定禁放禁售】2月5日，陕西咸阳游客拍到在咸阳湖景区燃放的孔明灯，被安保人员一把拽下的画面，引发关注。画面显示，游客燃放的孔明灯缓缓升起，安保人员跳起拽下并吹灭明火。6日，咸阳湖景区工作人员告诉记者，有明文规定禁放孔明灯，园区也有用广播和横幅提示游客。由于近期游客暴增，一些商贩偷偷售卖孔明灯，管理人员有限只能劝导眼前的群众燃放。虽然群众放孔明灯也是一种美好的祝愿和期盼，但忽略了孔明灯带来的安全隐患。百姓关注@百姓关注百姓关注: 陕西咸阳游客拍到在咸阳湖景区燃放的孔明灯
【为绿色出行加油充电】2月3日，在游埠镇洋港村，国网兰溪市供电公司@国网兰溪市供电公司员工开展充电桩巡视维护，检查维护充电桩基础设施，确保充电桩运行正常，为群众绿色出行保驾护航。: 兰溪供电公司开展充电桩巡视维护
直击震后土耳其大雪纷飞，余震不断，搜救不停: 击击震后土耳其大雪纷飞余震不断
岁月从不败美人，加起来快300岁的中国时尚奶奶团岁月沉淀的气质，将中国非遗蜡染的美完美呈现[哇][哇][哇]: 中国时尚奶奶团
话说，00后到时候会不会70岁退休啊？就我这样暴饮暴食熬夜，那时候我还在吗？[]: 00后会不会70岁退休
元宵喜乐: 宵宵喜乐
正在核实】2月4日，网传一则刚领证7天男子被妻子打进医院的视频引发关注。记者注意到，有不少网友关心该二人的情况，也有网友质疑系炒作。5日，记者私信该女子及其丈夫了解情况，截至发稿未获回应。两人社交账号地址显示，其所在地疑似在河南。商丘永城市公安局一名工作人员告诉@记者，近日暂未接到女子将丈夫打伤的相关警情。随后，当地派出所一名工作人员向记者了解了短视频平台上的信息后表示我们得核实一下。有可能是永城这边的，也有可能不是。商丘: 网传女子将丈夫打进医院视频
妈妈呀太励志啊啊啊啊母亲也不容易小妹妹们虽然你的出生不是那么完美，但是今后你的人生将是灿烂的[老师好][老师好][老师好]大难不死，必有后福。啊: 大难不死,必有后福
德州人不知道该如何出门: 如何出门
您的手机号已被使用我没注册啊！: 您的手机号已被使用我没注册啊!
元宵节终于认亲团圆】2月5日，正月十五元宵节，四川广安的毛先生蒲女士夫妇赶到了绵阳市公安局刑侦支队参加视频认亲，终于见到了分别30年的亲生女儿。30年前，毛先生夫妇俩在上海打工，生下女儿小毛毛后，因经济困难无力抚养孩子，于是送给了上海一个家庭抚养，但第二天就后悔了，从此开始长达30年的寻女之路去年7月，绵阳市公安局胡祥雨工作室通过努力，成功找到夫妇俩的女儿杨女士，并在胡祥雨长达半年的劝解开导后，杨女士终于同意和亲生父母毛先生夫妻相认。2月5日下午3点，视频认亲会举行，一家人30年的分别，终于在今年元宵节画上团圆的句号（红星视频）红星视频: 绵阳民警视频认亲30年的亲生女儿
大妈买裤子第二天跑回来要换货，老板拿过来一看傻眼了裤子里面沾满了皮！: 买裤子第二天跑回来要换货
很严重！四分三十三秒: 严重!严重!四分三十三秒!
2月3日，江苏南京。南京某超市被曝1个橙子售价128元引发热议。该超市橙子和草莓售价为128元个，菠萝980元个，顾客称店员不让拍照。对此，该超市工作人员称所售商品上架价格均接受相关部门和超市监管，网传橙子并非进口，实为融安金桔。菠萝肉质为粉红色，属稀有种。据融安某金桔种植合作社人员表示融安金桔为当地特有种，种植户售价为30元左右，品种好的网上售价每斤约为6070元，与其他品种相比，口感不一样。@: 网传橙子并非进口,实为融安金桔
知情论事: 知情人:北京公交司机涉嫌受贿被立案侦查
原来不是胖才有双下巴: 不是胖才有双下巴
】据某招聘平台发布的《2023年春招市场行情周报》显示，2023年春节，568的职场人返乡过年，还有322的工作地就在家乡，在老家过年的职场人总计近9成。可见，绝大多数职场人回归故土的热情很高。通过春节返乡，共有392的返乡职场人更向往回老家就业，其中24还在观望无行动，152已在寻找家乡岗位。这意味着，春节返乡激发了大部分人的回老家工作愿望，返乡就业或许正成为趋势。同时，也有共计279的返乡过年职场人依然向往大城市，认为那里就业机会更多生活质量更高。: 职场人回老家就业机会多
【妻子想吃火锅被拒生气跳车身亡丈夫获刑2年】2020年9月的一天，王强驾车载着妻子去看3岁多的女儿。路上二人一直因为吃火锅的问题发生争吵。其实，早在出发前，夫妻二人就因为这个问题争论许久了。妻子李丽表示，自己现在只想去吃火锅，并不想去看孩子。而王强则坚持要先去看孩子。坐在后排的李丽看丈夫并没有调转车头带自己去吃火锅的想法，生气之余做出了一个让人意想不到的举动在车辆还在行驶的情况下，打开车门跳车。王强发现妻子跳车，立即停车查看，并拨打120急救。但医生到场后发现，李丽是头部落地，所以因颅脑严重损伤而死亡。王强主动到派出所投案自首。2021年8月24日，内蒙古自治区阿拉善左旗人民检察院以王强犯过失致人死亡罪向内蒙古自治区阿拉善左旗人民法院提起公诉。法庭上，王强的辩护律师表示，王强发现妻子跳车后进行及时抢救等待救援并报案自首，可以从轻或者减轻处罚。而且，本案的发生李丽有重大过错，李丽因为想出去吃火锅而拒绝看望女儿才引发本案。王强从事发到案的全过程始终没有拒绝逃避抗拒，主动交代犯罪事实，认罪态度好，系初犯，无犯罪前科，积极与被害人家属协商赔偿事宜并取得谅解。内蒙古自治区阿拉善左旗人民法院认为，王强因过于自信的过失致一人死亡，其行为已构成过失致人死亡罪。事发后，王强的自首行为依法可减轻处罚。但家里老人及孩子需要照顾外债需要偿还等情况，与本案定罪量刑无关，本院不予采信。量刑时考虑王强与被害人家属达成和解协议并取得书面谅解自愿认罪认罚，依法可以从宽处罚。法院最终判决被告人王强犯过失致人死亡罪，判处有期徒刑二年，缓刑三年。更多详细内容请查看原文: 【10月25日电视纪录片看点央视新闻联播
这也太离谱了，前女友怎么都认识[]，有点不太好，恶搞要有尺度，毕竟新娘子没有错啊，人家一生一次的事，多少觉得现任当上了接盘侠这要是我就不想接这盘了，不知道是不是大家也有和我一样的想法: 前女友怎么都认识
】2月6日，湖南长沙。5旬的刘阿姨在准备上卫生间时，因冬天穿的较厚，用力扯秋裤的过程中，突然听见手部一声响，后面发现拇指不能伸直，拿筷子梳头发都不行了，去医院就医检查发现，大拇指发生肌腱断裂。医生提醒这种情况一定要注意，一般发生原因为手指不当活动时突然受外力所致，一旦发现异常应立即就医。麦穗视频@麦穗视频麦穗视频: 扯秋裤大拇指肌腱断裂
壹基金首次使用菜鸟公益物资数字化追踪系统。菜鸟仓配一体和数字化的能力，帮助温暖包项目团队大幅提升协作效率和捐赠人反馈能力。壹基金@壹基金菜鸟: 壹基金使用菜鸟公益物资数字化追踪系统
的说法。企业放弃中年人，就等于放弃了企业放弃进入中年的机会。: 企业放弃中年人,就等于放弃进入中年的机会
彭叔觉得国内，如果说要给鼓励生育的人，颁个奖，那么任泽平，还有那个携程的老板，绝对可以上去拼一下，他们两个人为了这个生育，也是够拼了。任泽平建议法定年龄降到18岁，说个实话，这个一旦成功了，国内的生育率，一定会大增的。因为国内的年轻人，有至少30以上的，是读的中专或者职校之类的，这种学校毕业的时候，年龄也才只有18岁，而且就算读的高中，那个年龄段的女生，是脑子最单纯的，也是最傻的时候。大家想想自己18岁的时候，有多中二，如果说在18岁就能法定结婚，那些职校的女生，一毕业之后，面临的就是结婚，那个时候对房子车子，物质都还没有那么大的感觉，或者说，她们比较单纯，相信靠男朋友能挣到。法定结婚年龄降到18岁，国内会有不少女生，尤其是小地方的，18岁毕业后就会结婚生子，那么早就生了一胎，以后大概率是会有3个孩子。一下子，生育率就起来了。: 任泽平建议法定年龄降到18岁
官方已批评虐鸥游客】1月31日，云南昆明，父母帮男孩抓海鸥，用力把它的头塞进瓶子里，周围游客多次制止才作罢。据春城晚报消息，自然资源执法人员已对涉事男孩家长做了处罚，虐鸥游客被批评教育并处2000元罚款。: 虐鸥游客被批评教育
1991年日本职工平均年薪约合256万人民币，2021年平均年薪约合269万人民币想一下30年不涨工资是啥局面: 日本职工平均年薪约合256万
可恨！高速错过出口不要一错再错，去下个出口绕行耽误不了多少时间。: 高速错过出口不要一错再错
受气旋影响，未来24小时土耳其大部有降雪天气，其中第二次78级强震的震中附近可能有大雪，将对救灾工作造成相当大的影响。: 未来24小时土耳其大部有降雪天气
说实话我感觉不止95[]最少应该达到了98以上，就拿我们市来说，大多都是工资的工作，5000以上的很少，我感觉在我们这5000工资以上都能超越99的人了。: 5000工资以上都能超越99的人
辛巴花500万为通河县修路灯这才是为家乡办实事: 500万为通河县修路灯这才是为家乡办实事
。目前来看，这是一次震群型地震，两次强震的震中相距约96公里。据了解，震群型地震的主要能量会通过多次震级相近的地震释放出来，没有突出的主震。震群型地震的特点是地震频度高，能量的释放有明显的起伏，衰减速度慢，活动的持续时间长。震群的震源往往较浅（小于10公里），震群的分布范围会随时间逐渐扩大。国际时讯: 震群型地震两次强震的震中相距约96公里
【逸语道破一只狂飙的流浪气球为何让美国如此心虚？】美国对这只意外飘来的流浪气球的过激反应堪称徐江效应《狂飙》里的那个徐江，他儿子电鱼被电死了，他知道之后就一口咬定必是他人报复你是做了多少坏事所以才如此自信，你家一旦出事儿一定是别人故意搞你。: 【《狂飙》里的那个徐江
】据韩联社2月1日报道，立春将至，韩国多地民俗村和乡校提前贴上立春帖庆祝，但不同于中国人喜欢的红色春联，韩国版春联是白纸黑字。韩国立春帖多由汉字书写。其内容，最常见的是立春大吉建阳多庆国泰民安等。《韩国日报》称，贴立春帖，体现了民众迎福避难的心愿。1日下午，在韩国庆尚南道咸阳郡的一家书院，院长李昌九向学生展示汉字春联立春大吉，建阳多庆2日上午，大邱一家乡校的书法家计划用毛笔写多幅立春帖，并向市民免费发放。韩国立春还有吃五辛菜的习俗。五辛菜一般指的是韭菜山蒜水芹菜等五种味道较重的蔬菜。立春吃五辛菜，有兼备儒家五德和身体健康的寓意。（人民日报海外版海外网@人民日报海外版海外网）: 韩国立春吃五辛菜
孩子强烈反对并独自去男厕】1月31日四川。女子带自己儿子测试去女厕上厕所，男孩强烈反对，并表示要自己去男厕，并让妈妈在厕所门口等自己。锐目视频@锐目视频锐目视频: 女子带儿子测试去男厕男孩强烈反对并独自去
打败苦难好好活着人生才有意义】2月4日深夜，网红狗头萝莉发布视频表达出轻生意愿。5日，极目新闻记者获悉，警方已经找到该名网红，她目前平安。（极目新闻2月5日报道）生活从来不是一帆风顺，每个人都会遇到这样那样的困难，相比轻生，好好地活着，打败各种困难，并且活得更好，人生才更有意义。她在视频里自述，她童年遭遇不幸，成名后还遭网暴，并被起诉判赔600万元。另据该网红视频所述，曾经有人传播她的不雅视频，网上还有不少人对她有质疑，而且作为网红，参加漫展也被驱离从个人经历看，她的人生确实坎坷，不管是谁，遭受这些，心里肯定不好过，这也是她想轻生的原因。不是每个人都经历过这位网红遭遇过的坎坷，她的心情别人或许无法感同身受，但尊重每个生命是社会的基本价值观，既要尊重别人的生命，也要尊重自己的生命。轻生不是一个成年人应有的选择，积极面对问题，让自己的生活好起来才是好的选择。她自己也说到传播不雅视频的人受到了法律的制裁，这不正是恶有恶报的体现么！再者，面对网上的质疑，拿出证据回应就好，参加漫展被驱离，与主办方多沟通，或者争取下一次参加，相信这些问题都能得到解决。并且，在漫展这一领域，这位网红也算是知名博主，作为一名拥有数百万粉丝的人，相信她一定还有更多破局的方法。同时，作为一名动漫领域的网红博主，她的粉丝必然有很多青少年，她的行为举止多少都会影响到这些青少年粉丝。如果青少年心中的榜样，积极向上乐观面对生活中的困难，受其影响的粉丝也会在生活中多一些正能量。如果粉丝们看到，他们喜欢的博主遇到困难时，就选择轻生，粉丝们会有什么想法？是不是有人会效仿这种行为，作为逃避现实的手段？看到这位网红发的视频，反而让人想起浙江丽水的陈金英老人。老人家80多岁时生意失败，欠下2000多万债务，她硬是用十几年时间，靠卖羽绒服还债，终于在92岁时还清欠款。她的坚强诚信的美德，让所有知道她的人都佩服有加。生活从来不是一帆风顺，每个人都会遇到这样那样的困难，作为公众人物，自己亲手去解决问题，打败困难，这样人生才更精彩。（极目新闻记者丁鹏）: 【极目新闻2月4日
2月2日，广东。乘客打车填错目的地，睡醒后遭司机一顿输出你下单我接单，我就带你去广西，开了200公里，你跟我说去廉江，你放屁都没有声音，臭死人了，你以为你是高启强啊，想去哪里就去哪里？: 乘客打车填错目的地睡醒后遭司机一顿输出
时隔11年的杭州烟花秀回归: 隔11年的杭州烟花秀回归
东北人自带井盖避让系统，来来往往没有一个人踩井盖！: 人自带井盖避让系统
我看到之后也心情不好了一阵说明老龄化日益严重: 心情不好了一阵说明老龄化日益严重
，感觉很美妙点赞！（视频自网友李公子）: 点赞!
媒体就是喜欢博眼球，昨天有媒体说上海平均月薪元，属于25城最高，今天又有媒体说北京平均月薪元，这报告是同一个机构的吗，怎么还前后不一致呢？说平均数有啥意义，那我和首富平均财富还有好多亿呢，天天净整这些没有太大意义甚至都不准确的数据，你要不去算算中位数是多少？或者你去统计有多少人月薪三千一下，多少人月薪三千到五千？北京: 月薪三千到五千?北京平均月薪元
2005年胡连会特别报道: 胡连会特别报道
去年八月，德国一对父母痛苦地发现，去拜访前夫的女儿身中55刀死在了自家车里。他们亲眼看到了女儿血肉模糊的尸体，但报警后警方却告诉他们你们的女儿还活着，死者另有其人！这起离奇案件被称为二重身谋杀案，引起了全德关注。最近，德国警方终于公布了真相: 德国警方公布二重身谋杀案真相
据中国地震台网@中国地震台网正式测定02月05日11时38分在广东佛山市三水区（北纬2327度，东经度）发生32级地震，震源深度8千米。佛山广州深圳等多地网友发微博表示有震感。: 广东佛山市三水区发生32级地震
一边是38个城市的平均薪酬在七八千以上甚至更多，另一边是工资在5000以下的占比95，感觉都不太准确呢。看网上很多网友的回复，动辄月收入几万甚至更多，难道真的都是键盘侠？话说如果真的这么多人的月收入低于5000，那几百万一套的房子，都是怎么卖出去的: 月收入低于5000的房子怎么卖
眼瞅着大雪崩呼啸而来的感觉: 瞅瞅大雪崩呼啸而来的感觉
毕生都献给野生动物园的大叔即将退休，离别前他与一手带大的孩子们一一告别，很是不舍！有趣的歪果仁有趣歪果仁: 野生动物园的大叔即将退休
德州奥斯丁，居民在商店门口的垃圾箱里翻找食物。现场有超过250人在争抢，并因此引发了交通堵塞。@: 奥斯丁居民翻找食物引发交通堵塞
？！】2月4日，临近元宵节，在重庆涪陵红酒小镇里上演了一场重庆味道的元宵节。与传统甜味汤圆不同的是，这次的汤圆如同重庆火锅一样，蘸料丰富。除了白砂糖外，还按照重庆人的口味摆放了干辣椒小米椒辣椒酱等蘸料供市民选择。不少市民表示，蘸有辣椒的汤圆既有黑芝麻与辣椒相撞的惊喜口感，也有甜香与麻辣的双重尽兴。（贾楠）中新视频@中新视频中新视频: 重庆味道元宵节
接连的强震，破坏力相当于100多颗原子弹持续爆炸，太恐怖了[苦涩]祝愿当地人民都平安，少一些伤亡: 接连强震破坏力相当于100多颗原子弹持续爆炸
女孩拿35元花表白，成功后却不付款。: 拿35元花表白,成功后却不付款
】据彭博社2月6日报道，泰国政府发言人阿努查表示，总理巴育已下令政府有关机构推出具吸引力的旅游套餐和营销协议，在今年吸引至少500万中国游客。就在6日上午，从广州搭乘春秋航空航班的40名中国团队游客抵达泰国曼谷廊曼机场，这是中国试点恢复出境团队旅游后抵达泰国的首个出境旅游团。泰国国家旅游局局长育塔萨中国驻泰国大使馆临时代办杨欣等出席了在机场举行的欢迎仪式。育塔萨表示，泰国很荣幸成为中国恢复出境团队旅游面向的20个国家之一，再次欢迎来自中国的旅行团。今天，我们非常高兴能接待了第一批中国旅游团队，并期待着更多的游客。育塔萨说。泰国政府发言人阿努查表示，巴育已下令政府有关机构推出具吸引力的旅游套餐和营销协议，在今年吸引至少500万中国游客。新年伊始，中国不断优化调整防疫政策有序恢复公民出境旅游。而中国游客将逐渐回归的消息，为亚太地区特别是以旅游业为支柱的东南亚国家经济复苏再添信心。多国政府和旅游业界表示，热切欢迎中国老朋友们再度到来。彭博社报道称，随着疫情后首批中国旅行团的到来，中国游客的回归将推动对泰国至关重要的旅游业的复苏。泰国《国家报》（）则写道，在两年的寂静后，曼谷的唐人街地区呈现复苏，大部分游客是前来泰国度过新年假期并决定延长自己假期的中国公民。泰国国家旅游局的数据显示，截至2月2日，泰国今年以来已接待近10万中国游客。泰国期望今年第一季度接待30万中国游客，全年接待人数将达500万，这将助推当年访泰的外国游客达到2500万。: 泰媒:中国游客将逐渐恢复出境旅游
【丈夫偷拍妻子坐车780公里路程，吃了700公里，睡了80公里】2月3日，江苏苏州，一段行车记录仪视频引发热议，视频中，丈夫开车，妻子在副驾啃鸡腿吃零食，累了就睡觉。当事人谈先生表示，当时是从老家回苏州的路大约780公里，妻子准备了鸡腿零食水果还有大桶装饮料，基本是吃了700公里睡了80公里。谈先生说，妻子一开始不知道视频发布了，现在还在家里生气。网友真实夫妻状态，一路一口没喂，一眼也没看，完全不影响开车。青岛交通广播897: 丈夫偷拍妻子坐车780公里路程,吃了700公里,睡了80公里
官方通报湖南高速多车相撞事故: 湖南高速多车相撞事故
我发表了头条文章《中国22亿农民干不过荷兰22万农民？生产率只有荷兰千分之一》中国22亿农民干不过荷兰22万农民？生产率只有荷兰千分之一锡林郭勒盟: 中国22亿农民干不过荷兰22万农民?
看看位于震中会发生什么？一栋大楼5秒不到，就这样在眼前瞬间轰然倒地。街上只有胆大的男青年拍视频。: 震中会发生什么?
【上海一男生骑车被劳斯莱斯撞倒笑出了声】2月5日，上海。男生夜晚骑电动车被一辆劳斯莱斯撞倒，随后竟然忍不住笑出了声。视频中，男生看着交警处理事故的样子，脸上的笑容愈发明显。网友看后表示还是大城市机会多啊。（速看视界）速看视界上海: 上海一男生骑车被劳斯莱斯撞倒笑出声
中国警方在线: 警方在线:重庆警方通报一起重大案件
】月圆向吉花向喜，又是一年元宵时。今天元宵节，你们今天吃汤圆了吗？看看蓝朋友们亲手做的汤圆怎么样，围坐一起烟火气满满。软糯香甜细腻可口，实在是美味中国消防: 今天元宵节,你们吃汤圆了吗?
山东青岛大集6岁女孩节假日期间早晨七点起床帮妈妈擀面皮，一次能擀五张面皮。网友说看到孩子这么懂事很心疼很心酸。网友却说不必觉得心疼心酸，孩子跟父母在一起干活再忙也很幸福，这样的孩子长大即便不是人中龙凤也绝不是平庸之辈。那么，你赞同哪位网友的观点: 6岁女孩节假日帮妈妈擀面皮
吃货的最高境界[给力][给力]，土豪们又可以出去买买买了[收到]相信以后港深会逐渐融为一体，深圳香港的未来一定是光辉灿烂的！: 港深会逐渐融为一体,深圳香港的未来一定是光辉灿烂的
路人视角: 路人经过(高清组图)
很喜欢这种开心快乐的场面: 开心快乐的场面
】近日，江西上饶，7岁女孩玩耍时不慎将订书钉卡进牙缝中，家长不敢用力硬拽，无奈求助消防。消防员看到娃张个嘴巴，可怜巴巴的小模样，也很是无奈，耐心安抚娃情绪后，使用钳子小心剪断订书钉，帮娃把卡牙部分顺利取出。这真是万物皆可卡啊，小宝贝以后可要小心哦: 7岁女童订书钉卡进牙缝 消防员用钳子剪断
地震已致土耳其912人遇难: 已致土耳其912人遇难
【延迟退休国家越来越多各国退休年龄大盘点】近年来，面对社会老龄化加深养老金支付压力增大的严峻现实，世界多国相继提出包括延迟退休在内的退休制度改革。2023年伊始，法国政府即公布了退休制度改革方案，该方案建议到2030年时，将退休年龄从目前的62岁提高至64岁。国内方面，延迟退休方案或于2023年公布的消息近日不胫而走，这一消息引发社会各界关注。目前，延迟退休年龄是世界各国应对人口老龄化的普遍做法。如文中配图显示，截至2022年12月，丹麦希腊冰岛以色列和意大利等国家，男女退休年龄已达到67岁。近日公布退休制度改革方案的法国，男女退休年龄在欧洲国家中处于较低水平。订阅会员进入: 延迟退休年龄是世界各国应对人口老龄化的普遍做法
中国消防@中国消防应急管理部@应急管理部成都消防@成都消防: 中国消防应急管理部
大汉中心的瓜好吃嘛？突然冒出来两个醉汉是什么概念？大晚上的不是能把女的给吓死呀那两个男的加起来，害，女生一个人外面一定小心了！注意安全！: 汉中心的瓜好吃嘛?突然冒出来两个醉汉是什么概念
