夕阳和宝宝[送花花]: 夕阳和宝宝[送花花]
最近身边真的有很多朋友的小孩都感冒了，同事们的小孩也不幸中招！大家出行都要戴好口罩，多吃维生素，预防永远胜于治疗！愛樂兒: 感冒时戴口罩,预防胜于治疗。
徐州烧烤怎么好意思上热搜的？: 徐州烧烤上热搜
网逃男子深夜到派出所求证是否遇诈骗: 逃犯派出所求证被骗
看到巴黎这么水深火热的样子，我作为中国人，真的百感交集，我们的美好生活来之不易，是他们求之不得的，一定要好好珍惜！: 珍惜美好生活,珍惜巴黎水深火热的样子。
西班牙，生存，发展，学习，战斗！的微博直播: 微博直播,生存发展,学习战斗。
日本人在钓鱼岛以东180公里处的宫古岛丢了架直升机，机上包括日本陆自第8师团长在内的10人失踪: 日本陆自第8师团长在钓鱼岛附近失踪
看到一个离谱的新闻房东说闰二月要多收一个月房租，那么打工人会多一个月的工资吗？虽然公历已经进入到4月，但农历依然是闰二月。这究竟是怎么回事呢？闰月出现的原因是因为一个阴历朔望月平均为天，12个朔望月为354天或355天。这与阳历的回归年（天）相差约11天。三年的累计时间相差会超过一个月。于是农历通过置闰法进行调整，让阳历年和阴历年尽量合拍。这也是我多次说农历是阴阳合历，而不是阴历的体现之一。现行农历置闰方法是十九年七闰，即每隔两到三年，就会有闰月的产生。历算师将二十四节气中单数位的叫节气，双数位的叫中气。具体置闰的机制是看一个朔望月中有没有中气。如果没有中气，就把这个月定为闰月。今年公历3月22日往后的一个朔望月中，月球会在公历4月20日的中午1213走到朔位，进入下一个月但是太阳要到那一天的下午1614才能走到谷雨（属于中气）的位置。这就造成了前面这个月没有中气，而被设为了闰二月。闰二月在金庸小说《侠客行》中也有巧妙的体现。主角一行去侠客岛喝腊八粥，返程时以为错过约定时间，婆婆和阿绣早已跳海。却因为当年是闰二月，正好赶上时间才避免了悲剧的发生。你还知道什么有关于闰二月的传说吗？: 农历是阴阳合历,而不是闰二月。
日前，有网友建议邀请著名歌手来汕头开设演唱会，对此，汕头市文广旅体局回复称，疫情过后，社会各界全面复工复产，利用现有基础设施较完善的文化场馆，适时举办大型文艺活动，丰富活跃市民群众的精神文化生活，以高品质的文化供给实现精神富有，是市文广旅体局目前和将来的工作重点。市文广旅体局已积极对接国内演出公司，就下半年引进国内知名歌手来汕演出有了初步的接洽。按照演出市场审批层级规定，国内艺人在专业演出场所举办营业性演出由各区县局文化部门负责审批港澳台包括外国艺人在专业演出场所举办营业性演出由省文旅厅负责审批，审批后回区县局备案港澳台包括外国艺人在非专业演出场所演出由市级文化部门负责审批。因此，大型演唱会是否落地，需由主办单位根据市场情况确定，明确举办日期，按有关要求做好报批之后再对社会公布。随着音乐与文化领域的消费升级，我们也将积极探索文旅结合新模式，提升汕头文化旅游的知名度和影响力。: 汕头市文广旅体局积极探索文旅结合新模式,引进国内知名歌手来汕演出。
4月3日，山东枣庄，下雨天唐先生遇一拾荒老人上门讨杯热水，安排饭菜和住所。老人一开始想在楼道睡一晚上，因为下雨风比较大，唐先生邀请他到家里休息被拒绝后，就让他睡在了车库，还给他做了饭菜，唐先生称，老人也一直在感谢，自己当时想的是遇到一些力所能及的事，一定要给予力所能及的帮助。枣庄: 拾荒老人上门讨热水,安排饭菜和住所,老人感谢帮助。
为什么资本家自己可以不遵守劳动法，却要求工人一定要依法维权？: 呼吁工人依法维权
青山处处埋忠骨，三块青砖、一个编号、一根红飘带，标记着一位长眠于此的红军: 青山红军守护者
4月4日，江苏高院披露一起案件，女子请假照顾病危丈夫遭开除，曾将抢救照片发给主管仍被催促返岗。网友透露一下，哪个公司？: 女子请假照顾病危丈夫被开除,曾将抢救照片发给主管仍被催促返岗。
天眼查显示，近日，上海雅銮房产经纪有限公司与上海思和资产经营管理中心（有限合伙）中介合同纠纷一审文书公开。文书显示，原告雅銮公司诉称，思和中心持有包括系争房屋在内的多套房产，思和中心与雅銮公司之间达成非独家委托代理销售合意，同时期，思和中心与其他房产销售或经纪公司也达成类似的合作。2019年6月，雅銮公司客户经理霍某安排并陪同张某、谢某及谢某母亲等人两次看房，意向买家表达了购买意愿并表示不具备在沪购房资格，拟考虑以公司名义购房，霍某告知其可以注册公司后购买，但之后意向客户表示不再购买。嗣后，雅銮公司获知意向买家通过太平戴维斯公司以重庆眉开眼笑文化传媒有限公司的名义签订网签合同。雅銮公司认为太平戴维斯公司与眉开眼笑公司签订居间协议时间在6个月的客户信息有效保护期，思和中心未注意到保护期即向太平戴维斯公司支付酬金，构成跳单。法院审理认为，在没有相应协议等证据证明的情况下，无法确认雅銮公司与谢某之间仅凭带看房即成立了中介合同关系，更无法确认谢某事先或事后知晓会承担带看房后另行委托其他中介的法律后果，谢某与思和中心之间没有跳单共谋的行为。最终，法院裁定驳回上海雅銮房产经纪有限公司的全部诉讼请求。据媒体报道，此前曾有中介在网上发文怒斥张杰谢娜夫妇买豪宅跳单。对此，谢娜张杰方发律师声明，辟谣跳单等为不实信息，同时称中介偷拍并发布个人隐私等行为侵犯当事人的合法权益。: 上海雅<unk>中介合同纠纷案庭审宣判,原告雅<unk>公司提出上诉。
火锅绝缘体原来真的存在: 火锅绝缘体被证实存在
你大学学的专业你现在用上了吗: 大学本科专业使用情况
现在的工作就图一乐，挣钱还是得进厂[喵喵]: 打工还是进厂?
佛罗里达一学校不让学生用微信了，嗯，不仅仅是，连微信、都不让用，学校网络直接屏蔽微信和，连都连不上。: 不让用微信,学校网络屏蔽微信。
14岁女孩儿被强奸，犯罪嫌疑人只赔偿了9021元被成功释放。然而一个礼拜后，犯罪嫌疑人却再次当着女孩儿的面，19刀杀死了女孩儿的母亲？结果只判了劳教一年半，而女孩儿一家却被逼着背井离乡！2004年7月27日，黑龙江哈尔滨市某村14岁女孩，骑着自行车给舅舅家送东西，在经过一片玉米地时，发生了意外，被一个同村辍学13岁的男孩儿拖进玉米地，并进行了侵犯。事后，男孩儿威胁女孩，如果，将事情泄露出去，就会杀了女孩儿全家。就这样，女孩儿痛苦着独自忍受一切，每天茶不思饭不想，还总是魂不守舍，最了解孩子的还是父母，在父母的强行逼问下，女孩儿说出了实情。女孩儿父母震惊的同时，也选择了报警，可没想到的是，犯罪嫌疑人因未满14周岁只能赔偿解决，就这样犯罪嫌疑人赔偿了9021元以后，被无罪被释放了！俗话说唾沫星子淹死人真的是这个道理，好事不出门，坏事传千里，村里人开始对男孩儿议论纷纷，更过分的是男孩的父母为了维护男孩的名声，却说两人是男女朋友的关系。这让女孩儿的父母难以接受，又替自己的女儿感到委屈，被强暴不说，还要背负骂名，在那个年代，名声不好真的是在村子里没法生存，女孩母亲不得已说出了实情！事情过后，男孩儿少不了被父母教育，而男孩儿却把这一切都怪到了女孩和女孩的母亲头上，从此心生怨恨！咽不下这口气的男孩儿，在夜深人静的时候，拿着刀钻进了女孩家中，对着女孩的母亲狠狠的刺了下去，女孩母亲挣扎反抗，可已经于事无补，被捅19刀后倒地身亡。女孩儿听到母亲惨叫声，等跑过去的时候，却亲眼看到母亲惨死的一幕，瘫倒在地。男孩儿看到女孩儿并没有害怕，反而走到女孩面前，用带血的手捧起了女孩儿的脸，并狠狠的亲了几下，肆无忌惮的走了。女孩儿就这样眼睁睁的看着男孩离开，等反应过来的时候，男孩已经走远，这才开始喊人，邻居来了之后看到躺在血泊中的母亲，随即报了警？最终，男孩儿被抓获了，也如实交代了所有犯罪事实，可是当时的男孩儿却未满16周岁，虽然已有犯罪事实，但当时，未成年人不但不能判处死刑，反而还被从轻处罚。最终男孩，仅仅被判了劳教一年半的时间，女孩儿却因受惊过度精神失常，为了躲避流言蜚语，父亲不得不带着女孩背井离乡！未成年犯罪，一直延续至今，没有得到任何解决方案，不但没有减少，反而越来越多，被害人的年龄也越来越小，受到的伤害却越来越大！这些疼痛该如何得到缓解？如何才能抚平？都说天网恢恢，疏而不漏，正义终将战胜邪恶！真的适用于未成年人犯罪吗？: 14岁女孩被强奸,嫌疑人曾威胁女孩母亲,女孩最终被杀害。犯罪嫌疑人因未成年而杀人。
网友深夜12点多看到的一幕90后烧伤小哥，自学画画，靠自己手艺摆摊，面对生活的苦难并没有一丝埋怨，拿起画笔乐观的面对一切，即使遭受无数拒绝，依然相信自己。前路漫漫，亦有花开，加油手艺人: 90后烧伤小哥靠手艺摆摊,乐观面对生活。
近日，一名父亲到墓前泣不成声，还带来特别东西，儿子为救落水渔民牺牲，年仅20岁，愿天堂没有痛苦，为正能量点赞: 父亲为救落水渔民牺牲,儿子为救渔民牺牲。
只要热爱！不管遇到什么样的困难我们都可以迈过去！这样的精神太值得学习了！！！: 学习热爱精神值得学习
休息10天拿一个月工资太爽了吧: 休息10天拿一个月工资爽了
那对小姐弟的妈妈发出了凶手张波的道歉信原文。我看完了这个凶手的忏悔，只有三个意思我妈很辛苦养我很可怜，你和你妈也很可怜，我很后悔很可怜。——他完全，完全，完全，对两个孩子避而不谈，一个字也没有提到对孩子的歉意和一丁点的爱惜。它后悔的只是这件事毁掉了他自己的生活，做梦也只是想回到幸福里去。但他的幸福，不包括孩子。它的抱歉也只针对了还活着的人，完全，完全没有向孩子们道歉。它只是想得到谅解书，让孩子的妈妈不要继续追究而已。你看啊，除了你和你妈痛苦，我妈也很痛苦啊！我也万箭穿心啊！你善良又美好，还不快点原谅我！不要不识抬举！结论去吧老处生！: 张波道歉信全文:没提出对孩子的道歉,只想得到谅解,不要继续追究。
那些工厂员工的谎言，你了解多少: 工厂员工的谎言,你了解多少。
《宁夏富豪，花光1000多万，把沙漠变成绿洲》这是2022年在互联网上才出现宣传孙国友事迹的文章，但很奇怪的是在2019年之前，除了央视报道双马煤矿的新闻和他打官司的资料以外，并没有他任何的个人事迹，更奇怪的是有一位一模一样的故事人物，叫做郭有，也是宁夏人都在灵武市。两个故事有几个巧合，都承包一万多亩荒沙地，都花光千万资产，都在灵武市，都在灵武市狼皮子梁拥有林场，两家林场公司距离不到5公里，不一样的是郭有的资料从2004年每年都有互联网数据，从注册林场公司，养殖场，农产品销售，当地政府活动新闻报道，孙国友并没有连续的互联网数据和新闻报道。: 宁夏富豪郭有和孙国友的故事,两个故事有几个巧合,都承包荒沙地,都花光千万资产,都在灵武市狼皮子梁拥有林场。
平时交房租不觉得，现在一算感觉好亏: 交房租感觉亏
你知道你所在城市的标志有哪些吗？: 了解你所在城市的标志
震源深度10千米[话筒] 据中国地震台网正式测定4月6日19时22分在辽宁大连市庄河市（北纬3963度，东经度）发生32级地震，震源深度10千米。: 辽宁大连发生32级地震,震源深度10千米。
游戏主播耗费数年创下世界前30游戏记录却被亲戚家熊孩子偷偷清零: 游戏记录遭熊孩子偷清
如果你拥有了100万可支配资金，你已经超越了约9975的中国人。现实是能挣到一百万的人有很多，但是你现在存款有一百万的人不多。除了做生意和一线城市高管之外的大部分人靠工资攒不到。毕竟吃穿用度结婚买房买车养娃都需要支出，再攒下一百万就太难了。这个还要看年龄段，你让30岁之内的人有一百万不多，你让40岁以上的人有一百万的特别多。我来说说有一百万的人是哪些人群，做生意的，有做传统生意和风口生意的，这个不受年龄段限制早期靠投资房产或股大牛市套现的，或拆迁补偿等打工高薪人员，还有一种是当官贪污的。继承的，比如富二代。我知道关注我的很多人都赚到过一百万，说一说你第一个一百万是怎么赚到的？我的第一个一百万是零几年打工时当副总高薪赚到的。后面的一百万一千万和更多都是自己创业赚的，如果要不创业，可能永远停留在一百万了。赚钱从01很难，但是从110比从01容易的多。: 拥有100万可支配资金的中国人,大部分靠工资攒到一百万,再攒下一百万就太难了。
是什么样的工作需要这么严谨的招录程序生活不易，加油打工人[奋斗]: 招录程序严谨,加油打工人。
咱们要不直接在医院办张吧: 呼吁直接在医院办张
沉浸式体验进厂打工，虽然但是25块钱一小时谁看了不心动: 体验打工体验25元一小时
你选专业的时候是十八岁，你怎么知道自己想要什么，你毕业的时候二十二岁，肯定比十八岁的自己聪明了一些嘛: 选专业时18岁,比18岁聪明。
清明节，老余家的人把余茂春跪像搬到他爷爷的坟前，让余茂春的爷爷好好看看这个不肖子孙。: 余茂春跪像被搬到坟前
大家注意了啊！使用之类的翻墙软件是违法行为！这是网传的一张某位网民，由于使用被罚款5000元人民币的行政处罚通知书。不要翻墙！不要翻墙！不要翻墙！: 网民使用翻墙软件被罚5000元
给孩子取名叫韩愈李白王安石我都能理解，取名叫胡亥是什么心态啊[哆啦梦害怕]: 给孩子取名叫韩愈、李白、王安石,理解胡亥的心态。
大哥为了800元一天的工资，在这里干了足足8年了。估计到时有钱也没命花。: 哥工作8年,有钱也没命花。
（写在最前面我没有任何否定关注分配关注劳动者权益保障的意思，所以如果你对我这条微博的内容不满意，不用从这两个方向骂我。）万能的网友已经通过各种细节考证出来中电科的事疑点重重，极大概率是图。如果，我是说如果真是图，是一场针对重点军工国企的行动，那背后的人心思很不简单。说直白点，这很可能是一场精心准备有组织有目的的舆论战。1、台词用心。要做出那几张图，就算不建微信群，也需要用心写台词，去揣摩每一个人的角色，揣摩不同角色面对不同情况时的正确反应，嚣张跋扈的狗腿子欺压员工，忍无可忍的加班人奋而反击、群情激愤的围观群众揭竿而起，虽然经不起逻辑推论，但观众眼里这就是一篇小人物打到的爽文，于是激情传播。2、痛点挖掘准确。那些对话非常精准地迎合了今天中国社会对加班、外行瞎指挥内行、官僚主义、裙带关系、狗腿子等等不良现象的痛恨，激起了观众强烈地共鸣，无论是国企、私企、公务员事业单位，各种身份的网民都能从中看到自己的遭遇。3、目标选择精巧。如果不是中电科，而是某个私企，那绝大多数观众的怒火会针对资本家，啊不，企业主，观众会觉得这是劳资矛盾如果是，观众更加不以为然你们是为人民服务的，平时那么闲，偶尔加个班怎么了？而国企，具有体制和劳资的双重属性，对国企的不满会传导到体制，同时还不引起观众的警惕和袖手旁观。总之，刀刀见血，每一招打的都是痛处。重复一遍没有任何否定关注劳动者权益和分配问题的意思。相反，如果这真是舆论战，想要拆招，只有直面问题，想办法解决问题。: 网友热议国企和私企员工权益保障,引发舆论战。
12眼自己调解中心的律师出来介绍标准模糊的艺德和爱国标准合约条款3眼一年前新建了自己的调解中心。4眼自己会推荐、发展、培训、考核、给调解员发证。可是眼的道德委员会到现在也是不敢署名不敢露面，也并未出台统一的道德标准，行业抵制也没个规范流程，申诉只能找手写电话刘老师，这样的情况下，再由你们的调解员来解释这艺德和爱国条款，是不是也是眼想怎么解释都行呢？此外，这似乎和碍国大的爱国发证业务有所冲突了，要不要先私下商量一下？: 调解中心涉嫌违反艺德和爱国标准,道德委员会未出台统一道德标准,申诉只能手写电话解释。
大学学的什么专业真的对未来找工作有影响吗？如果是你你想学什么专业呢: 大学专业对找工作有影响吗?
事情的真相还有待进一步厘清，但网民的关注让相关话题频繁冲上热搜。从留言区来看，怒怼员工尽管言辞激烈、话语粗糙，但几乎赢得网友一边倒的支持——人们在意的不是哪个单位加班太多，怒怼的是少数企业奉为圭臬的强迫加班、超时加班文化。近年来，全社会在努力呼吁把员工休息休假权落到实处，但在少数行业、部分企业，不合理的超时加班、被自愿加班等现象依然存在。要求员工在超长加班后继续自愿加班，偷走难得的一天公共假期，不仅罔顾国家制度安排，而且涉嫌违反劳动法律法规。自愿加班狼性文化等所谓加班文化屡禁不绝的背后，是不科学、粗暴的管理认知。一些企业靠违法强迫劳动者加班换来（业绩）的提升一些企业充斥着层层加码的加班官僚主义——领导都加班，下级就要加更多的班。员工只能忍耐，以此换取稳定的收入和职业的发展。然而，不科学、不人性的加班耗尽了员工的精力、透支了员工的健康不合法、不合理的加班更让员工心有怨气，对立情绪、劳动纠纷由此而来。终结不合法的被自愿加班问题，反抗不合理的管理方式，为劳动者权益鼓与呼，要让劳动法律法规长出牙齿，使用人单位不能任性、不敢任性。网友对这一事件超高关注的背后，释放出的是公众的共同期翼纠偏畸形加班文化，营造人性化职场环境，落实8小时工作制和带薪年休假制度，保障劳动者合法权益。: 呼吁把员工休息休假权落到实处,少数企业强制加班,引发公众关注。
你不会认为你认为的就是你认为的吧？[喵喵]: 你是否认为你?
张家界天门山突现跳崖集体自杀00后网约玻璃栈道先服毒，可惜四人不治均告死亡，警方从遗书中确认自三男一女分别来自，福建河北河南四川，该清理一下网络环境了！网上有自杀交流群: 张家界天门山集体自杀,警方确认自三男一女来自福建、河南、四川,清理网络环境。
进厂后的生活一天都要消费多少钱呢？: 厂后的生活一天要消费多少钱?
这件事情本来就是境外势力对我国高科技企业的一次精准打击，聊天记录伪造，捏造事实，卑劣，是中国人就擦亮你的眼睛，不要被这些境外势力当猴耍: 境外势力对我国高科技企业精准打击,聊天记录伪造,捏造事实,中国人就擦亮眼睛,不要被当猴耍。
解秋蕊@解秋蕊最近发现楼下的别墅里有一家在房顶弄了个玻璃阳光房。阳光特别刺眼，看窗外就类似于抬头直视太阳的那种。因为最近一直在家产假中，发现了这个问题（不知道是一直都有，还是最近新装的）。这样造成的后果不仅成年人眼睛会受不了，宝宝在晴天看窗外眼睛绝对会受影响啊（总不能不让我们看窗户外面了吧）。想求助一下这个怎么办，不会是只能我跟人家去直接沟通吧，他这算违规搭建么，警察、物业、网格员什么的可以介入么？: 别墅阳光房影响宝宝看窗外,建议直接沟通。
青岛人感觉没其他山东人那么土，如果有一个帅哥哈，他说他山东的，他看起来没那种会发国风少年，男人不用帅气，硬气之类的的那种气质，那他肯定在青岛待过好几年: 山东人长相土,帅哥气质好。
选专业和以后的工作真的有关系吗？？？: 探讨专业和以后的工作关系。
高雄菠萝7成弃收，1人18公斤不给力啊: 高雄菠萝7成弃收
我和我的小伙伴们不认可靠造谣来追求正义这样的手段。这个本质上就和中推反贼没有区别。和女拳也没有区别。苟晶名言，就算夸大其词，你又损失了什么呢。华东理工顺手牵羊梗，抛开事实不谈。老木子佳乃名言，政治要有操作。所谓谣言，可以事出有因，可以出口转内销，可以搞乱一池春水，可以兴风作浪推波助澜，可以里应外合打破僵局，可以拓人思路，可以。好处太多了！让我们造谣传谣搞它个天翻地覆。所以，连中推鶸智反贼都知道造谣传谣的破坏力。靠虚假来追求正义，欲速则不达，效果适得其反。同时，我们也认为对一些社会问题应该有阶段性客观性的认知。我们通过经济层面、全球历史层面来解释为什么会有一些社会问题存在（比如加班），并不是说我们要给这些问题洗地。我们只是解释其存在的原因和背景，以及普及一些基本的社会科学常识。这些逻辑和背景知识，并不只是针对中国，而是对每一个国家，尤其是发展中欠发达国家都适用。而且越是这样的事实，越显得冷酷难听。事实上，每一条帖子我们都给出了最有实践意义的建议多通过法律手段维护自己的权益。去寻求仲裁，去找法律顾问。这个建议，是不是比营销号单纯带你发泄情绪有意义？你自己思考一下。到底是我们的建议能利于你解决问题，还是跟着一堆王八拳账户没有章法地左突右窜能帮你解决问题？我们提出阶段性客观视角，是因为我们明白社会发展的阶段历程必然存在。我们不会用前后30年互相否定，我们支持中特社，我们认为中国现在确确实实处于社会主义初级阶段你可以把我和我的小伙伴看成是中国的建制派立场。这意味着，我们除了和想要的反贼天然对立之外，我们也无法认同极左理念。社会主义初级阶段就意味着实现社会主义乃至共产主义需要一个过程，需要首先是发展，需要时间和积累。我们无法认同今天不达到共产主义我就反塔这样的幼稚左小鬼逻辑。我们也知道我们这样的立场可能（必然）会被两个极端攻击。比如极左骂我们反帝不反资，而反贼就是骂我们极端民族主义海外五毛等等。就像我们反对性别叙事，会同时被女拳骂成男拳，被男拳骂成女拳一个道理。也许这就是作为建制派的宿命。但历史也许恰恰是站在我们这一边。中国为什么过去40年能有发展的奇迹？因为实事求是，与时俱进，因为建制的稳定。所以我们也有我们自己的坚持和信念。即便被扣各种帽子，我们也会坚持原则，说自己想说的话，不退缩。: 环球时报:谣言对每个国家都适用,应通过法律手段维护权益,避免成为成为反贼的借口。
我尽力让你们避坑了，可是有时候自己也很无奈: 尽力让你们避坑,自己无奈
这是什么鬼热搜？根本就没有屡禁，肯定不会止啊: 鬼热搜屡禁不止
房子总体来说挺好的不过有个致命的缺点不是我的: 房屋优点缺点并存
我觉得现在资本家误解了一件事，总觉得这代人应该如过去几十代人一样吃苦耐劳，隐忍沉默，首先勤劳是我们教育灌输的美德，其次沉重的家庭负担会自动缝上劳动者的嘴。为什么我觉得他们有误解呢？首先，勤劳仍然是美好品德，但是这一前提是，付出大概率有回报，而不仅是苟活。如果你牺牲了巨大的身体、精神以及生命代价，也只比到点就走多挣一点点，甚至只能获得一张大饼，面对如此低的投资回报率，人的本能会帮他做出选择。其次，家庭负担。我自己这个年龄其实还好，但是比我大十岁以上的那一辈，他们觉得应当依据社会时钟，到点就该结婚生子。但以我这个年龄为分水岭，我们的考虑主要是，婚姻是必要的吗？生孩子也是必要的吗？我有没有别的选择？比如我自己吧，我知道很多人觉得孩子很可爱，很必须，这很正常，我很赞同。我只是个人不喜欢孩子而已，而且坦白说，不生孩子，人生也不需要那么多钱，也多了非常多的人生选择。再加上我个人物质欲很低，所以基本上不会被薪资所绑架。当少了结婚生子这一制度的成本后，用人单位很难用金钱负担去绑架劳动者。当然舆论会帮着造势，比如养老问题，老年孤独等等。我想法是，科技在进步，谁知道几十年后会怎么样。不就是说来就来。同样的另一股势力也在此起彼伏，比如逐渐识破消费主义的陷阱是商家用氛围感和符号学制造你的需求，而非你真正需求。正面你没有相应的正反馈，反面我也没人质被你绑架经济，那我凭啥要忍受，卖命呢？于是，又急了。开始偷换概念，你所谓的整顿职场就是自己能力不足，适应水平差做的无能狂怒而已。我觉得这就是资源既得者的傲慢了，你掌握着资源因此你获得了话语权力，把正常的生活和工作需求的反馈扭曲为一种能力差的表现。劳动者为什么会有不同的声音？多少是合理，多少是必须，当然肯定有不合理，你们是否真的认真分析呢？写本文没有讽刺任意一方的意思，只是客观分析为什么用人单位会如此错愕这一代人的职场观，如果想要博弈，还是应该了解对方在意的因素比较好。当时代的前进掠夺了一些红利时，也总算给我们一些思想的瑰宝，那就是这一代人脱离社会期待与安排的，自由意志。: 资本家误解职场观,认为劳动者的勤劳、消费、消费和需求是重要现象,建议以社会视角看待。
当虚假的东西大行其道，还要捂住揭露者的嘴反而真实的东西却要被围攻！被网！劣币驱逐良币就是必然的结果希望这样的局面不要维持太久: 揭露者被围攻,劣币驱逐良币希望局面维持。
网友公知和粉红都沉默了。: 沉默了,粉红了。
据某财经自媒体创始人，他的初中同学昨天开比亚迪撞到护栏，车辆起火，瞬间人没了[蜡烛]: 初中同学开比亚迪撞护栏,车辆起火,人没了。
日前，上海一女子因准点下班试用期第3天被辞退一事引发热议，当事人王女士在接受记者采访时表示，她于3月29日收到裁决书，前公司需按规定依法支付双倍赔偿金，3月30日，王女士收到赔偿金。王女士还表示，自己的生活目前没有受到影响，希望大家都能敢于拿起法律武器维护自身合法权益。新黄河@新黄河准点下班被公司辞退，女孩胜诉后发声要敢于在职场中说不: 女子因准点下班被辞退,公司需支付双倍赔偿和赔偿。女孩胜诉后表示要敢于在职场中说不。
老人患重度阿尔兹海默症的真实生活，一刻也安静不下来，又拍又喊又叫。家人处在崩溃的边缘: 老人患阿尔兹海默症,生活安静不下来。
卫生巾是日常用品，按理来说应该给补贴的，现在价格真的贵，希望适当降价，还有一定程度的推广免费发放: 呼吁降价推广免费发放卫生巾补贴
这张背影照片，感动了无数人向这群可爱的人致敬: 背影照片感动众人
一位妈妈晒6岁女儿的化妆包引发网友热议，一部分网友认为这是在服美役，而另一部分人女孩有爱美的权利: 妈妈晒女儿化妆包引热议
男子持刀在市场滋事，民警果断处置当场将其制服（辽沈晚报）给辅警的利索点个赞，持刀男情绪没失控是万幸，战术教员应该当反例来讲。: 辅警成功制服持刀男
近日，上海浦东新区。一停车场内出现了特别的停车位手绘着迪士尼乐园的玲娜贝儿和草莓熊。彩绘涂鸦不仅仅可以是在墙上，还能是在地上的停车位上，你怎么看待这样一种有趣的涂鸦文化呢？你是否也想拥有同款迪士尼在逃停车位？视频: 上海浦东新区停车场出现彩绘停车位
徐州烧烤为什么这么火，河南表示不服，坐火车经常路过徐州，徐州给我的感觉是工业城市那样，吃的没有什么能让我记忆深刻，但是我们河南吃的可多了，我觉得河南烧烤该出圈了，河南美食烧烤都非常出名。: 河南烧烤出名
持续了六年之久的在美展出兵马俑拇指被盗案，犯罪嫌疑人迈克尔罗哈纳终于认罪，承认自己于2017年醉酒后，掰断了费城富兰克林博物馆内的兵马俑手指，并将其偷走。可笑的是，让涉案人员伏法的交换条件是，当地检方撤销了刑期高达30年的盗窃和藏匿博物馆文物指控。更更可笑的是，2017年的案件，一直拖到2019年才审判，甚至当时12名陪审团7名成员认为其无罪。至于无罪的依据则是，迈克尔罗哈纳将兵马俑手指掰断带走了，因为喝醉酒不是清醒状态下的行为。此后因疫情关系，案件审判推迟到今天。给中国二百年能造一个纽约，给美国两千年也造不出一个西安，而兵马俑就是其中重要的原因之一。国家认定一些特级文物为永不出境展览文物，就是担心在国外展览过程中，文物造成永久的不可完全修复伤害后，追责难，挽回损失更难。: 在美兵马俑拇指被盗案嫌疑人认罪,曾因醉酒被判无罪,为保护文物,撤销刑期长达30年的盗窃和藏匿博物馆文物指控。
绝症少年为自己设下遗愿清单，离世前见到了偶像，见到了美景，参加了音乐节，还坐了直升机到18岁这年，他的生命画上了句号: 绝症少年离世前见到了偶像,参加音乐节和直升机。生命画上了句号。
怪摩托车驾驶员速度快，还是怪女司机掉头不看路？专员: 摩托车女司机掉头不看路?专员解答。
为了维护徐州烧烤来骂我的人请注意，我是安徽人常住北京，来云南只是出差，要骂就骂安徽或者北京，别连累云南哈。: 维护徐州烧烤骂人的身份,来云南只是出差,别连累云南。
中电科已报案，此事热闹啦。截图红头文件早有网友发我，一眼假的东西，连国企行文基本规则都不符合，落款和印章还不一致，即便如此，一帮人不但信了，还高潮的不得了。咱也不知道是傻呢还是借此挑事？恕我直言，此事一旦查实为伪造，显然危害程度早已达到导致网络空间混乱的程度，伪造和散布信息者的始作俑者将面临刑事责任。而胡锡进@胡锡进之流推波助澜，实为耻也。: 电科报案伪造信息将面临刑事责任,胡锡进推波助澜为耻。
1，没必要把徐州妖魔化，进行地域攻击。因为丰县铁链女人事件已经过去很久了，也盖棺定论了。总体上来说，徐州就是一个正常普通的城市。2，徐州人对于烧烤的狂热，可以用十个腰子十个球，大乎的辣椒大乎滴油来形容。徐州烧烤在全国烧烤地域品牌里位列3，几乎仅次于东北烧烤。3，徐州烧烤里，羊是绝对主角，还得是本地的新鲜现切小山羊，口感比起其他羊嫩很多。很多烧烤店门口都挂着一只当天现宰的整羊，根据部位按斤点单。4，徐州就是这样，既有北方的豪气，又有南方的婉约。以徐州为代表的汉文化，就是南北兼具的大融合文化。徐州烧烤同理。5，考据说，徐州是中国烧烤的发源地。: 徐州烧烤地域攻击,汉文化与南北融合,徐州人对于烧烤的狂热。
高铁紧急逃生锤敲击点被指像日本国旗。: 铁铁紧急逃生锤敲击点被指像日本国旗
只能说制氧机这制氧效果杠杠的[666]: 制氧机制氧效果不佳
薯片在北京居然是越放越脆的: 薯片在北京越放越脆
中国经济学家、教授赵晓表示羌族可能是以色列遗失的民族。: 赵晓:羌族可能是以色列遗失的民族
滨州市举办传承红色基因清明网上祭英烈主题活动 为落实全环境立德树人工作要求，帮助青少年扣好人生第一粒扣子，引导广大青少年学生永远铭记为民族独立、人民解放和国家富强、人民幸福做出巨大贡献和牺牲的英雄烈士，清明节期间，市文明办组织开展了清明网上祭英烈活动。本次活动依托滨州文明网开设清明网上祭英烈活动专题，在微博账号开设滨州市清明网上祭英烈话题，组织广大中小学生在老师和父母指导下积极广泛参与，通过网上留言、鞠躬献花等形式开展英烈祭奠活动，截至目前，收到留言近千余条。活动的开展在全社会营造传承英烈精神、奋进新时代的良好氛围，推动广大青少年听党话、感党恩、跟党走。: 滨州开展清明网上祭英烈活动,引导青少年铭记为民族独立、人民幸福贡献的英雄烈士,推动青少年听党话、感党恩、跟党走。
